  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0202   0.04934   0.03382  -0.0326   1.0000   0.6414
   0.500   0.0502   0.04769   0.03171  -0.0390   1.0000   0.6911
   1.000   0.1083   0.04649   0.03057  -0.0443   1.0000   1.0000
   1.500   0.1881   0.04900   0.03069  -0.0529   1.0000   1.0000
   2.000   0.2411   0.05126   0.03086  -0.0544   1.0000   1.0000
   2.500   0.2812   0.05342   0.03114  -0.0535   1.0000   1.0000
   3.000   0.3153   0.05567   0.03229  -0.0526   1.0000   1.0000
   3.500   0.3471   0.05811   0.03401  -0.0520   1.0000   1.0000
   4.000   0.3773   0.06077   0.03620  -0.0516   1.0000   1.0000
   4.500   0.4060   0.06369   0.03880  -0.0515   1.0000   1.0000
   5.000   0.4331   0.06691   0.04183  -0.0515   1.0000   1.0000
   5.500   0.4587   0.07043   0.04529  -0.0518   1.0000   1.0000
   6.000   0.4827   0.07429   0.04923  -0.0524   1.0000   1.0000
   6.500   0.5052   0.07849   0.05348  -0.0532   1.0000   1.0000
   7.000   0.5266   0.08299   0.05810  -0.0541   1.0000   1.0000
   7.500   0.5472   0.08775   0.06304  -0.0553   1.0000   1.0000
   8.000   0.5671   0.09275   0.06827  -0.0565   1.0000   1.0000
   8.500   0.5866   0.09797   0.07406  -0.0579   1.0000   1.0000
   9.000   0.6055   0.10341   0.07987  -0.0594   1.0000   1.0000
   9.500   0.6236   0.10910   0.08598  -0.0612   1.0000   1.0000
  10.000   0.6410   0.11509   0.09241  -0.0631   1.0000   1.0000
  10.500   0.6573   0.12139   0.09921  -0.0653   1.0000   1.0000
  11.000   0.6726   0.12805   0.10666  -0.0678   1.0000   1.0000
  11.500   0.6869   0.13511   0.11421  -0.0706   1.0000   1.0000
  12.000   0.7006   0.14244   0.12199  -0.0737   1.0000   1.0000
  12.500   0.7142   0.14998   0.12993  -0.0771   1.0000   1.0000
  13.000   0.7282   0.15760   0.13795  -0.0805   1.0000   1.0000
  13.500   0.7428   0.16523   0.14595  -0.0840   1.0000   1.0000
  14.000   0.7579   0.17286   0.15395  -0.0876   1.0000   1.0000
  14.500   0.7736   0.18050   0.16194  -0.0912   1.0000   1.0000
  15.000   0.7898   0.18811   0.16986  -0.0948   1.0000   1.0000
  15.500   0.8250   0.20023   0.18249  -0.1035   0.9734   1.0000
  16.000   0.8605   0.21072   0.19350  -0.1117   0.9272   1.0000
  16.500   0.8894   0.21996   0.20318  -0.1175   0.8881   1.0000
  17.000   0.9153   0.22908   0.21268  -0.1224   0.8553   1.0000
  17.500   0.9425   0.23896   0.22346  -0.1272   0.8144   1.0000
  18.000   0.9638   0.24690   0.23170  -0.1310   0.7847   1.0000
  18.500   0.9840   0.25408   0.23910  -0.1345   0.7533   1.0000
  19.000   1.0117   0.26656   0.25175  -0.1386   0.7079   1.0000
  19.500   1.0305   0.27390   0.25911  -0.1418   0.6802   1.0000
  20.000   1.0490   0.27998   0.26519  -0.1446   0.6461   1.0000
  20.500   1.0695   0.28776   0.27294  -0.1474   0.6099   1.0000
  21.000   1.0898   0.29714   0.28232  -0.1507   0.5867   1.0000
  21.500   1.1064   0.30294   0.28814  -0.1537   0.5658   1.0000
  22.000   1.1239   0.31002   0.29522  -0.1568   0.5445   1.0000
  22.500   1.1435   0.31906   0.30426  -0.1599   0.5204   1.0000
  23.000   1.1611   0.32614   0.31138  -0.1628   0.4963   1.0000
  23.500   1.1753   0.33037   0.31562  -0.1660   0.4783   1.0000
  24.000   1.1906   0.33594   0.32121  -0.1693   0.4612   1.0000
  24.500   1.2064   0.34258   0.32788  -0.1728   0.4462   1.0000
  25.000   1.2222   0.34952   0.33524  -0.1762   0.4315   1.0000
  25.500   1.2376   0.35640   0.34218  -0.1798   0.4173   1.0000
  26.000   1.2525   0.36304   0.34888  -0.1833   0.4034   1.0000
  26.500   1.2667   0.36921   0.35511  -0.1870   0.3898   1.0000
  27.000   1.2802   0.37456   0.36051  -0.1907   0.3768   1.0000
  27.500   1.2927   0.37890   0.36492  -0.1945   0.3644   1.0000
  28.000   1.3050   0.38326   0.36933  -0.1984   0.3522   1.0000
  28.500   1.3171   0.38785   0.37398  -0.2023   0.3404   1.0000
  29.000   1.3291   0.39275   0.37895  -0.2063   0.3288   1.0000
  29.500   1.3411   0.39842   0.38469  -0.2103   0.3178   1.0000
  30.000   1.3536   0.40549   0.39208  -0.2142   0.3065   1.0000
