  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0673   0.05795   0.04379  -0.0494   1.0000   0.6159
   0.500   0.1402   0.05810   0.04328  -0.0592   1.0000   0.6183
   1.000   0.2020   0.05862   0.04345  -0.0658   1.0000   0.6398
   2.000   0.2825   0.06114   0.04557  -0.0714   1.0000   1.0000
   2.500   0.3305   0.06480   0.04780  -0.0749   1.0000   1.0000
   3.000   0.3685   0.06844   0.05020  -0.0760   1.0000   1.0000
   3.500   0.4012   0.07220   0.05291  -0.0763   1.0000   1.0000
   4.000   0.4308   0.07613   0.05595  -0.0766   1.0000   1.0000
   4.500   0.4583   0.08025   0.05932  -0.0770   1.0000   1.0000
   5.000   0.4841   0.08458   0.06309  -0.0776   1.0000   1.0000
   5.500   0.5087   0.08911   0.06718  -0.0783   1.0000   1.0000
   6.000   0.5322   0.09383   0.07156  -0.0793   1.0000   1.0000
   6.500   0.5549   0.09876   0.07625  -0.0804   1.0000   1.0000
   7.000   0.5766   0.10389   0.08122  -0.0816   1.0000   1.0000
   7.500   0.5975   0.10922   0.08647  -0.0830   1.0000   1.0000
   8.000   0.6177   0.11474   0.09196  -0.0845   1.0000   1.0000
   8.500   0.6372   0.12047   0.09771  -0.0862   1.0000   1.0000
   9.000   0.6561   0.12639   0.10374  -0.0881   1.0000   1.0000
   9.500   0.6744   0.13249   0.10993  -0.0901   1.0000   1.0000
  10.000   0.6924   0.13874   0.11632  -0.0923   1.0000   1.0000
  10.500   0.7101   0.14515   0.12287  -0.0947   1.0000   1.0000
  11.000   0.7276   0.15166   0.12963  -0.0973   1.0000   1.0000
  11.500   0.7452   0.15827   0.13642  -0.1000   1.0000   1.0000
  12.000   0.7628   0.16497   0.14332  -0.1028   1.0000   1.0000
  12.500   0.7805   0.17176   0.15032  -0.1058   1.0000   1.0000
  13.000   0.7983   0.17863   0.15755  -0.1090   1.0000   1.0000
  13.500   0.8162   0.18559   0.16473  -0.1122   1.0000   1.0000
  14.000   0.8340   0.19263   0.17201  -0.1156   1.0000   1.0000
  14.500   0.8520   0.19977   0.17939  -0.1192   1.0000   1.0000
  15.000   0.8700   0.20701   0.18687  -0.1228   1.0000   1.0000
  15.500   0.9036   0.21828   0.19850  -0.1308   0.9799   1.0000
  16.000   0.9345   0.22581   0.20637  -0.1378   0.9430   1.0000
  16.500   0.9627   0.23334   0.21442  -0.1436   0.9061   1.0000
  17.000   0.9874   0.24039   0.22174  -0.1483   0.8755   1.0000
  17.500   1.0135   0.24871   0.23035  -0.1532   0.8428   1.0000
  18.000   1.0371   0.25621   0.23812  -0.1574   0.8138   1.0000
  18.500   1.0563   0.26161   0.24377  -0.1610   0.7917   1.0000
  19.000   1.0795   0.27004   0.25248  -0.1651   0.7667   1.0000
  19.500   1.1027   0.27868   0.26141  -0.1691   0.7398   1.0000
  20.000   1.1186   0.28147   0.26474  -0.1722   0.7186   1.0000
  20.500   1.1409   0.29091   0.27454  -0.1763   0.6988   1.0000
  21.000   1.1583   0.29632   0.28023  -0.1799   0.6810   1.0000
  21.500   1.1767   0.30190   0.28614  -0.1834   0.6582   1.0000
  22.000   1.1949   0.30827   0.29282  -0.1871   0.6368   1.0000
  22.500   1.2121   0.31386   0.29875  -0.1908   0.6177   1.0000
  23.000   1.2319   0.32302   0.30828  -0.1949   0.5990   1.0000
  23.500   1.2479   0.32833   0.31387  -0.1987   0.5798   1.0000
  24.000   1.2686   0.33889   0.32475  -0.2026   0.5535   1.0000
  24.500   1.2817   0.34082   0.32720  -0.2064   0.5344   1.0000
  25.000   1.3019   0.35223   0.33884  -0.2105   0.5098   1.0000
  25.500   1.3193   0.35953   0.34630  -0.2142   0.4824   1.0000
  26.000   1.3328   0.36289   0.34970  -0.2185   0.4643   1.0000
  27.000   1.3640   0.37472   0.36166  -0.2266   0.4199   1.0000
  27.500   1.3786   0.38041   0.36743  -0.2310   0.4046   1.0000
  28.000   1.3930   0.38598   0.37308  -0.2355   0.3890   1.0000
  28.500   1.4072   0.39155   0.37873  -0.2399   0.3728   1.0000
  29.000   1.4210   0.39719   0.38447  -0.2444   0.3575   1.0000
  29.500   1.4342   0.40238   0.38992  -0.2490   0.3443   1.0000
  30.000   1.4477   0.40917   0.39681  -0.2537   0.3338   1.0000
