  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1409   0.05384   0.03829  -0.0132   1.0000   1.0000
   0.500  -0.1145   0.05215   0.03548  -0.0228   1.0000   1.0000
   1.000  -0.0573   0.05357   0.03520  -0.0320   1.0000   1.0000
   1.500  -0.0140   0.05556   0.03596  -0.0357   1.0000   1.0000
   2.000   0.0236   0.05779   0.03726  -0.0376   1.0000   1.0000
   2.500   0.0584   0.06022   0.03897  -0.0389   1.0000   1.0000
   3.000   0.0914   0.06285   0.04101  -0.0400   1.0000   1.0000
   3.500   0.1232   0.06566   0.04336  -0.0409   1.0000   1.0000
   4.000   0.1538   0.06868   0.04599  -0.0418   1.0000   1.0000
   4.500   0.1836   0.07189   0.04890  -0.0427   1.0000   1.0000
   5.000   0.2125   0.07531   0.05208  -0.0436   1.0000   1.0000
   5.500   0.2407   0.07892   0.05551  -0.0446   1.0000   1.0000
   6.000   0.2683   0.08272   0.05920  -0.0456   1.0000   1.0000
   6.500   0.2951   0.08672   0.06313  -0.0468   1.0000   1.0000
   7.000   0.3212   0.09090   0.06729  -0.0480   1.0000   1.0000
   7.500   0.3468   0.09526   0.07167  -0.0493   1.0000   1.0000
   8.000   0.3717   0.09979   0.07627  -0.0507   1.0000   1.0000
   8.500   0.3961   0.10450   0.08107  -0.0521   1.0000   1.0000
   9.000   0.4200   0.10937   0.08610  -0.0537   1.0000   1.0000
   9.500   0.4433   0.11440   0.09129  -0.0554   1.0000   1.0000
  10.000   0.4660   0.11959   0.09667  -0.0573   1.0000   1.0000
  10.500   0.4882   0.12495   0.10225  -0.0593   1.0000   1.0000
  11.000   0.5098   0.13049   0.10808  -0.0614   1.0000   1.0000
  11.500   0.5309   0.13620   0.11407  -0.0637   1.0000   1.0000
  12.000   0.5512   0.14213   0.12028  -0.0662   1.0000   1.0000
  12.500   0.5708   0.14828   0.12674  -0.0690   1.0000   1.0000
  13.000   0.5897   0.15468   0.13346  -0.0720   1.0000   1.0000
  13.500   0.6079   0.16135   0.14052  -0.0753   1.0000   1.0000
  14.000   0.6256   0.16828   0.14774  -0.0788   1.0000   1.0000
  14.500   0.6429   0.17543   0.15515  -0.0825   1.0000   1.0000
  15.000   0.6603   0.18270   0.16268  -0.0863   1.0000   1.0000
  15.500   0.6958   0.19426   0.17456  -0.0950   0.9737   1.0000
  16.000   0.7379   0.20757   0.18818  -0.1044   0.9233   1.0000
  16.500   0.7675   0.21481   0.19576  -0.1100   0.8779   1.0000
  17.000   0.7964   0.22406   0.20519  -0.1152   0.8420   1.0000
  17.500   0.8208   0.23069   0.21196  -0.1192   0.8076   1.0000
  18.000   0.8448   0.23765   0.21906  -0.1230   0.7762   1.0000
  18.500   0.8687   0.24601   0.22756  -0.1269   0.7529   1.0000
  19.000   0.8940   0.25535   0.23704  -0.1308   0.7268   1.0000
  19.500   0.9138   0.26019   0.24201  -0.1338   0.7005   1.0000
  20.000   0.9322   0.26489   0.24695  -0.1368   0.6788   1.0000
  20.500   0.9530   0.27200   0.25421  -0.1403   0.6598   1.0000
  21.000   0.9760   0.28175   0.26411  -0.1440   0.6421   1.0000
  21.500   0.9922   0.28557   0.26803  -0.1471   0.6256   1.0000
  22.000   1.0095   0.28986   0.27245  -0.1502   0.6055   1.0000
  22.500   1.0328   0.30060   0.28336  -0.1538   0.5851   1.0000
  23.000   1.0493   0.30545   0.28832  -0.1571   0.5697   1.0000
  23.500   1.0662   0.31100   0.29414  -0.1606   0.5551   1.0000
  24.000   1.0831   0.31687   0.30015  -0.1641   0.5408   1.0000
  24.500   1.0997   0.32277   0.30619  -0.1676   0.5266   1.0000
  25.000   1.1149   0.32696   0.31050  -0.1711   0.5110   1.0000
  25.500   1.1300   0.33103   0.31468  -0.1746   0.4941   1.0000
  26.000   1.1457   0.33637   0.32015  -0.1782   0.4783   1.0000
  26.500   1.1610   0.34207   0.32597  -0.1819   0.4655   1.0000
  27.000   1.1764   0.34828   0.33241  -0.1857   0.4529   1.0000
  27.500   1.1917   0.35461   0.33885  -0.1895   0.4397   1.0000
  28.000   1.2061   0.35991   0.34425  -0.1932   0.4255   1.0000
  28.500   1.2202   0.36525   0.34968  -0.1970   0.4115   1.0000
  29.000   1.2353   0.37277   0.35731  -0.2008   0.3986   1.0000
  29.500   1.2483   0.37727   0.36193  -0.2047   0.3867   1.0000
  30.000   1.2586   0.37807   0.36278  -0.2090   0.3765   1.0000
