  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.4750   0.08739   0.07440   0.0132   1.0000   0.6189
   0.500  -0.4269   0.08335   0.07079   0.0146   1.0000   0.7287
   1.000  -0.2198   0.08111   0.06364  -0.0279   1.0000   1.0000
   1.500  -0.1835   0.08277   0.06335  -0.0270   1.0000   1.0000
   2.000  -0.1496   0.08455   0.06369  -0.0261   1.0000   1.0000
   2.500  -0.1164   0.08649   0.06435  -0.0253   1.0000   1.0000
   3.000  -0.0837   0.08857   0.06542  -0.0246   1.0000   1.0000
   3.500  -0.0515   0.09079   0.06675  -0.0241   1.0000   1.0000
   4.000  -0.0196   0.09314   0.06829  -0.0236   1.0000   1.0000
   4.500   0.0118   0.09562   0.07010  -0.0233   1.0000   1.0000
   5.000   0.0428   0.09822   0.07212  -0.0230   1.0000   1.0000
   5.500   0.0734   0.10094   0.07431  -0.0228   1.0000   1.0000
   6.000   0.1034   0.10377   0.07672  -0.0227   1.0000   1.0000
   6.500   0.1330   0.10672   0.07929  -0.0227   1.0000   1.0000
   7.000   0.1620   0.10977   0.08206  -0.0228   1.0000   1.0000
   7.500   0.1905   0.11293   0.08498  -0.0229   1.0000   1.0000
   8.000   0.2185   0.11619   0.08806  -0.0232   1.0000   1.0000
   8.500   0.2459   0.11956   0.09131  -0.0236   1.0000   1.0000
   9.000   0.2727   0.12303   0.09471  -0.0240   1.0000   1.0000
   9.500   0.2991   0.12660   0.09824  -0.0246   1.0000   1.0000
  10.000   0.3248   0.13027   0.10194  -0.0253   1.0000   1.0000
  10.500   0.3501   0.13403   0.10577  -0.0261   1.0000   1.0000
  11.000   0.3748   0.13790   0.10976  -0.0270   1.0000   1.0000
  11.500   0.3989   0.14187   0.11386  -0.0280   1.0000   1.0000
  12.000   0.4225   0.14594   0.11810  -0.0291   1.0000   1.0000
  12.500   0.4456   0.15012   0.12251  -0.0304   1.0000   1.0000
  13.000   0.4682   0.15439   0.12701  -0.0318   1.0000   1.0000
  13.500   0.4902   0.15877   0.13166  -0.0333   1.0000   1.0000
  14.000   0.5117   0.16326   0.13650  -0.0350   1.0000   1.0000
  14.500   0.5327   0.16787   0.14141  -0.0368   1.0000   1.0000
  15.000   0.5532   0.17259   0.14647  -0.0388   1.0000   1.0000
  15.500   0.5732   0.17744   0.15166  -0.0409   1.0000   1.0000
  16.000   0.5927   0.18240   0.15709  -0.0431   1.0000   1.0000
  16.500   0.6302   0.19454   0.16974  -0.0501   0.9808   1.0000
  17.000   0.6628   0.20298   0.17868  -0.0561   0.9539   1.0000
  17.500   0.6902   0.20934   0.18553  -0.0609   0.9272   1.0000
  18.000   0.7146   0.21481   0.19146  -0.0650   0.9011   1.0000
  18.500   0.7366   0.21980   0.19706  -0.0687   0.8763   1.0000
  19.000   0.7582   0.22565   0.20338  -0.0725   0.8526   1.0000
  19.500   0.7809   0.23342   0.21161  -0.0766   0.8290   1.0000
  20.000   0.8027   0.24100   0.21969  -0.0806   0.8046   1.0000
  20.500   0.8183   0.24397   0.22306  -0.0836   0.7826   1.0000
  21.000   0.8380   0.25157   0.23108  -0.0876   0.7607   1.0000
  21.500   0.8561   0.25787   0.23798  -0.0913   0.7382   1.0000
  22.000   0.8717   0.26301   0.24347  -0.0947   0.7189   1.0000
  22.500   0.8905   0.27081   0.25166  -0.0987   0.6968   1.0000
  23.000   0.9051   0.27560   0.25675  -0.1021   0.6788   1.0000
  23.500   0.9202   0.28031   0.26175  -0.1056   0.6604   1.0000
  24.500   0.9545   0.29557   0.27757  -0.1133   0.6263   1.0000
  25.000   0.9678   0.29900   0.28123  -0.1167   0.6109   1.0000
  25.500   0.9820   0.30327   0.28588  -0.1202   0.5946   1.0000
  26.000   0.9971   0.30940   0.29224  -0.1240   0.5824   1.0000
  26.500   1.0117   0.31465   0.29769  -0.1276   0.5682   1.0000
  27.000   1.0265   0.31967   0.30292  -0.1312   0.5515   1.0000
  27.500   1.0407   0.32501   0.30845  -0.1349   0.5388   1.0000
  28.000   1.0550   0.33069   0.31429  -0.1387   0.5269   1.0000
  28.500   1.0690   0.33562   0.31937  -0.1424   0.5123   1.0000
  29.000   1.0836   0.34089   0.32479  -0.1461   0.4959   1.0000
  29.500   1.0969   0.34575   0.32988  -0.1498   0.4827   1.0000
  30.000   1.1099   0.35053   0.33478  -0.1536   0.4711   1.0000
