  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0261   0.03796   0.01526  -0.0185   1.0000   1.0000
   0.500   0.0621   0.03890   0.01558  -0.0177   1.0000   1.0000
   1.000   0.0980   0.04002   0.01623  -0.0172   1.0000   1.0000
   1.500   0.1335   0.04134   0.01719  -0.0169   1.0000   1.0000
   2.000   0.1683   0.04289   0.01850  -0.0168   1.0000   1.0000
   2.500   0.2021   0.04469   0.02016  -0.0169   1.0000   1.0000
   3.000   0.2345   0.04677   0.02220  -0.0173   1.0000   1.0000
   3.500   0.2654   0.04917   0.02465  -0.0179   1.0000   1.0000
   4.000   0.2943   0.05195   0.02756  -0.0189   1.0000   1.0000
   4.500   0.3211   0.05516   0.03094  -0.0202   1.0000   1.0000
   5.000   0.3457   0.05882   0.03482  -0.0218   1.0000   1.0000
   5.500   0.3684   0.06294   0.03923  -0.0238   1.0000   1.0000
   6.000   0.3893   0.06749   0.04405  -0.0260   1.0000   1.0000
   6.500   0.4088   0.07244   0.04930  -0.0284   1.0000   1.0000
   7.000   0.4273   0.07778   0.05499  -0.0311   1.0000   1.0000
   7.500   0.4451   0.08345   0.06097  -0.0338   1.0000   1.0000
   8.000   0.4622   0.08943   0.06727  -0.0366   1.0000   1.0000
   8.500   0.4788   0.09568   0.07384  -0.0395   1.0000   1.0000
   9.000   0.4951   0.10218   0.08071  -0.0424   1.0000   1.0000
   9.500   0.5112   0.10888   0.08774  -0.0454   1.0000   1.0000
  10.000   0.5272   0.11576   0.09493  -0.0484   1.0000   1.0000
  10.500   0.5433   0.12279   0.10228  -0.0515   1.0000   1.0000
  11.000   0.5596   0.12996   0.10974  -0.0546   1.0000   1.0000
  11.500   0.5761   0.13722   0.11736  -0.0579   1.0000   1.0000
  12.000   0.5928   0.14458   0.12501  -0.0612   1.0000   1.0000
  12.500   0.6100   0.15202   0.13273  -0.0646   1.0000   1.0000
  13.000   0.6274   0.15954   0.14051  -0.0680   1.0000   1.0000
  13.500   0.6451   0.16712   0.14840  -0.0716   1.0000   1.0000
  14.000   0.6632   0.17476   0.15629  -0.0753   1.0000   1.0000
  14.500   0.6984   0.18666   0.16856  -0.0836   0.9798   1.0000
  15.000   0.7431   0.20065   0.18296  -0.0937   0.9221   1.0000
  15.500   0.7729   0.21055   0.19320  -0.0992   0.8748   1.0000
  16.000   0.8011   0.22138   0.20426  -0.1042   0.8395   1.0000
  16.500   0.8253   0.22946   0.21256  -0.1079   0.8002   1.0000
  17.000   0.8518   0.24032   0.22359  -0.1121   0.7674   1.0000
  17.500   0.8719   0.24690   0.23037  -0.1150   0.7358   1.0000
  18.000   0.8925   0.25373   0.23733  -0.1179   0.7036   1.0000
  18.500   0.9146   0.26225   0.24597  -0.1212   0.6755   1.0000
  19.000   0.9361   0.27030   0.25414  -0.1243   0.6463   1.0000
  19.500   0.9583   0.27927   0.26322  -0.1275   0.6181   1.0000
  20.000   0.9778   0.28612   0.27024  -0.1305   0.5924   1.0000
  20.500   0.9955   0.29181   0.27600  -0.1335   0.5687   1.0000
  21.000   1.0182   0.30242   0.28672  -0.1369   0.5442   1.0000
  21.500   1.0340   0.30626   0.29062  -0.1400   0.5227   1.0000
  22.000   1.0575   0.31880   0.30327  -0.1435   0.5005   1.0000
  22.500   1.0714   0.32092   0.30551  -0.1468   0.4817   1.0000
  23.000   1.0891   0.32727   0.31195  -0.1502   0.4615   1.0000
  23.500   1.1089   0.33671   0.32150  -0.1538   0.4430   1.0000
  24.000   1.1277   0.34586   0.33072  -0.1575   0.4261   1.0000
  24.500   1.1428   0.35018   0.33511  -0.1613   0.4102   1.0000
  25.000   1.1586   0.35557   0.34058  -0.1652   0.3947   1.0000
  25.500   1.1749   0.36200   0.34717  -0.1692   0.3800   1.0000
  26.000   1.1916   0.36961   0.35488  -0.1732   0.3659   1.0000
  26.500   1.2084   0.37787   0.36324  -0.1772   0.3518   1.0000
  27.000   1.2230   0.38240   0.36790  -0.1815   0.3383   1.0000
  27.500   1.2356   0.38409   0.36964  -0.1862   0.3266   1.0000
  28.000   1.2496   0.38899   0.37462  -0.1908   0.3161   1.0000
  28.500   1.2655   0.39792   0.38373  -0.1952   0.3054   1.0000
  29.000   1.2805   0.40523   0.39121  -0.1995   0.2937   1.0000
  29.500   1.2916   0.40544   0.39147  -0.2048   0.2851   1.0000
  30.000   1.3064   0.41472   0.40086  -0.2093   0.2758   1.0000
