  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0173   0.03604   0.01243  -0.0199   1.0000   1.0000
   0.500   0.0549   0.03660   0.01244  -0.0189   1.0000   1.0000
   1.000   0.0925   0.03734   0.01266  -0.0181   1.0000   1.0000
   1.500   0.1299   0.03825   0.01330  -0.0175   1.0000   1.0000
   2.000   0.1667   0.03935   0.01426  -0.0170   1.0000   1.0000
   2.500   0.2026   0.04067   0.01555  -0.0167   1.0000   1.0000
   3.000   0.2373   0.04223   0.01716  -0.0165   1.0000   1.0000
   3.500   0.2705   0.04406   0.01915  -0.0166   1.0000   1.0000
   4.000   0.3018   0.04622   0.02166  -0.0170   1.0000   1.0000
   4.500   0.3308   0.04877   0.02452  -0.0177   1.0000   1.0000
   5.000   0.3572   0.05179   0.02791  -0.0188   1.0000   1.0000
   5.500   0.3806   0.05535   0.03188  -0.0203   1.0000   1.0000
   6.000   0.4012   0.05949   0.03647  -0.0224   1.0000   1.0000
   6.500   0.4196   0.06421   0.04188  -0.0250   1.0000   1.0000
   7.000   0.4364   0.06943   0.04754  -0.0279   1.0000   1.0000
   7.500   0.4525   0.07507   0.05362  -0.0311   1.0000   1.0000
   8.000   0.4682   0.08112   0.06011  -0.0345   1.0000   1.0000
   8.500   0.4833   0.08757   0.06700  -0.0380   1.0000   1.0000
   9.000   0.4979   0.09443   0.07432  -0.0417   1.0000   1.0000
   9.500   0.5121   0.10168   0.08198  -0.0455   1.0000   1.0000
  10.000   0.5261   0.10926   0.08996  -0.0495   1.0000   1.0000
  10.500   0.5401   0.11711   0.09816  -0.0535   1.0000   1.0000
  11.000   0.5548   0.12509   0.10645  -0.0576   1.0000   1.0000
  11.500   0.5701   0.13317   0.11518  -0.0616   1.0000   1.0000
  12.000   0.5862   0.14123   0.12348  -0.0656   1.0000   1.0000
  12.500   0.6031   0.14928   0.13176  -0.0696   1.0000   1.0000
  13.000   0.6207   0.15724   0.13992  -0.0736   1.0000   1.0000
  13.500   0.6389   0.16521   0.14809  -0.0776   1.0000   1.0000
  14.000   0.6574   0.17311   0.15617  -0.0815   1.0000   1.0000
  14.500   0.6763   0.18105   0.16428  -0.0855   1.0000   1.0000
  15.000   0.7187   0.19575   0.17932  -0.0957   0.9695   1.0000
  15.500   0.7566   0.20625   0.19012  -0.1040   0.9192   1.0000
  16.000   0.7925   0.21717   0.20128  -0.1107   0.8653   1.0000
  16.500   0.8184   0.22509   0.20936  -0.1152   0.8288   1.0000
  17.000   0.8459   0.23508   0.21949  -0.1198   0.7960   1.0000
  17.500   0.8692   0.24231   0.22686  -0.1235   0.7632   1.0000
  18.000   0.8947   0.25155   0.23658  -0.1274   0.7289   1.0000
  18.500   0.9190   0.25953   0.24467  -0.1306   0.6883   1.0000
  19.000   0.9435   0.26828   0.25349  -0.1339   0.6496   1.0000
  19.500   0.9641   0.27517   0.26043  -0.1370   0.6205   1.0000
  20.000   0.9849   0.28281   0.26811  -0.1402   0.5941   1.0000
  20.500   1.0058   0.29083   0.27618  -0.1435   0.5692   1.0000
  21.000   1.0276   0.30013   0.28551  -0.1469   0.5450   1.0000
  21.500   1.0460   0.30624   0.29167  -0.1502   0.5220   1.0000
  22.000   1.0632   0.31202   0.29746  -0.1535   0.5018   1.0000
  22.500   1.0849   0.32252   0.30801  -0.1569   0.4792   1.0000
  23.000   1.1000   0.32580   0.31131  -0.1603   0.4572   1.0000
  23.500   1.1174   0.33234   0.31809  -0.1637   0.4360   1.0000
  24.000   1.1381   0.34298   0.32883  -0.1670   0.4135   1.0000
  24.500   1.1512   0.34515   0.33099  -0.1708   0.3964   1.0000
  25.000   1.1668   0.35039   0.33629  -0.1746   0.3797   1.0000
  25.500   1.1825   0.35656   0.34251  -0.1784   0.3651   1.0000
  26.000   1.1981   0.36261   0.34863  -0.1825   0.3514   1.0000
  26.500   1.2127   0.36812   0.35419  -0.1865   0.3388   1.0000
  27.000   1.2272   0.37357   0.35970  -0.1908   0.3269   1.0000
  27.500   1.2414   0.37945   0.36578  -0.1950   0.3157   1.0000
  28.000   1.2562   0.38680   0.37322  -0.1991   0.3048   1.0000
  28.500   1.2717   0.39604   0.38255  -0.2031   0.2932   1.0000
  29.000   1.2826   0.39651   0.38311  -0.2079   0.2831   1.0000
  29.500   1.2943   0.39995   0.38661  -0.2126   0.2748   1.0000
  30.000   1.3082   0.40867   0.39543  -0.2168   0.2656   1.0000
