  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1563   0.05956   0.03904  -0.0107   1.0000   1.0000
   0.500  -0.1334   0.06022   0.03900  -0.0093   1.0000   1.0000
   1.000  -0.1066   0.06123   0.03934  -0.0088   1.0000   1.0000
   1.500  -0.0769   0.06257   0.04009  -0.0088   1.0000   1.0000
   2.000  -0.0451   0.06423   0.04123  -0.0094   1.0000   1.0000
   2.500  -0.0121   0.06618   0.04270  -0.0103   1.0000   1.0000
   3.000   0.0216   0.06840   0.04455  -0.0116   1.0000   1.0000
   3.500   0.0554   0.07090   0.04672  -0.0130   1.0000   1.0000
   4.000   0.0892   0.07365   0.04922  -0.0147   1.0000   1.0000
   4.500   0.1226   0.07667   0.05207  -0.0165   1.0000   1.0000
   5.000   0.1554   0.07994   0.05522  -0.0185   1.0000   1.0000
   5.500   0.1875   0.08346   0.05869  -0.0206   1.0000   1.0000
   6.000   0.2188   0.08722   0.06245  -0.0228   1.0000   1.0000
   6.500   0.2492   0.09122   0.06650  -0.0251   1.0000   1.0000
   7.000   0.2788   0.09546   0.07084  -0.0275   1.0000   1.0000
   7.500   0.3075   0.09993   0.07544  -0.0300   1.0000   1.0000
   8.000   0.3353   0.10461   0.08032  -0.0326   1.0000   1.0000
   8.500   0.3624   0.10951   0.08542  -0.0353   1.0000   1.0000
   9.000   0.3887   0.11460   0.09075  -0.0381   1.0000   1.0000
   9.500   0.4144   0.11989   0.09633  -0.0411   1.0000   1.0000
  10.000   0.4396   0.12535   0.10209  -0.0442   1.0000   1.0000
  10.500   0.4642   0.13099   0.10808  -0.0474   1.0000   1.0000
  11.000   0.4883   0.13680   0.11422  -0.0507   1.0000   1.0000
  11.500   0.5121   0.14277   0.12054  -0.0542   1.0000   1.0000
  12.000   0.5355   0.14891   0.12709  -0.0579   1.0000   1.0000
  12.500   0.5586   0.15520   0.13377  -0.0617   1.0000   1.0000
  13.000   0.5815   0.16166   0.14066  -0.0657   1.0000   1.0000
  13.500   0.6041   0.16827   0.14768  -0.0698   1.0000   1.0000
  14.000   0.6264   0.17505   0.15487  -0.0741   1.0000   1.0000
  14.500   0.6486   0.18199   0.16224  -0.0786   1.0000   1.0000
  15.000   0.6705   0.18911   0.16984  -0.0832   1.0000   1.0000
  15.500   0.6923   0.19641   0.17757  -0.0879   1.0000   1.0000
  16.000   0.7322   0.20773   0.18947  -0.0975   0.9714   1.0000
  16.500   0.7655   0.21584   0.19815  -0.1051   0.9331   1.0000
  17.000   0.7983   0.22550   0.20832  -0.1123   0.8953   1.0000
  17.500   0.8290   0.23587   0.21916  -0.1188   0.8616   1.0000
  18.000   0.8529   0.24208   0.22582  -0.1239   0.8294   1.0000
  18.500   0.8775   0.24941   0.23355  -0.1290   0.7979   1.0000
  19.000   0.9030   0.25827   0.24280  -0.1344   0.7682   1.0000
  19.500   0.9275   0.26673   0.25166  -0.1395   0.7379   1.0000
  20.000   0.9492   0.27303   0.25827  -0.1442   0.7102   1.0000
  20.500   0.9689   0.27823   0.26372  -0.1487   0.6851   1.0000
  21.000   0.9930   0.28767   0.27342  -0.1538   0.6600   1.0000
  21.500   1.0140   0.29405   0.28003  -0.1586   0.6360   1.0000
  22.000   1.0359   0.30210   0.28833  -0.1635   0.6142   1.0000
  22.500   1.0556   0.30754   0.29396  -0.1682   0.5929   1.0000
  23.000   1.0816   0.32054   0.30716  -0.1734   0.5715   1.0000
  23.500   1.0982   0.32329   0.31005  -0.1780   0.5540   1.0000
  24.000   1.1169   0.32831   0.31522  -0.1828   0.5361   1.0000
  24.500   1.1369   0.33498   0.32211  -0.1878   0.5176   1.0000
  25.000   1.1572   0.34249   0.32978  -0.1928   0.5006   1.0000
  25.500   1.1776   0.35067   0.33811  -0.1977   0.4840   1.0000
  26.000   1.1973   0.35846   0.34605  -0.2028   0.4682   1.0000
  26.500   1.2155   0.36456   0.35229  -0.2078   0.4534   1.0000
  27.000   1.2331   0.37027   0.35818  -0.2130   0.4388   1.0000
  27.500   1.2499   0.37501   0.36304  -0.2182   0.4248   1.0000
  28.000   1.2659   0.37908   0.36722  -0.2235   0.4119   1.0000
  28.500   1.2820   0.38392   0.37217  -0.2289   0.3996   1.0000
  29.000   1.2985   0.38986   0.37822  -0.2342   0.3874   1.0000
  29.500   1.3158   0.39766   0.38615  -0.2395   0.3753   1.0000
  30.000   1.3342   0.40857   0.39726  -0.2446   0.3625   1.0000
