  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.03804   0.01783   0.0000   1.0000   1.0000
   0.500  -0.0103   0.03821   0.01790   0.0054   1.0000   1.0000
   1.000  -0.0104   0.03877   0.01821   0.0092   1.0000   1.0000
   1.500  -0.0000   0.03969   0.01891   0.0113   1.0000   1.0000
   2.000   0.0162   0.04099   0.02003   0.0122   1.0000   1.0000
   2.500   0.0355   0.04264   0.02156   0.0122   1.0000   1.0000
   3.000   0.0562   0.04465   0.02351   0.0115   1.0000   1.0000
   3.500   0.0776   0.04703   0.02588   0.0104   1.0000   1.0000
   4.000   0.0991   0.04979   0.02865   0.0087   1.0000   1.0000
   4.500   0.1205   0.05291   0.03183   0.0068   1.0000   1.0000
   5.000   0.1416   0.05641   0.03544   0.0045   1.0000   1.0000
   5.500   0.1624   0.06029   0.03942   0.0019   1.0000   1.0000
   6.000   0.1827   0.06453   0.04379  -0.0008   1.0000   1.0000
   6.500   0.2028   0.06912   0.04854  -0.0037   1.0000   1.0000
   7.000   0.2226   0.07406   0.05363  -0.0067   1.0000   1.0000
   7.500   0.2420   0.07931   0.05904  -0.0098   1.0000   1.0000
   8.000   0.2613   0.08487   0.06476  -0.0129   1.0000   1.0000
   8.500   0.2805   0.09070   0.07076  -0.0161   1.0000   1.0000
   9.000   0.2997   0.09676   0.07699  -0.0193   1.0000   1.0000
   9.500   0.3188   0.10301   0.08339  -0.0226   1.0000   1.0000
  10.000   0.3380   0.10942   0.08997  -0.0258   1.0000   1.0000
  10.500   0.3574   0.11598   0.09668  -0.0292   1.0000   1.0000
  11.000   0.3770   0.12264   0.10348  -0.0325   1.0000   1.0000
  11.500   0.3968   0.12938   0.11038  -0.0359   1.0000   1.0000
  12.000   0.4167   0.13618   0.11730  -0.0393   1.0000   1.0000
  12.500   0.4369   0.14303   0.12426  -0.0428   1.0000   1.0000
  13.000   0.4572   0.14994   0.13128  -0.0463   1.0000   1.0000
  13.500   0.4779   0.15689   0.13837  -0.0499   1.0000   1.0000
  14.000   0.4986   0.16388   0.14546  -0.0536   1.0000   1.0000
  14.500   0.5194   0.17090   0.15257  -0.0573   1.0000   1.0000
  15.000   0.5727   0.18668   0.16864  -0.0691   0.9535   1.0000
  15.500   0.6169   0.19894   0.18111  -0.0775   0.8920   1.0000
  16.000   0.6493   0.20773   0.19005  -0.0827   0.8424   1.0000
  16.500   0.6825   0.21842   0.20089  -0.0876   0.7961   1.0000
  17.000   0.7052   0.22408   0.20664  -0.0905   0.7580   1.0000
  17.500   0.7321   0.23267   0.21532  -0.0941   0.7203   1.0000
  18.000   0.7566   0.24068   0.22344  -0.0973   0.6871   1.0000
  18.500   0.7784   0.24743   0.23025  -0.1003   0.6578   1.0000
  19.000   0.8016   0.25538   0.23826  -0.1035   0.6295   1.0000
  19.500   0.8282   0.26654   0.24949  -0.1071   0.6014   1.0000
  20.000   0.8441   0.26915   0.25218  -0.1098   0.5783   1.0000
  20.500   0.8700   0.28104   0.26418  -0.1133   0.5532   1.0000
  21.000   0.8855   0.28382   0.26695  -0.1163   0.5330   1.0000
  21.500   0.9044   0.28956   0.27276  -0.1196   0.5121   1.0000
  22.000   0.9250   0.29765   0.28096  -0.1229   0.4918   1.0000
  22.500   0.9470   0.30782   0.29122  -0.1264   0.4728   1.0000
  23.000   0.9650   0.31412   0.29755  -0.1300   0.4560   1.0000
  23.500   0.9826   0.32028   0.30376  -0.1335   0.4399   1.0000
  24.000   1.0006   0.32687   0.31045  -0.1372   0.4240   1.0000
  24.500   1.0190   0.33429   0.31794  -0.1410   0.4084   1.0000
  25.000   1.0329   0.33638   0.32011  -0.1448   0.3943   1.0000
  25.500   1.0474   0.33935   0.32312  -0.1489   0.3817   1.0000
  26.000   1.0626   0.34436   0.32822  -0.1529   0.3700   1.0000
  26.500   1.0801   0.35204   0.33598  -0.1570   0.3579   1.0000
  27.000   1.0992   0.36288   0.34691  -0.1610   0.3446   1.0000
  27.500   1.1102   0.36169   0.34579  -0.1654   0.3338   1.0000
  28.000   1.1246   0.36700   0.35120  -0.1697   0.3247   1.0000
  28.500   1.1433   0.37958   0.36390  -0.1737   0.3131   1.0000
  29.000   1.1531   0.37666   0.36103  -0.1785   0.3039   1.0000
  29.500   1.1680   0.38459   0.36904  -0.1828   0.2954   1.0000
  30.000   1.1814   0.38869   0.37327  -0.1873   0.2851   1.0000
