  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0079   0.04244   0.02060  -0.0290   1.0000   1.0000
   0.500   0.0256   0.04364   0.02093  -0.0284   1.0000   1.0000
   1.000   0.0588   0.04503   0.02162  -0.0280   1.0000   1.0000
   1.500   0.0915   0.04662   0.02262  -0.0277   1.0000   1.0000
   2.000   0.1237   0.04842   0.02394  -0.0275   1.0000   1.0000
   2.500   0.1552   0.05042   0.02556  -0.0275   1.0000   1.0000
   3.000   0.1860   0.05263   0.02749  -0.0276   1.0000   1.0000
   3.500   0.2161   0.05506   0.02973  -0.0278   1.0000   1.0000
   4.000   0.2454   0.05772   0.03226  -0.0282   1.0000   1.0000
   4.500   0.2737   0.06062   0.03511  -0.0288   1.0000   1.0000
   5.500   0.3275   0.06716   0.04177  -0.0304   1.0000   1.0000
   6.000   0.3529   0.07083   0.04557  -0.0315   1.0000   1.0000
   6.500   0.3774   0.07478   0.04974  -0.0327   1.0000   1.0000
   7.000   0.4009   0.07901   0.05420  -0.0341   1.0000   1.0000
   7.500   0.4235   0.08352   0.05899  -0.0356   1.0000   1.0000
   8.000   0.4451   0.08833   0.06415  -0.0374   1.0000   1.0000
   8.500   0.4659   0.09343   0.06960  -0.0393   1.0000   1.0000
   9.000   0.4857   0.09880   0.07535  -0.0414   1.0000   1.0000
   9.500   0.5048   0.10446   0.08146  -0.0436   1.0000   1.0000
  10.000   0.5232   0.11038   0.08780  -0.0460   1.0000   1.0000
  10.500   0.5408   0.11657   0.09442  -0.0487   1.0000   1.0000
  11.000   0.5580   0.12299   0.10134  -0.0515   1.0000   1.0000
  11.500   0.5747   0.12963   0.10843  -0.0544   1.0000   1.0000
  12.000   0.5912   0.13645   0.11569  -0.0576   1.0000   1.0000
  12.500   0.6076   0.14346   0.12313  -0.0609   1.0000   1.0000
  13.000   0.6240   0.15061   0.13077  -0.0644   1.0000   1.0000
  13.500   0.6405   0.15791   0.13848  -0.0680   1.0000   1.0000
  14.000   0.6570   0.16537   0.14634  -0.0718   1.0000   1.0000
  14.500   0.6735   0.17300   0.15435  -0.0757   1.0000   1.0000
  15.000   0.6901   0.18082   0.16252  -0.0797   1.0000   1.0000
  15.500   0.7218   0.19318   0.17538  -0.0880   0.9812   1.0000
  16.000   0.7707   0.20915   0.19187  -0.0999   0.9121   1.0000
  16.500   0.7989   0.21664   0.19963  -0.1055   0.8586   1.0000
  17.000   0.8288   0.22733   0.21055  -0.1109   0.8112   1.0000
  17.500   0.8530   0.23522   0.21866  -0.1148   0.7700   1.0000
  18.000   0.8812   0.24729   0.23088  -0.1194   0.7348   1.0000
  18.500   0.9006   0.25315   0.23684  -0.1223   0.7036   1.0000
  19.000   0.9227   0.26164   0.24544  -0.1258   0.6752   1.0000
  19.500   0.9455   0.27092   0.25485  -0.1292   0.6475   1.0000
  20.000   0.9611   0.27449   0.25852  -0.1320   0.6238   1.0000
  20.500   0.9830   0.28409   0.26821  -0.1355   0.6018   1.0000
  21.000   0.9998   0.28883   0.27303  -0.1385   0.5798   1.0000
  21.500   1.0217   0.29917   0.28345  -0.1420   0.5590   1.0000
  22.000   1.0367   0.30280   0.28715  -0.1451   0.5405   1.0000
  22.500   1.0542   0.30911   0.29359  -0.1485   0.5217   1.0000
  23.000   1.0740   0.31798   0.30257  -0.1520   0.5029   1.0000
  23.500   1.0932   0.32737   0.31204  -0.1554   0.4858   1.0000
  24.000   1.1087   0.33254   0.31727  -0.1589   0.4705   1.0000
  24.500   1.1246   0.33836   0.32317  -0.1625   0.4554   1.0000
  25.000   1.1403   0.34433   0.32928  -0.1661   0.4406   1.0000
  25.500   1.1559   0.35041   0.33544  -0.1698   0.4260   1.0000
  26.000   1.1714   0.35673   0.34186  -0.1735   0.4116   1.0000
  26.500   1.1872   0.36407   0.34929  -0.1772   0.3977   1.0000
  27.000   1.2007   0.36787   0.35320  -0.1811   0.3848   1.0000
  27.500   1.2128   0.37023   0.35570  -0.1851   0.3728   1.0000
  28.000   1.2257   0.37437   0.35991  -0.1892   0.3613   1.0000
  28.500   1.2393   0.38012   0.36575  -0.1933   0.3503   1.0000
  29.000   1.2540   0.38823   0.37397  -0.1972   0.3387   1.0000
  29.500   1.2683   0.39608   0.38197  -0.2011   0.3265   1.0000
  30.000   1.2772   0.39473   0.38067  -0.2057   0.3176   1.0000
