  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0698   0.05329   0.03076   0.0046   1.0000   1.0000
   0.500  -0.0748   0.05304   0.03026   0.0098   1.0000   1.0000
   1.000  -0.0734   0.05305   0.02994   0.0141   1.0000   1.0000
   1.500  -0.0657   0.05340   0.02994   0.0176   1.0000   1.0000
   2.000  -0.0521   0.05412   0.03031   0.0202   1.0000   1.0000
   2.500  -0.0343   0.05517   0.03106   0.0221   1.0000   1.0000
   3.000  -0.0137   0.05653   0.03218   0.0235   1.0000   1.0000
   3.500   0.0085   0.05816   0.03363   0.0243   1.0000   1.0000
   4.000   0.0316   0.06008   0.03542   0.0249   1.0000   1.0000
   4.500   0.0550   0.06227   0.03755   0.0251   1.0000   1.0000
   5.000   0.0782   0.06475   0.04002   0.0250   1.0000   1.0000
   5.500   0.1010   0.06752   0.04284   0.0246   1.0000   1.0000
   6.000   0.1231   0.07060   0.04600   0.0239   1.0000   1.0000
   6.500   0.1444   0.07400   0.04952   0.0230   1.0000   1.0000
   7.000   0.1649   0.07773   0.05341   0.0218   1.0000   1.0000
   7.500   0.1846   0.08177   0.05762   0.0203   1.0000   1.0000
   8.000   0.2037   0.08610   0.06216   0.0187   1.0000   1.0000
   8.500   0.2223   0.09070   0.06696   0.0168   1.0000   1.0000
   9.000   0.2406   0.09552   0.07201   0.0148   1.0000   1.0000
   9.500   0.2586   0.10057   0.07731   0.0126   1.0000   1.0000
  10.000   0.2765   0.10578   0.08276   0.0103   1.0000   1.0000
  10.500   0.2943   0.11116   0.08838   0.0079   1.0000   1.0000
  11.000   0.3122   0.11668   0.09418   0.0053   1.0000   1.0000
  11.500   0.3301   0.12232   0.10006   0.0027   1.0000   1.0000
  12.000   0.3480   0.12808   0.10608  -0.0001   1.0000   1.0000
  12.500   0.3659   0.13394   0.11219  -0.0030   1.0000   1.0000
  13.000   0.3840   0.13991   0.11845  -0.0060   1.0000   1.0000
  13.500   0.4020   0.14600   0.12478  -0.0091   1.0000   1.0000
  14.000   0.4201   0.15217   0.13121  -0.0124   1.0000   1.0000
  14.500   0.4382   0.15848   0.13778  -0.0157   1.0000   1.0000
  15.000   0.4563   0.16487   0.14441  -0.0191   1.0000   1.0000
  15.500   0.4998   0.17884   0.15878  -0.0293   0.9672   1.0000
  16.000   0.5385   0.18977   0.17009  -0.0376   0.9175   1.0000
  16.500   0.5753   0.20248   0.18312  -0.0448   0.8714   1.0000
  17.000   0.5990   0.20841   0.18926  -0.0488   0.8329   1.0000
  17.500   0.6241   0.21634   0.19738  -0.0529   0.7977   1.0000
  18.000   0.6494   0.22524   0.20646  -0.0570   0.7654   1.0000
  18.500   0.6761   0.23573   0.21717  -0.0612   0.7337   1.0000
  19.000   0.6914   0.23837   0.21989  -0.0635   0.7083   1.0000
  19.500   0.7181   0.25003   0.23170  -0.0676   0.6816   1.0000
  20.000   0.7331   0.25281   0.23459  -0.0701   0.6593   1.0000
  20.500   0.7537   0.25999   0.24190  -0.0734   0.6353   1.0000
  21.000   0.7777   0.27099   0.25302  -0.0772   0.6135   1.0000
  21.500   0.7927   0.27412   0.25625  -0.0800   0.5944   1.0000
  22.000   0.8097   0.27899   0.26121  -0.0831   0.5748   1.0000
  22.500   0.8279   0.28510   0.26742  -0.0863   0.5553   1.0000
  23.000   0.8466   0.29200   0.27445  -0.0897   0.5365   1.0000
  23.500   0.8652   0.29908   0.28164  -0.0931   0.5186   1.0000
  24.000   0.8829   0.30576   0.28841  -0.0966   0.5016   1.0000
  24.500   0.8996   0.31154   0.29431  -0.1000   0.4855   1.0000
  25.000   0.9157   0.31691   0.29977  -0.1035   0.4698   1.0000
  25.500   0.9311   0.32177   0.30470  -0.1071   0.4550   1.0000
  26.000   0.9462   0.32660   0.30964  -0.1107   0.4409   1.0000
  26.500   0.9615   0.33189   0.31502  -0.1144   0.4272   1.0000
  27.000   0.9771   0.33783   0.32104  -0.1182   0.4138   1.0000
  27.500   0.9933   0.34510   0.32842  -0.1220   0.4008   1.0000
  28.000   1.0101   0.35378   0.33724  -0.1257   0.3871   1.0000
  28.500   1.0227   0.35615   0.33972  -0.1296   0.3743   1.0000
  29.000   1.0343   0.35802   0.34165  -0.1338   0.3635   1.0000
  29.500   1.0487   0.36474   0.34847  -0.1378   0.3531   1.0000
  30.000   1.0659   0.37637   0.36026  -0.1416   0.3404   1.0000
