  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0504   0.04419   0.02065  -0.0205   1.0000   1.0000
   0.500  -0.0143   0.04492   0.02077  -0.0194   1.0000   1.0000
   1.000   0.0222   0.04584   0.02117  -0.0184   1.0000   1.0000
   1.500   0.0590   0.04693   0.02186  -0.0176   1.0000   1.0000
   2.000   0.0956   0.04821   0.02283  -0.0170   1.0000   1.0000
   2.500   0.1319   0.04966   0.02409  -0.0165   1.0000   1.0000
   3.000   0.1676   0.05131   0.02562  -0.0161   1.0000   1.0000
   3.500   0.2025   0.05316   0.02747  -0.0158   1.0000   1.0000
   4.000   0.2365   0.05524   0.02961  -0.0157   1.0000   1.0000
   4.500   0.2692   0.05758   0.03211  -0.0158   1.0000   1.0000
   5.000   0.3005   0.06020   0.03496  -0.0160   1.0000   1.0000
   5.500   0.3300   0.06316   0.03821  -0.0165   1.0000   1.0000
   6.000   0.3573   0.06651   0.04194  -0.0172   1.0000   1.0000
   6.500   0.3819   0.07032   0.04618  -0.0183   1.0000   1.0000
   7.000   0.4034   0.07470   0.05104  -0.0197   1.0000   1.0000
   7.500   0.4216   0.07973   0.05654  -0.0216   1.0000   1.0000
   8.000   0.4365   0.08543   0.06272  -0.0240   1.0000   1.0000
   8.500   0.4489   0.09176   0.06954  -0.0269   1.0000   1.0000
   9.000   0.4598   0.09858   0.07676  -0.0301   1.0000   1.0000
   9.500   0.4704   0.10571   0.08426  -0.0335   1.0000   1.0000
  10.000   0.4817   0.11300   0.09189  -0.0370   1.0000   1.0000
  10.500   0.4940   0.12036   0.09955  -0.0406   1.0000   1.0000
  11.000   0.5074   0.12773   0.10724  -0.0442   1.0000   1.0000
  11.500   0.5220   0.13508   0.11485  -0.0478   1.0000   1.0000
  12.000   0.5375   0.14243   0.12243  -0.0514   1.0000   1.0000
  12.500   0.5540   0.14976   0.12998  -0.0550   1.0000   1.0000
  13.000   0.5712   0.15708   0.13753  -0.0587   1.0000   1.0000
  13.500   0.5890   0.16439   0.14504  -0.0624   1.0000   1.0000
  14.000   0.6073   0.17172   0.15254  -0.0662   1.0000   1.0000
  14.500   0.6260   0.17906   0.16006  -0.0700   1.0000   1.0000
  15.000   0.6631   0.19069   0.17202  -0.0787   0.9765   1.0000
  15.500   0.6981   0.20161   0.18320  -0.0865   0.9451   1.0000
  16.000   0.7274   0.21042   0.19222  -0.0924   0.9146   1.0000
  17.000   0.7796   0.22648   0.20866  -0.1022   0.8592   1.0000
  17.500   0.8079   0.23682   0.21918  -0.1074   0.8321   1.0000
  18.000   0.8326   0.24456   0.22713  -0.1115   0.8035   1.0000
  18.500   0.8528   0.24947   0.23215  -0.1148   0.7771   1.0000
  19.000   0.8749   0.25637   0.23918  -0.1186   0.7519   1.0000
  19.500   0.8997   0.26560   0.24855  -0.1227   0.7250   1.0000
  20.000   0.9216   0.27246   0.25559  -0.1262   0.6985   1.0000
  20.500   0.9406   0.27778   0.26100  -0.1295   0.6749   1.0000
  21.000   0.9656   0.28853   0.27190  -0.1335   0.6490   1.0000
  21.500   0.9818   0.29138   0.27488  -0.1364   0.6258   1.0000
  22.000   1.0055   0.30211   0.28575  -0.1403   0.6025   1.0000
  22.500   1.0210   0.30464   0.28837  -0.1434   0.5800   1.0000
  23.000   1.0453   0.31699   0.30090  -0.1473   0.5570   1.0000
  23.500   1.0594   0.31894   0.30294  -0.1506   0.5380   1.0000
  24.000   1.0768   0.32420   0.30831  -0.1541   0.5166   1.0000
  24.500   1.0982   0.33502   0.31929  -0.1578   0.4958   1.0000
  25.000   1.1143   0.34025   0.32460  -0.1615   0.4783   1.0000
  25.500   1.1291   0.34386   0.32835  -0.1653   0.4609   1.0000
  26.000   1.1446   0.34851   0.33310  -0.1691   0.4431   1.0000
  26.500   1.1605   0.35406   0.33877  -0.1731   0.4262   1.0000
  27.000   1.1761   0.35977   0.34459  -0.1771   0.4102   1.0000
  27.500   1.1913   0.36537   0.35035  -0.1812   0.3951   1.0000
  28.000   1.2061   0.37095   0.35603  -0.1853   0.3805   1.0000
  28.500   1.2208   0.37691   0.36211  -0.1896   0.3668   1.0000
  29.000   1.2361   0.38431   0.36963  -0.1938   0.3537   1.0000
  30.000   1.2640   0.39574   0.38138  -0.2025   0.3272   1.0000
