  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.4063   0.08900   0.07928   0.0420   1.0000   0.6918
   0.500  -0.3630   0.08563   0.07551   0.0283   1.0000   0.6620
   1.000  -0.2932   0.08335   0.07262   0.0110   1.0000   0.6379
   1.500  -0.2197   0.08182   0.07049  -0.0040   1.0000   0.6246
   2.000  -0.1415   0.08148   0.06943  -0.0188   1.0000   0.6194
   2.500  -0.0694   0.08172   0.06903  -0.0305   1.0000   0.6250
   3.000  -0.0003   0.08264   0.06939  -0.0406   1.0000   0.6425
   3.500   0.0629   0.08387   0.07029  -0.0484   1.0000   0.6769
   4.000   0.1163   0.08461   0.07150  -0.0531   1.0000   0.7498
   4.500   0.1583   0.08509   0.07186  -0.0588   1.0000   1.0000
   5.000   0.2343   0.09073   0.07573  -0.0704   1.0000   1.0000
   5.500   0.2911   0.09573   0.07882  -0.0758   1.0000   1.0000
   6.000   0.3320   0.10018   0.08150  -0.0774   1.0000   1.0000
   6.500   0.3644   0.10449   0.08462  -0.0781   1.0000   1.0000
   7.000   0.3942   0.10890   0.08822  -0.0789   1.0000   1.0000
   7.500   0.4227   0.11345   0.09216  -0.0798   1.0000   1.0000
   8.000   0.4502   0.11812   0.09636  -0.0808   1.0000   1.0000
   8.500   0.4770   0.12292   0.10080  -0.0820   1.0000   1.0000
   9.000   0.5032   0.12785   0.10546  -0.0833   1.0000   1.0000
   9.500   0.5288   0.13291   0.11030  -0.0846   1.0000   1.0000
  10.000   0.5538   0.13808   0.11533  -0.0862   1.0000   1.0000
  10.500   0.5782   0.14337   0.12052  -0.0878   1.0000   1.0000
  11.000   0.6023   0.14877   0.12587  -0.0895   1.0000   1.0000
  11.500   0.6258   0.15429   0.13139  -0.0914   1.0000   1.0000
  12.000   0.6489   0.15993   0.13706  -0.0935   1.0000   1.0000
  12.500   0.6715   0.16570   0.14289  -0.0956   1.0000   1.0000
  13.000   0.6938   0.17160   0.14888  -0.0980   1.0000   1.0000
  13.500   0.7155   0.17762   0.15501  -0.1005   1.0000   1.0000
  14.000   0.7369   0.18377   0.16132  -0.1031   1.0000   1.0000
  14.500   0.7578   0.19004   0.16775  -0.1058   1.0000   1.0000
  15.000   0.7784   0.19647   0.17437  -0.1088   1.0000   1.0000
  15.500   0.8172   0.20709   0.18529  -0.1165   0.9717   1.0000
  16.000   0.8578   0.21643   0.19495  -0.1242   0.9143   1.0000
  16.500   0.8929   0.22692   0.20571  -0.1300   0.8643   1.0000
  17.000   0.9188   0.23308   0.21212  -0.1336   0.8194   1.0000
  17.500   0.9443   0.24084   0.22014  -0.1372   0.7794   1.0000
  18.000   0.9689   0.24932   0.22884  -0.1407   0.7437   1.0000
  18.500   0.9973   0.26208   0.24187  -0.1447   0.7087   1.0000
  19.000   1.0109   0.26309   0.24305  -0.1468   0.6809   1.0000
  19.500   1.0340   0.27256   0.25274  -0.1502   0.6517   1.0000
  20.000   1.0560   0.28285   0.26324  -0.1536   0.6276   1.0000
  20.500   1.0724   0.28770   0.26825  -0.1566   0.6062   1.0000
  21.000   1.0905   0.29451   0.27523  -0.1599   0.5859   1.0000
  21.500   1.1099   0.30309   0.28401  -0.1633   0.5664   1.0000
  22.000   1.1282   0.31050   0.29162  -0.1666   0.5478   1.0000
  22.500   1.1396   0.31001   0.29124  -0.1699   0.5334   1.0000
  23.000   1.1556   0.31619   0.29759  -0.1735   0.5201   1.0000
  23.500   1.1779   0.33022   0.31181  -0.1773   0.5053   1.0000
  24.000   1.1882   0.32799   0.30972  -0.1809   0.4927   1.0000
  24.500   1.2054   0.33671   0.31862  -0.1847   0.4823   1.0000
  25.000   1.2210   0.34204   0.32414  -0.1884   0.4690   1.0000
  25.500   1.2349   0.34658   0.32881  -0.1926   0.4607   1.0000
  26.000   1.2519   0.35472   0.33719  -0.1964   0.4483   1.0000
  26.500   1.2640   0.35750   0.34009  -0.2005   0.4410   1.0000
  27.000   1.2802   0.36533   0.34816  -0.2044   0.4294   1.0000
  27.500   1.2924   0.36849   0.35145  -0.2087   0.4227   1.0000
  28.000   1.3076   0.37534   0.35853  -0.2128   0.4119   1.0000
  28.500   1.3193   0.37881   0.36216  -0.2172   0.4054   1.0000
  29.000   1.3336   0.38542   0.36900  -0.2213   0.3953   1.0000
  29.500   1.3446   0.38825   0.37198  -0.2258   0.3889   1.0000
  30.000   1.3590   0.39616   0.38014  -0.2299   0.3792   1.0000
