  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0481   0.05905   0.03900  -0.0013   1.0000   1.0000
   0.500  -0.0616   0.06011   0.04005   0.0029   1.0000   1.0000
   1.000  -0.0734   0.06125   0.04113   0.0066   1.0000   1.0000
   1.500  -0.0803   0.06244   0.04223   0.0095   1.0000   1.0000
   2.000  -0.0789   0.06387   0.04352   0.0111   1.0000   1.0000
   2.500  -0.0692   0.06569   0.04518   0.0113   1.0000   1.0000
   3.000  -0.0528   0.06794   0.04726   0.0103   1.0000   1.0000
   3.500  -0.0317   0.07061   0.04977   0.0085   1.0000   1.0000
   4.000  -0.0072   0.07367   0.05268   0.0061   1.0000   1.0000
   4.500   0.0194   0.07709   0.05598   0.0032   1.0000   1.0000
   5.000   0.0474   0.08083   0.05962   0.0001   1.0000   1.0000
   5.500   0.0762   0.08487   0.06357  -0.0033   1.0000   1.0000
   6.000   0.1053   0.08916   0.06781  -0.0067   1.0000   1.0000
   6.500   0.1345   0.09371   0.07232  -0.0103   1.0000   1.0000
   7.000   0.1637   0.09846   0.07707  -0.0140   1.0000   1.0000
   7.500   0.1926   0.10343   0.08204  -0.0177   1.0000   1.0000
   8.000   0.2213   0.10857   0.08723  -0.0215   1.0000   1.0000
   8.500   0.2497   0.11389   0.09259  -0.0253   1.0000   1.0000
   9.000   0.2778   0.11936   0.09815  -0.0292   1.0000   1.0000
   9.500   0.3055   0.12498   0.10385  -0.0332   1.0000   1.0000
  10.000   0.3330   0.13074   0.10971  -0.0372   1.0000   1.0000
  10.500   0.3602   0.13663   0.11572  -0.0413   1.0000   1.0000
  11.000   0.3872   0.14265   0.12187  -0.0454   1.0000   1.0000
  11.500   0.4139   0.14879   0.12817  -0.0497   1.0000   1.0000
  12.000   0.4404   0.15505   0.13458  -0.0540   1.0000   1.0000
  12.500   0.4666   0.16142   0.14111  -0.0584   1.0000   1.0000
  13.000   0.4925   0.16791   0.14779  -0.0629   1.0000   1.0000
  13.500   0.5182   0.17452   0.15457  -0.0675   1.0000   1.0000
  14.000   0.5437   0.18124   0.16149  -0.0721   1.0000   1.0000
  14.500   0.5689   0.18807   0.16851  -0.0769   1.0000   1.0000
  15.000   0.5939   0.19501   0.17565  -0.0817   1.0000   1.0000
  15.500   0.6324   0.20536   0.18630  -0.0900   0.9833   1.0000
  16.000   0.6713   0.21405   0.19526  -0.0983   0.9488   1.0000
  16.500   0.7059   0.22194   0.20342  -0.1051   0.9144   1.0000
  17.000   0.7430   0.23339   0.21511  -0.1124   0.8807   1.0000
  17.500   0.7672   0.23627   0.21823  -0.1166   0.8488   1.0000
  18.000   0.8024   0.24875   0.23095  -0.1232   0.8178   1.0000
  18.500   0.8234   0.25078   0.23320  -0.1269   0.7897   1.0000
  19.000   0.8518   0.25882   0.24148  -0.1320   0.7593   1.0000
  19.500   0.8817   0.26985   0.25274  -0.1373   0.7322   1.0000
  20.000   0.9013   0.27216   0.25522  -0.1411   0.7070   1.0000
  20.500   0.9247   0.27787   0.26115  -0.1454   0.6800   1.0000
  21.000   0.9522   0.28803   0.27155  -0.1504   0.6538   1.0000
  21.500   0.9765   0.29667   0.28038  -0.1550   0.6308   1.0000
  22.000   0.9954   0.29988   0.28375  -0.1591   0.6086   1.0000
  22.500   1.0156   0.30478   0.28884  -0.1635   0.5866   1.0000
  23.000   1.0362   0.31057   0.29482  -0.1679   0.5652   1.0000
  23.500   1.0568   0.31685   0.30127  -0.1725   0.5450   1.0000
  24.000   1.0776   0.32391   0.30852  -0.1772   0.5262   1.0000
  24.500   1.0991   0.33240   0.31718  -0.1819   0.5078   1.0000
  25.000   1.1226   0.34427   0.32925  -0.1866   0.4890   1.0000
  25.500   1.1363   0.34289   0.32804  -0.1913   0.4726   1.0000
  26.000   1.1524   0.34646   0.33174  -0.1962   0.4594   1.0000
  26.500   1.1747   0.35914   0.34462  -0.2011   0.4446   1.0000
  27.000   1.1893   0.35966   0.34531  -0.2061   0.4298   1.0000
  27.500   1.2056   0.36491   0.35069  -0.2113   0.4189   1.0000
  28.000   1.2269   0.37744   0.36347  -0.2160   0.4040   1.0000
  28.500   1.2378   0.37445   0.36057  -0.2216   0.3948   1.0000
  29.000   1.2612   0.39351   0.37992  -0.2262   0.3812   1.0000
  29.500   1.2692   0.38482   0.37130  -0.2323   0.3730   1.0000
  30.000   1.2911   0.40311   0.38987  -0.2368   0.3603   1.0000
