  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1215   0.03660   0.01820  -0.0434   1.0000   1.0000
   0.500   0.1715   0.03792   0.01705  -0.0424   1.0000   1.0000
   1.000   0.2090   0.03922   0.01645  -0.0408   1.0000   1.0000
   1.500   0.2434   0.04070   0.01691  -0.0397   1.0000   1.0000
   2.000   0.2765   0.04240   0.01791  -0.0390   1.0000   1.0000
   2.500   0.3086   0.04433   0.01936  -0.0386   1.0000   1.0000
   3.000   0.3397   0.04649   0.02122  -0.0385   1.0000   1.0000
   3.500   0.3700   0.04890   0.02344  -0.0386   1.0000   1.0000
   4.000   0.3993   0.05157   0.02603  -0.0389   1.0000   1.0000
   4.500   0.4278   0.05449   0.02902  -0.0394   1.0000   1.0000
   5.000   0.4554   0.05770   0.03239  -0.0401   1.0000   1.0000
   5.500   0.4820   0.06119   0.03615  -0.0409   1.0000   1.0000
   6.000   0.5076   0.06498   0.04072  -0.0419   1.0000   1.0000
   6.500   0.5320   0.06908   0.04526  -0.0431   1.0000   1.0000
   7.000   0.5550   0.07353   0.05021  -0.0445   1.0000   1.0000
   7.500   0.5768   0.07835   0.05589  -0.0461   1.0000   1.0000
   8.000   0.5972   0.08357   0.06174  -0.0478   1.0000   1.0000
   8.500   0.6160   0.08924   0.06807  -0.0499   1.0000   1.0000
   9.000   0.6331   0.09539   0.07493  -0.0522   1.0000   1.0000
   9.500   0.6483   0.10210   0.08235  -0.0548   1.0000   1.0000
  10.000   0.6614   0.10943   0.09039  -0.0578   1.0000   1.0000
  10.500   0.6725   0.11743   0.09905  -0.0613   1.0000   1.0000
  11.000   0.6821   0.12606   0.10822  -0.0651   1.0000   1.0000
  11.500   0.6917   0.13510   0.11770  -0.0693   1.0000   1.0000
  12.000   0.7022   0.14426   0.12719  -0.0735   1.0000   1.0000
  12.500   0.7145   0.15335   0.13656  -0.0777   1.0000   1.0000
  13.000   0.7284   0.16232   0.14577  -0.0818   1.0000   1.0000
  13.500   0.7436   0.17119   0.15484  -0.0858   1.0000   1.0000
  14.000   0.7597   0.18004   0.16386  -0.0898   1.0000   1.0000
  14.500   0.8170   0.19821   0.18281  -0.1044   0.9299   1.0000
  15.000   0.8488   0.20853   0.19324  -0.1107   0.8725   1.0000
  15.500   0.8754   0.21855   0.20328  -0.1153   0.8329   1.0000
  16.000   0.9014   0.22820   0.21293  -0.1193   0.7918   1.0000
  16.500   0.9292   0.23872   0.22345  -0.1230   0.7440   1.0000
  17.000   0.9539   0.24857   0.23331  -0.1262   0.7076   1.0000
  17.500   0.9719   0.25506   0.23977  -0.1290   0.6841   1.0000
  18.000   0.9917   0.26293   0.24763  -0.1321   0.6626   1.0000
  18.500   1.0157   0.27409   0.25880  -0.1358   0.6403   1.0000
  19.000   1.0308   0.27829   0.26300  -0.1385   0.6201   1.0000
  19.500   1.0520   0.28758   0.27230  -0.1419   0.5989   1.0000
  20.000   1.0727   0.29629   0.28104  -0.1451   0.5753   1.0000
  20.500   1.0887   0.30092   0.28566  -0.1480   0.5533   1.0000
  21.000   1.1078   0.30884   0.29359  -0.1512   0.5313   1.0000
  21.500   1.1299   0.31998   0.30477  -0.1546   0.5081   1.0000
  22.000   1.1432   0.32213   0.30693  -0.1578   0.4893   1.0000
  22.500   1.1636   0.33212   0.31753  -0.1612   0.4694   1.0000
  23.000   1.1800   0.33850   0.32393  -0.1649   0.4538   1.0000
  23.500   1.1951   0.34334   0.32881  -0.1686   0.4388   1.0000
  24.000   1.2108   0.34899   0.33452  -0.1725   0.4240   1.0000
  24.500   1.2266   0.35502   0.34062  -0.1764   0.4096   1.0000
  25.000   1.2423   0.36120   0.34688  -0.1804   0.3957   1.0000
  25.500   1.2576   0.36731   0.35306  -0.1845   0.3825   1.0000
  26.000   1.2726   0.37339   0.35921  -0.1887   0.3698   1.0000
  26.500   1.2874   0.37960   0.36551  -0.1930   0.3576   1.0000
  27.000   1.3022   0.38638   0.37264  -0.1972   0.3459   1.0000
  27.500   1.3172   0.39405   0.38042  -0.2015   0.3341   1.0000
  28.000   1.3323   0.40288   0.38939  -0.2057   0.3220   1.0000
  28.500   1.3439   0.40445   0.39109  -0.2105   0.3110   1.0000
  29.000   1.3555   0.40717   0.39390  -0.2154   0.3011   1.0000
  29.500   1.3681   0.41276   0.39961  -0.2201   0.2916   1.0000
  30.000   1.3816   0.42146   0.40856  -0.2245   0.2813   1.0000
