  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0398   0.04241   0.02397   0.0074   1.0000   1.0000
   0.500   0.0277   0.04524   0.02646   0.0100   1.0000   1.0000
   1.000   0.0252   0.04812   0.02893   0.0113   1.0000   1.0000
   1.500   0.0304   0.05099   0.03133   0.0120   1.0000   1.0000
   2.000   0.0407   0.05389   0.03376   0.0123   1.0000   1.0000
   2.500   0.0543   0.05688   0.03619   0.0124   1.0000   1.0000
   3.000   0.0700   0.05999   0.03887   0.0123   1.0000   1.0000
   3.500   0.0872   0.06325   0.04174   0.0120   1.0000   1.0000
   4.000   0.1055   0.06664   0.04478   0.0115   1.0000   1.0000
   4.500   0.1244   0.07019   0.04802   0.0109   1.0000   1.0000
   5.000   0.1440   0.07390   0.05146   0.0102   1.0000   1.0000
   5.500   0.1638   0.07778   0.05510   0.0094   1.0000   1.0000
   6.000   0.1838   0.08182   0.05890   0.0085   1.0000   1.0000
   6.500   0.2040   0.08603   0.06291   0.0075   1.0000   1.0000
   7.000   0.2241   0.09038   0.06710   0.0063   1.0000   1.0000
   7.500   0.2442   0.09490   0.07152   0.0051   1.0000   1.0000
   8.000   0.2642   0.09956   0.07611   0.0037   1.0000   1.0000
   8.500   0.2842   0.10434   0.08086   0.0022   1.0000   1.0000
   9.000   0.3041   0.10924   0.08577   0.0007   1.0000   1.0000
   9.500   0.3239   0.11427   0.09080  -0.0010   1.0000   1.0000
  10.000   0.3436   0.11938   0.09595  -0.0028   1.0000   1.0000
  10.500   0.3633   0.12460   0.10123  -0.0047   1.0000   1.0000
  11.000   0.3829   0.12990   0.10664  -0.0067   1.0000   1.0000
  11.500   0.4024   0.13528   0.11211  -0.0088   1.0000   1.0000
  12.000   0.4219   0.14074   0.11768  -0.0111   1.0000   1.0000
  12.500   0.4413   0.14631   0.12336  -0.0134   1.0000   1.0000
  13.000   0.4607   0.15193   0.12926  -0.0159   1.0000   1.0000
  13.500   0.4800   0.15766   0.13516  -0.0185   1.0000   1.0000
  14.000   0.4991   0.16349   0.14118  -0.0212   1.0000   1.0000
  14.500   0.5181   0.16943   0.14742  -0.0240   1.0000   1.0000
  15.000   0.5369   0.17550   0.15370  -0.0270   1.0000   1.0000
  15.500   0.5726   0.18671   0.16523  -0.0346   0.9801   1.0000
  16.000   0.6185   0.19887   0.17781  -0.0445   0.9197   1.0000
  16.500   0.6573   0.21064   0.18992  -0.0515   0.8597   1.0000
  17.000   0.6830   0.21755   0.19725  -0.0554   0.8152   1.0000
  17.500   0.7134   0.22820   0.20819  -0.0597   0.7656   1.0000
  18.000   0.7382   0.23677   0.21698  -0.0630   0.7241   1.0000
  18.500   0.7558   0.24143   0.22181  -0.0653   0.6933   1.0000
  19.000   0.7784   0.24956   0.23015  -0.0682   0.6588   1.0000
  19.500   0.7982   0.25635   0.23711  -0.0708   0.6268   1.0000
  20.000   0.8175   0.26326   0.24424  -0.0735   0.5999   1.0000
  20.500   0.8367   0.27027   0.25144  -0.0764   0.5769   1.0000
  21.000   0.8527   0.27527   0.25685  -0.0792   0.5574   1.0000
  21.500   0.8718   0.28296   0.26479  -0.0823   0.5364   1.0000
  22.000   0.8876   0.28799   0.27003  -0.0852   0.5169   1.0000
  22.500   0.9074   0.29672   0.27903  -0.0883   0.4946   1.0000
  23.000   0.9216   0.30064   0.28314  -0.0913   0.4768   1.0000
  23.500   0.9369   0.30584   0.28859  -0.0946   0.4612   1.0000
  24.000   0.9526   0.31164   0.29462  -0.0980   0.4462   1.0000
  24.500   0.9681   0.31760   0.30082  -0.1015   0.4319   1.0000
  25.000   0.9833   0.32364   0.30730  -0.1051   0.4178   1.0000
  25.500   0.9986   0.32988   0.31379  -0.1087   0.4032   1.0000
  26.000   1.0171   0.34115   0.32535  -0.1121   0.3850   1.0000
  26.500   1.0293   0.34396   0.32831  -0.1157   0.3694   1.0000
  27.000   1.0432   0.34970   0.33421  -0.1195   0.3555   1.0000
  27.500   1.0569   0.35540   0.34007  -0.1234   0.3414   1.0000
  28.000   1.0700   0.36001   0.34475  -0.1272   0.3255   1.0000
  28.500   1.0845   0.36690   0.35170  -0.1309   0.3064   1.0000
  29.000   1.0973   0.37195   0.35689  -0.1350   0.2938   1.0000
  29.500   1.1099   0.37710   0.36209  -0.1393   0.2835   1.0000
  30.000   1.1232   0.38382   0.36884  -0.1434   0.2724   1.0000
