  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1241   0.05183   0.02867  -0.0027   1.0000   1.0000
   0.500  -0.1092   0.05247   0.02876   0.0004   1.0000   1.0000
   1.000  -0.0916   0.05335   0.02910   0.0030   1.0000   1.0000
   1.500  -0.0718   0.05448   0.02977   0.0052   1.0000   1.0000
   2.000  -0.0506   0.05583   0.03072   0.0069   1.0000   1.0000
   2.500  -0.0284   0.05741   0.03195   0.0083   1.0000   1.0000
   3.000  -0.0056   0.05922   0.03348   0.0094   1.0000   1.0000
   3.500   0.0175   0.06125   0.03527   0.0101   1.0000   1.0000
   4.000   0.0407   0.06351   0.03736   0.0106   1.0000   1.0000
   4.500   0.0638   0.06597   0.03971   0.0109   1.0000   1.0000
   5.000   0.0870   0.06865   0.04231   0.0109   1.0000   1.0000
   5.500   0.1100   0.07154   0.04518   0.0108   1.0000   1.0000
   6.000   0.1330   0.07461   0.04826   0.0105   1.0000   1.0000
   6.500   0.1559   0.07788   0.05158   0.0100   1.0000   1.0000
   7.000   0.1787   0.08132   0.05514   0.0093   1.0000   1.0000
   7.500   0.2014   0.08494   0.05889   0.0085   1.0000   1.0000
   8.000   0.2238   0.08872   0.06283   0.0076   1.0000   1.0000
   8.500   0.2462   0.09266   0.06702   0.0065   1.0000   1.0000
   9.000   0.2683   0.09676   0.07136   0.0054   1.0000   1.0000
   9.500   0.2902   0.10100   0.07590   0.0041   1.0000   1.0000
  10.000   0.3118   0.10538   0.08060   0.0026   1.0000   1.0000
  10.500   0.3332   0.10991   0.08547   0.0011   1.0000   1.0000
  11.000   0.3544   0.11458   0.09056  -0.0005   1.0000   1.0000
  11.500   0.3752   0.11938   0.09577  -0.0023   1.0000   1.0000
  12.000   0.3957   0.12433   0.10115  -0.0043   1.0000   1.0000
  12.500   0.4158   0.12943   0.10678  -0.0064   1.0000   1.0000
  13.000   0.4354   0.13472   0.11257  -0.0086   1.0000   1.0000
  13.500   0.4545   0.14022   0.11860  -0.0111   1.0000   1.0000
  14.000   0.4727   0.14598   0.12496  -0.0138   1.0000   1.0000
  14.500   0.4900   0.15208   0.13161  -0.0168   1.0000   1.0000
  15.000   0.5062   0.15860   0.13868  -0.0202   1.0000   1.0000
  15.500   0.5211   0.16563   0.14620  -0.0239   1.0000   1.0000
  16.000   0.5352   0.17319   0.15417  -0.0280   1.0000   1.0000
  16.500   0.5976   0.19486   0.17657  -0.0450   0.9086   1.0000
  17.000   0.6291   0.20475   0.18676  -0.0516   0.8426   1.0000
  17.500   0.6613   0.21780   0.20002  -0.0575   0.7900   1.0000
  18.000   0.6800   0.22305   0.20539  -0.0604   0.7524   1.0000
  18.500   0.7063   0.23376   0.21630  -0.0645   0.7164   1.0000
  19.000   0.7254   0.24011   0.22273  -0.0675   0.6883   1.0000
  19.500   0.7438   0.24612   0.22880  -0.0704   0.6625   1.0000
  20.000   0.7654   0.25487   0.23762  -0.0738   0.6388   1.0000
  20.500   0.7834   0.26054   0.24336  -0.0767   0.6164   1.0000
  21.000   0.8055   0.27032   0.25327  -0.0802   0.5959   1.0000
  21.500   0.8208   0.27422   0.25721  -0.0830   0.5780   1.0000
  22.000   0.8383   0.28012   0.26317  -0.0861   0.5593   1.0000
  22.500   0.8576   0.28760   0.27073  -0.0894   0.5414   1.0000
  23.000   0.8763   0.29515   0.27835  -0.0928   0.5251   1.0000
  24.000   0.9118   0.30933   0.29271  -0.0996   0.4946   1.0000
  24.500   0.9281   0.31514   0.29859  -0.1030   0.4801   1.0000
  25.000   0.9432   0.31973   0.30322  -0.1064   0.4664   1.0000
  25.500   0.9576   0.32371   0.30725  -0.1100   0.4537   1.0000
  26.000   0.9723   0.32850   0.31209  -0.1136   0.4413   1.0000
  26.500   0.9874   0.33396   0.31767  -0.1172   0.4291   1.0000
  27.000   1.0032   0.34052   0.32430  -0.1210   0.4172   1.0000
  27.500   1.0199   0.34866   0.33253  -0.1247   0.4049   1.0000
  28.000   1.0350   0.35481   0.33879  -0.1285   0.3924   1.0000
  28.500   1.0458   0.35550   0.33951  -0.1325   0.3823   1.0000
  29.000   1.0596   0.36094   0.34501  -0.1365   0.3724   1.0000
  29.500   1.0758   0.37053   0.35477  -0.1403   0.3613   1.0000
  30.000   1.0871   0.37218   0.35651  -0.1444   0.3504   1.0000
