  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0383   0.03414   0.00975  -0.0194   1.0000   1.0000
   0.500   0.0763   0.03458   0.00971  -0.0179   1.0000   1.0000
   1.000   0.1138   0.03518   0.01004  -0.0164   1.0000   1.0000
   1.500   0.1507   0.03594   0.01066  -0.0151   1.0000   1.0000
   2.000   0.1866   0.03690   0.01159  -0.0139   1.0000   1.0000
   2.500   0.2211   0.03808   0.01287  -0.0130   1.0000   1.0000
   3.000   0.2540   0.03953   0.01457  -0.0123   1.0000   1.0000
   3.500   0.2847   0.04130   0.01660  -0.0119   1.0000   1.0000
   4.000   0.3130   0.04345   0.01911  -0.0119   1.0000   1.0000
   4.500   0.3388   0.04605   0.02224  -0.0123   1.0000   1.0000
   5.000   0.3617   0.04917   0.02582  -0.0133   1.0000   1.0000
   5.500   0.3819   0.05285   0.02997  -0.0149   1.0000   1.0000
   6.000   0.3998   0.05713   0.03473  -0.0171   1.0000   1.0000
   6.500   0.4159   0.06198   0.04006  -0.0198   1.0000   1.0000
   7.000   0.4307   0.06736   0.04607  -0.0229   1.0000   1.0000
   7.500   0.4448   0.07323   0.05240  -0.0263   1.0000   1.0000
   8.000   0.4585   0.07952   0.05913  -0.0299   1.0000   1.0000
   8.500   0.4721   0.08621   0.06626  -0.0336   1.0000   1.0000
   9.000   0.4858   0.09322   0.07367  -0.0373   1.0000   1.0000
   9.500   0.4997   0.10051   0.08133  -0.0410   1.0000   1.0000
  10.000   0.5138   0.10803   0.08923  -0.0448   1.0000   1.0000
  10.500   0.5283   0.11573   0.09726  -0.0485   1.0000   1.0000
  11.000   0.5432   0.12358   0.10559  -0.0522   1.0000   1.0000
  11.500   0.5588   0.13153   0.11382  -0.0560   1.0000   1.0000
  12.000   0.5748   0.13949   0.12203  -0.0597   1.0000   1.0000
  12.500   0.5915   0.14752   0.13028  -0.0635   1.0000   1.0000
  13.000   0.6087   0.15556   0.13852  -0.0672   1.0000   1.0000
  13.500   0.6265   0.16359   0.14672  -0.0710   1.0000   1.0000
  14.000   0.6446   0.17161   0.15488  -0.0748   1.0000   1.0000
  14.500   0.6631   0.17963   0.16304  -0.0786   1.0000   1.0000
  15.000   0.7059   0.19464   0.17830  -0.0888   0.9683   1.0000
  15.500   0.7468   0.20565   0.18973  -0.0976   0.9062   1.0000
  16.000   0.7821   0.21656   0.20081  -0.1038   0.8501   1.0000
  16.500   0.8096   0.22554   0.20988  -0.1082   0.8104   1.0000
  17.000   0.8354   0.23426   0.21869  -0.1121   0.7730   1.0000
  17.500   0.8612   0.24306   0.22757  -0.1156   0.7325   1.0000
  18.000   0.8861   0.25162   0.23618  -0.1188   0.6917   1.0000
  18.500   0.9124   0.26218   0.24681  -0.1222   0.6551   1.0000
  19.000   0.9322   0.26864   0.25331  -0.1249   0.6260   1.0000
  19.500   0.9530   0.27641   0.26130  -0.1279   0.5988   1.0000
  20.000   0.9742   0.28486   0.26979  -0.1310   0.5726   1.0000
  20.500   0.9955   0.29360   0.27858  -0.1341   0.5461   1.0000
  21.000   1.0149   0.30098   0.28603  -0.1370   0.5199   1.0000
  21.500   1.0305   0.30499   0.29004  -0.1399   0.4963   1.0000
  22.000   1.0485   0.31183   0.29691  -0.1430   0.4743   1.0000
  22.500   1.0689   0.32131   0.30647  -0.1462   0.4521   1.0000
  23.000   1.0846   0.32640   0.31157  -0.1497   0.4351   1.0000
  23.500   1.0999   0.33114   0.31651  -0.1532   0.4179   1.0000
  24.000   1.1169   0.33790   0.32333  -0.1568   0.4010   1.0000
  24.500   1.1346   0.34618   0.33170  -0.1604   0.3846   1.0000
  25.000   1.1528   0.35606   0.34163  -0.1640   0.3690   1.0000
  25.500   1.1671   0.36086   0.34648  -0.1678   0.3549   1.0000
  26.000   1.1815   0.36596   0.35163  -0.1717   0.3409   1.0000
  26.500   1.1964   0.37217   0.35791  -0.1756   0.3274   1.0000
  27.000   1.2114   0.37936   0.36518  -0.1795   0.3143   1.0000
  27.500   1.2241   0.38204   0.36806  -0.1839   0.3023   1.0000
  28.000   1.2357   0.38405   0.37011  -0.1884   0.2923   1.0000
  28.500   1.2491   0.38969   0.37582  -0.1928   0.2831   1.0000
  29.000   1.2642   0.39956   0.38580  -0.1967   0.2729   1.0000
  29.500   1.2753   0.40087   0.38720  -0.2015   0.2633   1.0000
  30.000   1.2867   0.40490   0.39130  -0.2061   0.2558   1.0000
