  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1696   0.05906   0.04697  -0.0196   1.0000   0.6582
   0.500  -0.0444   0.05747   0.04234  -0.0367   1.0000   1.0000
   1.000   0.0002   0.05938   0.04126  -0.0355   1.0000   1.0000
   1.500   0.0363   0.06133   0.04134  -0.0348   1.0000   1.0000
   2.000   0.0705   0.06346   0.04212  -0.0344   1.0000   1.0000
   2.500   0.1037   0.06577   0.04331  -0.0342   1.0000   1.0000
   3.000   0.1360   0.06827   0.04486  -0.0341   1.0000   1.0000
   3.500   0.1674   0.07095   0.04676  -0.0342   1.0000   1.0000
   4.000   0.1979   0.07383   0.04897  -0.0344   1.0000   1.0000
   4.500   0.2276   0.07691   0.05153  -0.0348   1.0000   1.0000
   5.000   0.2565   0.08020   0.05439  -0.0353   1.0000   1.0000
   5.500   0.2844   0.08369   0.05753  -0.0359   1.0000   1.0000
   6.000   0.3116   0.08738   0.06099  -0.0366   1.0000   1.0000
   6.500   0.3378   0.09127   0.06468  -0.0374   1.0000   1.0000
   7.000   0.3634   0.09535   0.06866  -0.0384   1.0000   1.0000
   7.500   0.3881   0.09962   0.07290  -0.0395   1.0000   1.0000
   8.000   0.4122   0.10407   0.07738  -0.0407   1.0000   1.0000
   8.500   0.4357   0.10869   0.08205  -0.0420   1.0000   1.0000
   9.000   0.4587   0.11345   0.08692  -0.0434   1.0000   1.0000
   9.500   0.4812   0.11835   0.09203  -0.0450   1.0000   1.0000
  10.000   0.5034   0.12339   0.09725  -0.0467   1.0000   1.0000
  10.500   0.5252   0.12855   0.10263  -0.0485   1.0000   1.0000
  11.000   0.5467   0.13380   0.10813  -0.0504   1.0000   1.0000
  11.500   0.5679   0.13918   0.11392  -0.0524   1.0000   1.0000
  12.000   0.5888   0.14467   0.11972  -0.0546   1.0000   1.0000
  12.500   0.6094   0.15026   0.12568  -0.0568   1.0000   1.0000
  13.000   0.6297   0.15598   0.13188  -0.0593   1.0000   1.0000
  13.500   0.6497   0.16182   0.13815  -0.0618   1.0000   1.0000
  14.000   0.6694   0.16780   0.14458  -0.0646   1.0000   1.0000
  14.500   0.6887   0.17393   0.15127  -0.0674   1.0000   1.0000
  15.000   0.7078   0.18024   0.15807  -0.0705   1.0000   1.0000
  15.500   0.7264   0.18671   0.16506  -0.0737   1.0000   1.0000
  16.000   0.7609   0.19705   0.17611  -0.0814   0.9762   1.0000
  16.500   0.8041   0.20961   0.18957  -0.0909   0.9164   1.0000
  17.000   0.8339   0.21841   0.19903  -0.0967   0.8660   1.0000
  17.500   0.8605   0.22728   0.20852  -0.1015   0.8199   1.0000
  18.000   0.8838   0.23578   0.21767  -0.1056   0.7790   1.0000
  18.500   0.9072   0.24585   0.22828  -0.1098   0.7419   1.0000
  19.000   0.9258   0.25284   0.23572  -0.1132   0.7074   1.0000
  19.500   0.9493   0.26498   0.24829  -0.1174   0.6737   1.0000
  20.000   0.9656   0.27114   0.25476  -0.1205   0.6441   1.0000
  20.500   0.9849   0.28050   0.26440  -0.1242   0.6173   1.0000
  21.000   1.0039   0.28942   0.27358  -0.1278   0.5912   1.0000
  21.500   1.0174   0.29305   0.27733  -0.1311   0.5711   1.0000
  22.000   1.0397   0.30586   0.29043  -0.1350   0.5489   1.0000
  22.500   1.0536   0.30957   0.29424  -0.1385   0.5330   1.0000
  23.000   1.0698   0.31509   0.29987  -0.1420   0.5142   1.0000
  23.500   1.0873   0.32256   0.30744  -0.1458   0.4993   1.0000
  24.000   1.1063   0.33186   0.31685  -0.1496   0.4834   1.0000
  24.500   1.1231   0.33877   0.32382  -0.1534   0.4683   1.0000
  25.000   1.1388   0.34440   0.32953  -0.1572   0.4550   1.0000
  25.500   1.1550   0.35083   0.33603  -0.1612   0.4419   1.0000
  26.000   1.1708   0.35679   0.34217  -0.1651   0.4283   1.0000
  26.500   1.1865   0.36282   0.34828  -0.1691   0.4148   1.0000
  27.000   1.2028   0.37039   0.35593  -0.1730   0.4022   1.0000
  27.500   1.2198   0.37943   0.36508  -0.1770   0.3897   1.0000
  28.000   1.2322   0.38118   0.36691  -0.1813   0.3783   1.0000
  28.500   1.2453   0.38491   0.37070  -0.1855   0.3671   1.0000
  29.000   1.2589   0.39019   0.37606  -0.1899   0.3569   1.0000
  29.500   1.2738   0.39811   0.38408  -0.1940   0.3463   1.0000
  30.000   1.2896   0.40808   0.39429  -0.1980   0.3348   1.0000
