  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.3438   0.06567   0.04899   0.0122   1.0000   0.5824
   0.500  -0.1194   0.06812   0.05071  -0.0234   1.0000   1.0000
   1.000  -0.0571   0.07042   0.05016  -0.0247   1.0000   1.0000
   1.500  -0.0156   0.07221   0.04991  -0.0228   1.0000   1.0000
   2.000   0.0204   0.07397   0.05026  -0.0211   1.0000   1.0000
   2.500   0.0549   0.07586   0.05110  -0.0197   1.0000   1.0000
   3.000   0.0889   0.07787   0.05231  -0.0186   1.0000   1.0000
   3.500   0.1225   0.08004   0.05385  -0.0176   1.0000   1.0000
   4.000   0.1558   0.08235   0.05562  -0.0169   1.0000   1.0000
   4.500   0.1887   0.08481   0.05768  -0.0162   1.0000   1.0000
   5.000   0.2211   0.08743   0.06001  -0.0157   1.0000   1.0000
   5.500   0.2530   0.09021   0.06260  -0.0154   1.0000   1.0000
   6.000   0.2844   0.09316   0.06544  -0.0151   1.0000   1.0000
   6.500   0.3151   0.09629   0.06855  -0.0150   1.0000   1.0000
   7.000   0.3451   0.09961   0.07193  -0.0150   1.0000   1.0000
   7.500   0.3744   0.10313   0.07558  -0.0151   1.0000   1.0000
   8.000   0.4028   0.10686   0.07952  -0.0154   1.0000   1.0000
   8.500   0.4302   0.11082   0.08376  -0.0158   1.0000   1.0000
   9.000   0.4567   0.11503   0.08830  -0.0163   1.0000   1.0000
   9.500   0.4820   0.11951   0.09316  -0.0170   1.0000   1.0000
  10.000   0.5062   0.12431   0.09845  -0.0179   1.0000   1.0000
  10.500   0.5290   0.12944   0.10407  -0.0190   1.0000   1.0000
  11.000   0.5502   0.13497   0.11013  -0.0204   1.0000   1.0000
  11.500   0.5698   0.14096   0.11670  -0.0220   1.0000   1.0000
  12.000   0.5874   0.14749   0.12393  -0.0240   1.0000   1.0000
  12.500   0.6028   0.15473   0.13179  -0.0264   1.0000   1.0000
  13.000   0.6157   0.16275   0.14041  -0.0293   1.0000   1.0000
  13.500   0.6264   0.17165   0.14988  -0.0329   1.0000   1.0000
  14.000   0.6360   0.18125   0.15995  -0.0368   1.0000   1.0000
  14.500   0.6457   0.19135   0.17044  -0.0411   1.0000   1.0000
  15.000   0.6983   0.20626   0.18607  -0.0570   0.8943   1.0000
  15.500   0.7225   0.21568   0.19592  -0.0622   0.8371   1.0000
  16.000   0.7424   0.22395   0.20441  -0.0661   0.8012   1.0000
  16.500   0.7621   0.23214   0.21276  -0.0696   0.7739   1.0000
  17.000   0.7818   0.24097   0.22174  -0.0732   0.7554   1.0000
  17.500   0.7986   0.24784   0.22876  -0.0763   0.7405   1.0000
  18.000   0.8158   0.25442   0.23549  -0.0793   0.7246   1.0000
  18.500   0.8337   0.26141   0.24263  -0.0825   0.7095   1.0000
  19.000   0.8527   0.26965   0.25118  -0.0861   0.6989   1.0000
  19.500   0.8736   0.27933   0.26104  -0.0899   0.6875   1.0000
  20.000   0.8899   0.28516   0.26702  -0.0930   0.6750   1.0000
  20.500   0.9083   0.29254   0.27457  -0.0964   0.6609   1.0000
  21.000   0.9258   0.29935   0.28152  -0.0997   0.6472   1.0000
  21.500   0.9404   0.30393   0.28623  -0.1028   0.6362   1.0000
  22.000   0.9565   0.31003   0.29245  -0.1062   0.6250   1.0000
  22.500   0.9735   0.31666   0.29935  -0.1097   0.6119   1.0000
  23.000   0.9911   0.32347   0.30629  -0.1131   0.5961   1.0000
  23.500   1.0089   0.33065   0.31360  -0.1166   0.5806   1.0000
  24.000   1.0248   0.33674   0.31980  -0.1202   0.5675   1.0000
  24.500   1.0408   0.34292   0.32609  -0.1237   0.5540   1.0000
  25.000   1.0573   0.34951   0.33279  -0.1272   0.5388   1.0000
  25.500   1.0744   0.35690   0.34042  -0.1307   0.5226   1.0000
  26.000   1.0904   0.36366   0.34730  -0.1343   0.5076   1.0000
  26.500   1.1048   0.36901   0.35276  -0.1378   0.4938   1.0000
  27.000   1.1192   0.37458   0.35843  -0.1414   0.4796   1.0000
  27.500   1.1335   0.38035   0.36432  -0.1450   0.4651   1.0000
  28.000   1.1472   0.38573   0.36981  -0.1485   0.4508   1.0000
  28.500   1.1603   0.39080   0.37500  -0.1522   0.4367   1.0000
  29.000   1.1722   0.39497   0.37939  -0.1559   0.4239   1.0000
  29.500   1.1842   0.39957   0.38411  -0.1597   0.4118   1.0000
  30.000   1.1963   0.40495   0.38961  -0.1634   0.3996   1.0000
