  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.03622   0.01142   0.0000   1.0000   1.0000
   0.500   0.0188   0.03632   0.01153   0.0041   1.0000   1.0000
   1.000   0.0388   0.03660   0.01185   0.0080   1.0000   1.0000
   1.500   0.0609   0.03708   0.01238   0.0114   1.0000   1.0000
   2.000   0.0853   0.03776   0.01317   0.0142   1.0000   1.0000
   2.500   0.1115   0.03864   0.01432   0.0164   1.0000   1.0000
   3.000   0.1388   0.03974   0.01571   0.0181   1.0000   1.0000
   3.500   0.1667   0.04109   0.01745   0.0192   1.0000   1.0000
   4.000   0.1945   0.04272   0.01963   0.0200   1.0000   1.0000
   4.500   0.2218   0.04468   0.02216   0.0202   1.0000   1.0000
   5.000   0.2478   0.04704   0.02519   0.0199   1.0000   1.0000
   5.500   0.2714   0.04994   0.02883   0.0189   1.0000   1.0000
   6.000   0.2911   0.05360   0.03339   0.0171   1.0000   1.0000
   6.500   0.3047   0.05840   0.03892   0.0140   1.0000   1.0000
   7.000   0.3109   0.06466   0.04572   0.0095   1.0000   1.0000
   7.500   0.3140   0.07198   0.05336   0.0042   1.0000   1.0000
   8.000   0.3197   0.07958   0.06117  -0.0009   1.0000   1.0000
   8.500   0.4593   0.10419   0.08693  -0.0326   0.7955   1.0000
   9.000   0.4735   0.11263   0.09541  -0.0358   0.7881   1.0000
   9.500   0.4187   0.11196   0.09434  -0.0288   0.9246   1.0000
  10.000   0.3698   0.10916   0.09120  -0.0165   1.0000   1.0000
  10.500   0.3861   0.11636   0.09848  -0.0198   1.0000   1.0000
  11.000   0.4032   0.12351   0.10571  -0.0231   1.0000   1.0000
  11.500   0.4210   0.13063   0.11289  -0.0264   1.0000   1.0000
  12.000   0.4393   0.13773   0.12021  -0.0296   1.0000   1.0000
  12.500   0.4580   0.14481   0.12735  -0.0330   1.0000   1.0000
  13.000   0.4772   0.15189   0.13449  -0.0363   1.0000   1.0000
  13.500   0.4967   0.15897   0.14163  -0.0398   1.0000   1.0000
  14.000   0.5164   0.16605   0.14878  -0.0433   1.0000   1.0000
  14.500   0.5365   0.17314   0.15593  -0.0470   0.9997   1.0000
  15.000   0.5856   0.18743   0.17046  -0.0582   0.9593   1.0000
  15.500   0.6226   0.19814   0.18133  -0.0657   0.9177   1.0000
  16.000   0.6557   0.20806   0.19155  -0.0716   0.8752   1.0000
  16.500   0.6894   0.21923   0.20284  -0.0772   0.8300   1.0000
  17.000   0.7151   0.22647   0.21015  -0.0807   0.7868   1.0000
  17.500   0.7432   0.23620   0.21995  -0.0846   0.7477   1.0000
  18.000   0.7635   0.24181   0.22560  -0.0873   0.7156   1.0000
  18.500   0.7873   0.25001   0.23386  -0.0906   0.6841   1.0000
  19.000   0.8117   0.25922   0.24312  -0.0940   0.6542   1.0000
  19.500   0.8345   0.26780   0.25175  -0.0972   0.6260   1.0000
  20.000   0.8560   0.27566   0.25983  -0.1003   0.5984   1.0000
  20.500   0.8761   0.28266   0.26683  -0.1032   0.5709   1.0000
  21.000   0.8962   0.28987   0.27407  -0.1061   0.5437   1.0000
  21.500   0.9144   0.29549   0.27974  -0.1090   0.5177   1.0000
  22.000   0.9304   0.29942   0.28367  -0.1120   0.4946   1.0000
  22.500   0.9501   0.30748   0.29175  -0.1154   0.4736   1.0000
  23.000   0.9668   0.31235   0.29667  -0.1187   0.4534   1.0000
  23.500   0.9881   0.32302   0.30739  -0.1223   0.4345   1.0000
  24.000   1.0021   0.32571   0.31024  -0.1260   0.4183   1.0000
  24.500   1.0179   0.33043   0.31502  -0.1297   0.4015   1.0000
  25.000   1.0348   0.33661   0.32125  -0.1335   0.3852   1.0000
  25.500   1.0520   0.34369   0.32841  -0.1374   0.3694   1.0000
  26.000   1.0691   0.35136   0.33615  -0.1413   0.3542   1.0000
  26.500   1.0856   0.35876   0.34362  -0.1453   0.3397   1.0000
  27.000   1.1007   0.36444   0.34937  -0.1495   0.3261   1.0000
  27.500   1.1144   0.36800   0.35308  -0.1538   0.3133   1.0000
  28.000   1.1273   0.37066   0.35580  -0.1584   0.3018   1.0000
  28.500   1.1406   0.37447   0.35967  -0.1631   0.2913   1.0000
  29.000   1.1549   0.38081   0.36609  -0.1676   0.2817   1.0000
  29.500   1.1710   0.39115   0.37654  -0.1718   0.2710   1.0000
  30.000   1.1813   0.39000   0.37547  -0.1770   0.2622   1.0000
