  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0048   0.05171   0.03117   0.0046   1.0000   1.0000
   0.500  -0.0124   0.05148   0.03098   0.0096   1.0000   1.0000
   1.000  -0.0205   0.05131   0.03083   0.0145   1.0000   1.0000
   1.500  -0.0276   0.05132   0.03084   0.0191   1.0000   1.0000
   2.000  -0.0301   0.05174   0.03123   0.0225   1.0000   1.0000
   2.500  -0.0253   0.05290   0.03234   0.0239   1.0000   1.0000
   3.000  -0.0163   0.05489   0.03428   0.0237   1.0000   1.0000
   3.500  -0.0052   0.05764   0.03698   0.0224   1.0000   1.0000
   4.000   0.0079   0.06093   0.04020   0.0203   1.0000   1.0000
   4.500   0.0234   0.06459   0.04379   0.0178   1.0000   1.0000
   5.000   0.0408   0.06853   0.04766   0.0152   1.0000   1.0000
   5.500   0.0597   0.07270   0.05178   0.0124   1.0000   1.0000
   6.000   0.0798   0.07711   0.05614   0.0095   1.0000   1.0000
   6.500   0.1006   0.08174   0.06073   0.0066   1.0000   1.0000
   7.000   0.1220   0.08656   0.06552   0.0037   1.0000   1.0000
   7.500   0.1439   0.09155   0.07049   0.0007   1.0000   1.0000
   8.000   0.1659   0.09670   0.07564  -0.0023   1.0000   1.0000
   8.500   0.1883   0.10200   0.08094  -0.0053   1.0000   1.0000
   9.000   0.2107   0.10742   0.08637  -0.0084   1.0000   1.0000
   9.500   0.2334   0.11295   0.09193  -0.0115   1.0000   1.0000
  10.000   0.2561   0.11858   0.09759  -0.0147   1.0000   1.0000
  10.500   0.2788   0.12430   0.10336  -0.0179   1.0000   1.0000
  11.000   0.3017   0.13008   0.10919  -0.0212   1.0000   1.0000
  11.500   0.3246   0.13594   0.11509  -0.0246   1.0000   1.0000
  12.000   0.3476   0.14187   0.12110  -0.0280   1.0000   1.0000
  12.500   0.3706   0.14787   0.12716  -0.0315   1.0000   1.0000
  13.000   0.3936   0.15391   0.13329  -0.0350   1.0000   1.0000
  13.500   0.4165   0.16001   0.13946  -0.0386   1.0000   1.0000
  14.000   0.4393   0.16615   0.14569  -0.0423   1.0000   1.0000
  14.500   0.4682   0.17419   0.15388  -0.0475   0.9939   1.0000
  15.000   0.5132   0.18586   0.16574  -0.0567   0.9572   1.0000
  15.500   0.5547   0.19816   0.17825  -0.0646   0.9202   1.0000
  16.000   0.5846   0.20490   0.18515  -0.0697   0.8891   1.0000
  16.500   0.6127   0.21121   0.19162  -0.0743   0.8580   1.0000
  17.000   0.6402   0.21786   0.19841  -0.0787   0.8276   1.0000
  17.500   0.6698   0.22721   0.20793  -0.0835   0.8013   1.0000
  18.000   0.6941   0.23273   0.21360  -0.0872   0.7736   1.0000
  18.500   0.7186   0.23932   0.22033  -0.0911   0.7478   1.0000
  19.000   0.7442   0.24680   0.22800  -0.0951   0.7218   1.0000
  19.500   0.7688   0.25478   0.23612  -0.0991   0.7001   1.0000
  20.000   0.7883   0.25825   0.23975  -0.1023   0.6766   1.0000
  20.500   0.8146   0.26800   0.24970  -0.1064   0.6524   1.0000
  21.000   0.8359   0.27444   0.25627  -0.1101   0.6332   1.0000
  21.500   0.8542   0.27795   0.25995  -0.1136   0.6133   1.0000
  22.000   0.8740   0.28311   0.26527  -0.1171   0.5919   1.0000
  22.500   0.8952   0.29008   0.27242  -0.1210   0.5720   1.0000
  23.000   0.9161   0.29730   0.27985  -0.1249   0.5537   1.0000
  23.500   0.9378   0.30605   0.28879  -0.1288   0.5349   1.0000
  24.000   0.9573   0.31309   0.29598  -0.1327   0.5173   1.0000
  24.500   0.9756   0.31889   0.30197  -0.1367   0.5008   1.0000
  25.000   0.9928   0.32413   0.30739  -0.1405   0.4842   1.0000
  25.500   1.0100   0.32959   0.31301  -0.1444   0.4676   1.0000
  26.000   1.0282   0.33695   0.32059  -0.1484   0.4516   1.0000
  26.500   1.0440   0.34142   0.32526  -0.1524   0.4358   1.0000
  27.000   1.0589   0.34500   0.32900  -0.1565   0.4206   1.0000
  27.500   1.0729   0.34774   0.33188  -0.1608   0.4064   1.0000
  28.000   1.0870   0.35162   0.33593  -0.1650   0.3923   1.0000
  28.500   1.1021   0.35651   0.34097  -0.1695   0.3788   1.0000
  29.000   1.1172   0.36257   0.34718  -0.1738   0.3658   1.0000
  29.500   1.1333   0.37104   0.35581  -0.1780   0.3522   1.0000
  30.000   1.1496   0.38050   0.36550  -0.1822   0.3379   1.0000
