  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0622   0.05258   0.02945  -0.0020   1.0000   1.0000
   0.500  -0.0664   0.05223   0.02901   0.0031   1.0000   1.0000
   1.000  -0.0695   0.05186   0.02853   0.0082   1.0000   1.0000
   1.500  -0.0698   0.05157   0.02811   0.0128   1.0000   1.0000
   2.000  -0.0643   0.05152   0.02788   0.0166   1.0000   1.0000
   2.500  -0.0499   0.05188   0.02804   0.0190   1.0000   1.0000
   3.000  -0.0287   0.05265   0.02865   0.0202   1.0000   1.0000
   3.500  -0.0032   0.05378   0.02967   0.0207   1.0000   1.0000
   4.000   0.0247   0.05522   0.03107   0.0207   1.0000   1.0000
   4.500   0.0538   0.05695   0.03282   0.0203   1.0000   1.0000
   5.000   0.0834   0.05897   0.03493   0.0197   1.0000   1.0000
   5.500   0.1128   0.06126   0.03737   0.0188   1.0000   1.0000
   6.000   0.1417   0.06386   0.04020   0.0177   1.0000   1.0000
   6.500   0.1696   0.06676   0.04338   0.0164   1.0000   1.0000
   7.000   0.1963   0.07002   0.04699   0.0149   1.0000   1.0000
   7.500   0.2216   0.07366   0.05100   0.0130   1.0000   1.0000
   8.000   0.2452   0.07773   0.05549   0.0110   1.0000   1.0000
   8.500   0.2668   0.08227   0.06050   0.0085   1.0000   1.0000
   9.000   0.2864   0.08733   0.06601   0.0058   1.0000   1.0000
   9.500   0.3041   0.09292   0.07207   0.0026   1.0000   1.0000
  10.000   0.3199   0.09903   0.07866  -0.0009   1.0000   1.0000
  10.500   0.3346   0.10562   0.08568  -0.0047   1.0000   1.0000
  11.000   0.3488   0.11258   0.09301  -0.0088   1.0000   1.0000
  11.500   0.3632   0.11980   0.10056  -0.0130   1.0000   1.0000
  12.000   0.3783   0.12715   0.10819  -0.0173   1.0000   1.0000
  12.500   0.3944   0.13453   0.11584  -0.0216   1.0000   1.0000
  13.000   0.4117   0.14192   0.12344  -0.0259   1.0000   1.0000
  13.500   0.4298   0.14926   0.13095  -0.0302   1.0000   1.0000
  14.000   0.4487   0.15656   0.13839  -0.0344   1.0000   1.0000
  15.000   0.5399   0.18398   0.16637  -0.0550   0.9054   1.0000
  15.500   0.5684   0.19184   0.17438  -0.0603   0.8693   1.0000
  16.000   0.5984   0.20120   0.18388  -0.0656   0.8347   1.0000
  16.500   0.6226   0.20842   0.19123  -0.0697   0.8091   1.0000
  17.000   0.6500   0.21762   0.20053  -0.0744   0.7828   1.0000
  17.500   0.6751   0.22540   0.20841  -0.0785   0.7566   1.0000
  18.000   0.6974   0.23234   0.21542  -0.0823   0.7364   1.0000
  18.500   0.7196   0.23872   0.22193  -0.0860   0.7133   1.0000
  19.000   0.7443   0.24756   0.23083  -0.0901   0.6917   1.0000
  19.500   0.7636   0.25229   0.23563  -0.0935   0.6709   1.0000
  20.000   0.7869   0.26033   0.24377  -0.0974   0.6508   1.0000
  20.500   0.8103   0.26908   0.25263  -0.1014   0.6314   1.0000
  21.000   0.8280   0.27273   0.25634  -0.1048   0.6119   1.0000
  21.500   0.8488   0.27930   0.26299  -0.1085   0.5922   1.0000
  22.000   0.8708   0.28749   0.27128  -0.1125   0.5740   1.0000
  22.500   0.8930   0.29665   0.28055  -0.1165   0.5561   1.0000
  23.000   0.9097   0.30015   0.28410  -0.1201   0.5390   1.0000
  23.500   0.9273   0.30473   0.28876  -0.1238   0.5216   1.0000
  24.000   0.9455   0.31034   0.29444  -0.1277   0.5050   1.0000
  24.500   0.9638   0.31617   0.30035  -0.1317   0.4889   1.0000
  25.000   0.9817   0.32203   0.30633  -0.1356   0.4725   1.0000
  25.500   0.9996   0.32798   0.31237  -0.1396   0.4564   1.0000
  26.000   1.0167   0.33367   0.31814  -0.1437   0.4411   1.0000
  26.500   1.0334   0.33903   0.32357  -0.1479   0.4270   1.0000
  27.000   1.0495   0.34434   0.32895  -0.1521   0.4135   1.0000
  27.500   1.0656   0.34981   0.33456  -0.1563   0.4000   1.0000
  28.000   1.0814   0.35556   0.34038  -0.1605   0.3867   1.0000
  28.500   1.0976   0.36204   0.34695  -0.1648   0.3736   1.0000
  29.000   1.1143   0.37032   0.35532  -0.1690   0.3605   1.0000
  29.500   1.1281   0.37359   0.35871  -0.1735   0.3482   1.0000
  30.000   1.1396   0.37491   0.36013  -0.1781   0.3381   1.0000
