  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.03688   0.01192  -0.0000   1.0000   1.0000
   0.500   0.0168   0.03696   0.01201   0.0045   1.0000   1.0000
   1.000   0.0340   0.03723   0.01230   0.0089   1.0000   1.0000
   1.500   0.0529   0.03767   0.01279   0.0130   1.0000   1.0000
   2.000   0.0739   0.03828   0.01351   0.0165   1.0000   1.0000
   2.500   0.0969   0.03908   0.01451   0.0195   1.0000   1.0000
   3.000   0.1213   0.04005   0.01575   0.0220   1.0000   1.0000
   3.500   0.1466   0.04123   0.01735   0.0241   1.0000   1.0000
   4.000   0.1723   0.04264   0.01921   0.0257   1.0000   1.0000
   4.500   0.1979   0.04432   0.02145   0.0269   1.0000   1.0000
   5.000   0.2226   0.04632   0.02418   0.0276   1.0000   1.0000
   5.500   0.2455   0.04876   0.02738   0.0278   1.0000   1.0000
   6.000   0.2647   0.05184   0.03129   0.0272   1.0000   1.0000
   6.500   0.2772   0.05599   0.03625   0.0253   1.0000   1.0000
   7.000   0.2796   0.06184   0.04273   0.0215   1.0000   1.0000
   7.500   0.2781   0.06895   0.05010   0.0165   1.0000   1.0000
   8.000   0.2810   0.07624   0.05752   0.0116   1.0000   1.0000
   8.500   0.4364   0.10210   0.08465  -0.0217   0.7615   1.0000
   9.000   0.4433   0.10939   0.09192  -0.0237   0.7615   1.0000
  10.000   0.3285   0.10430   0.08596  -0.0030   1.0000   1.0000
  10.500   0.3443   0.11120   0.09293  -0.0061   1.0000   1.0000
  11.000   0.3609   0.11809   0.09989  -0.0092   1.0000   1.0000
  11.500   0.3780   0.12494   0.10687  -0.0122   1.0000   1.0000
  12.000   0.3957   0.13179   0.11377  -0.0153   1.0000   1.0000
  12.500   0.4138   0.13865   0.12069  -0.0184   1.0000   1.0000
  13.000   0.4322   0.14547   0.12757  -0.0215   1.0000   1.0000
  13.500   0.4508   0.15232   0.13447  -0.0247   1.0000   1.0000
  14.000   0.4697   0.15917   0.14143  -0.0279   1.0000   1.0000
  14.500   0.4888   0.16604   0.14834  -0.0312   1.0000   1.0000
  15.000   0.5294   0.17884   0.16132  -0.0402   0.9735   1.0000
  15.500   0.5704   0.19104   0.17371  -0.0488   0.9296   1.0000
  16.000   0.6014   0.19986   0.18270  -0.0545   0.8901   1.0000
  16.500   0.6324   0.20969   0.19264  -0.0598   0.8501   1.0000
  17.000   0.6644   0.22093   0.20400  -0.0649   0.8092   1.0000
  17.500   0.6855   0.22614   0.20926  -0.0677   0.7736   1.0000
  18.500   0.7379   0.24544   0.22877  -0.0751   0.7063   1.0000
  19.000   0.7579   0.25125   0.23462  -0.0778   0.6754   1.0000
  19.500   0.7783   0.25771   0.24113  -0.0805   0.6445   1.0000
  20.000   0.7994   0.26518   0.24865  -0.0835   0.6158   1.0000
  20.500   0.8217   0.27406   0.25766  -0.0866   0.5888   1.0000
  21.000   0.8415   0.28111   0.26478  -0.0895   0.5622   1.0000
  21.500   0.8575   0.28522   0.26891  -0.0922   0.5383   1.0000
  22.000   0.8774   0.29326   0.27699  -0.0953   0.5146   1.0000
  22.500   0.8968   0.30089   0.28470  -0.0983   0.4903   1.0000
  23.000   0.9128   0.30592   0.28975  -0.1015   0.4707   1.0000
  23.500   0.9295   0.31149   0.29546  -0.1047   0.4504   1.0000
  24.000   0.9504   0.32266   0.30669  -0.1080   0.4307   1.0000
  24.500   0.9637   0.32524   0.30930  -0.1114   0.4142   1.0000
  25.000   0.9784   0.32947   0.31358  -0.1149   0.3967   1.0000
  25.500   0.9942   0.33530   0.31947  -0.1184   0.3794   1.0000
  26.000   1.0100   0.34173   0.32597  -0.1220   0.3633   1.0000
  26.500   1.0250   0.34743   0.33181  -0.1258   0.3488   1.0000
  27.000   1.0392   0.35241   0.33685  -0.1297   0.3354   1.0000
  27.500   1.0531   0.35742   0.34192  -0.1337   0.3232   1.0000
  28.000   1.0672   0.36332   0.34788  -0.1377   0.3115   1.0000
  28.500   1.0821   0.37087   0.35552  -0.1416   0.2996   1.0000
  29.000   1.0976   0.38058   0.36539  -0.1454   0.2869   1.0000
  29.500   1.1074   0.37923   0.36411  -0.1501   0.2765   1.0000
  30.000   1.1193   0.38331   0.36824  -0.1545   0.2675   1.0000
