  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.06905   0.04266   0.0000   1.0000   1.0000
   0.500   0.0139   0.06909   0.04272   0.0040   1.0000   1.0000
   1.000   0.0277   0.06921   0.04290   0.0079   1.0000   1.0000
   1.500   0.0413   0.06941   0.04321   0.0119   1.0000   1.0000
   2.000   0.0544   0.06970   0.04364   0.0158   1.0000   1.0000
   2.500   0.0671   0.07007   0.04419   0.0198   1.0000   1.0000
   3.000   0.0791   0.07055   0.04488   0.0237   1.0000   1.0000
   3.500   0.0904   0.07112   0.04571   0.0276   1.0000   1.0000
   4.000   0.1008   0.07180   0.04667   0.0315   1.0000   1.0000
   4.500   0.1101   0.07259   0.04779   0.0353   1.0000   1.0000
   5.000   0.1184   0.07351   0.04903   0.0391   1.0000   1.0000
   5.500   0.1254   0.07456   0.05045   0.0428   1.0000   1.0000
   6.000   0.1312   0.07576   0.05205   0.0463   1.0000   1.0000
   6.500   0.1359   0.07713   0.05380   0.0497   1.0000   1.0000
   7.000   0.1394   0.07869   0.05580   0.0529   1.0000   1.0000
   7.500   0.1420   0.08050   0.05800   0.0557   1.0000   1.0000
   8.000   0.1441   0.08258   0.06050   0.0581   1.0000   1.0000
   8.500   0.1458   0.08503   0.06335   0.0601   1.0000   1.0000
   9.000   0.1474   0.08789   0.06661   0.0613   1.0000   1.0000
   9.500   0.1492   0.09127   0.07042   0.0619   1.0000   1.0000
  10.000   0.1513   0.09524   0.07478   0.0616   1.0000   1.0000
  10.500   0.1536   0.09982   0.07973   0.0605   1.0000   1.0000
  11.000   0.1563   0.10498   0.08524   0.0588   1.0000   1.0000
  11.500   0.1600   0.11053   0.09107   0.0565   1.0000   1.0000
  12.000   0.1657   0.11629   0.09704   0.0540   1.0000   1.0000
  12.500   0.1738   0.12210   0.10299   0.0512   1.0000   1.0000
  13.000   0.1843   0.12788   0.10889   0.0485   1.0000   1.0000
  13.500   0.1967   0.13360   0.11470   0.0456   1.0000   1.0000
  14.000   0.2335   0.14563   0.12691   0.0368   0.9756   1.0000
  14.500   0.2696   0.15663   0.13811   0.0287   0.9384   1.0000
  15.000   0.2966   0.16511   0.14668   0.0234   0.9123   1.0000
  15.500   0.3235   0.17387   0.15556   0.0184   0.8875   1.0000
  16.000   0.3492   0.18289   0.16463   0.0138   0.8675   1.0000
  16.500   0.3693   0.18843   0.17022   0.0105   0.8484   1.0000
  17.000   0.3904   0.19459   0.17645   0.0070   0.8295   1.0000
  17.500   0.4119   0.20084   0.18275   0.0034   0.8104   1.0000
  18.000   0.4335   0.20719   0.18915  -0.0002   0.7914   1.0000
  18.500   0.4552   0.21358   0.19560  -0.0038   0.7722   1.0000
  19.000   0.4774   0.22026   0.20234  -0.0075   0.7525   1.0000
  19.500   0.5001   0.22741   0.20955  -0.0113   0.7331   1.0000
  20.000   0.5243   0.23594   0.21817  -0.0153   0.7135   1.0000
  20.500   0.5458   0.24282   0.22508  -0.0190   0.6948   1.0000
  21.000   0.5640   0.24681   0.22910  -0.0221   0.6762   1.0000
  21.500   0.5833   0.25158   0.23395  -0.0255   0.6562   1.0000
  22.000   0.6052   0.25850   0.24094  -0.0292   0.6355   1.0000
  22.500   0.6295   0.26833   0.25083  -0.0334   0.6157   1.0000
  23.000   0.6455   0.27076   0.25332  -0.0365   0.5974   1.0000
  23.500   0.6642   0.27551   0.25813  -0.0401   0.5773   1.0000
  24.000   0.6849   0.28249   0.26518  -0.0439   0.5576   1.0000
  24.500   0.7063   0.29077   0.27356  -0.0478   0.5386   1.0000
  25.000   0.7270   0.29917   0.28202  -0.0517   0.5205   1.0000
  25.500   0.7441   0.30387   0.28677  -0.0554   0.5033   1.0000
  26.000   0.7618   0.30943   0.29242  -0.0592   0.4863   1.0000
  26.500   0.7799   0.31584   0.29890  -0.0631   0.4696   1.0000
  27.000   0.7972   0.32168   0.30485  -0.0670   0.4532   1.0000
  27.500   0.8114   0.32385   0.30706  -0.0708   0.4378   1.0000
  28.000   0.8256   0.32657   0.30985  -0.0749   0.4234   1.0000
  28.500   0.8403   0.33052   0.31385  -0.0790   0.4102   1.0000
  29.000   0.8566   0.33681   0.32021  -0.0833   0.3975   1.0000
  29.500   0.8745   0.34584   0.32936  -0.0875   0.3835   1.0000
  30.000   0.8889   0.34963   0.33325  -0.0917   0.3695   1.0000
