  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0143   0.03944   0.01664   0.0002   1.0000   1.0000
   0.500   0.0312   0.04004   0.01696   0.0041   1.0000   1.0000
   1.000   0.0492   0.04092   0.01761   0.0073   1.0000   1.0000
   1.500   0.0682   0.04211   0.01860   0.0099   1.0000   1.0000
   2.000   0.0878   0.04362   0.01998   0.0117   1.0000   1.0000
   2.500   0.1076   0.04548   0.02175   0.0128   1.0000   1.0000
   3.000   0.1272   0.04772   0.02394   0.0133   1.0000   1.0000
   3.500   0.1465   0.05034   0.02656   0.0131   1.0000   1.0000
   4.000   0.1653   0.05335   0.02961   0.0124   1.0000   1.0000
   4.500   0.1838   0.05675   0.03307   0.0112   1.0000   1.0000
   5.000   0.2019   0.06050   0.03692   0.0097   1.0000   1.0000
   5.500   0.2198   0.06459   0.04112   0.0078   1.0000   1.0000
   6.000   0.2376   0.06898   0.04563   0.0058   1.0000   1.0000
   6.500   0.2552   0.07365   0.05046   0.0036   1.0000   1.0000
   7.000   0.2729   0.07859   0.05554   0.0012   1.0000   1.0000
   7.500   0.2905   0.08376   0.06087  -0.0012   1.0000   1.0000
   8.000   0.3081   0.08914   0.06642  -0.0036   1.0000   1.0000
   8.500   0.3257   0.09471   0.07218  -0.0061   1.0000   1.0000
   9.000   0.3434   0.10042   0.07807  -0.0087   1.0000   1.0000
   9.500   0.3613   0.10627   0.08409  -0.0113   1.0000   1.0000
  10.000   0.3793   0.11221   0.09023  -0.0139   1.0000   1.0000
  10.500   0.3974   0.11825   0.09649  -0.0166   1.0000   1.0000
  11.000   0.4158   0.12437   0.10280  -0.0194   1.0000   1.0000
  11.500   0.4343   0.13056   0.10920  -0.0223   1.0000   1.0000
  12.000   0.4530   0.13683   0.11567  -0.0253   1.0000   1.0000
  12.500   0.4719   0.14317   0.12227  -0.0283   1.0000   1.0000
  13.000   0.4909   0.14960   0.12892  -0.0315   1.0000   1.0000
  13.500   0.5100   0.15613   0.13566  -0.0348   1.0000   1.0000
  14.000   0.5291   0.16276   0.14251  -0.0382   1.0000   1.0000
  14.500   0.5483   0.16951   0.14953  -0.0417   1.0000   1.0000
  15.000   0.5675   0.17635   0.15658  -0.0454   1.0000   1.0000
  15.500   0.5867   0.18329   0.16373  -0.0491   1.0000   1.0000
  16.000   0.6406   0.19918   0.18005  -0.0620   0.9481   1.0000
  16.500   0.6799   0.21036   0.19160  -0.0700   0.8935   1.0000
  17.000   0.7097   0.21839   0.19983  -0.0750   0.8440   1.0000
  17.500   0.7398   0.22844   0.21008  -0.0800   0.8019   1.0000
  18.000   0.7683   0.23804   0.21986  -0.0841   0.7584   1.0000
  18.500   0.7875   0.24267   0.22468  -0.0868   0.7246   1.0000
  19.000   0.8096   0.24967   0.23182  -0.0900   0.6915   1.0000
  19.500   0.8332   0.25799   0.24029  -0.0933   0.6578   1.0000
  20.000   0.8537   0.26469   0.24711  -0.0963   0.6289   1.0000
  20.500   0.8732   0.27128   0.25387  -0.0995   0.6042   1.0000
  21.000   0.8952   0.28004   0.26276  -0.1029   0.5778   1.0000
  21.500   0.9153   0.28722   0.27009  -0.1060   0.5517   1.0000
  22.000   0.9320   0.29235   0.27530  -0.1093   0.5317   1.0000
  22.500   0.9502   0.29848   0.28162  -0.1126   0.5098   1.0000
  23.000   0.9708   0.30777   0.29102  -0.1162   0.4894   1.0000
  23.500   0.9852   0.31081   0.29415  -0.1196   0.4705   1.0000
  24.000   1.0022   0.31663   0.30009  -0.1232   0.4527   1.0000
  24.500   1.0196   0.32318   0.30676  -0.1270   0.4357   1.0000
  25.000   1.0375   0.33069   0.31446  -0.1308   0.4185   1.0000
  25.500   1.0551   0.33841   0.32230  -0.1346   0.4023   1.0000
  26.000   1.0707   0.34385   0.32784  -0.1386   0.3878   1.0000
  26.500   1.0848   0.34740   0.33148  -0.1429   0.3749   1.0000
  27.000   1.0991   0.35183   0.33600  -0.1471   0.3621   1.0000
  27.500   1.1138   0.35697   0.34130  -0.1515   0.3497   1.0000
  28.000   1.1293   0.36346   0.34790  -0.1558   0.3379   1.0000
  28.500   1.1461   0.37306   0.35762  -0.1600   0.3259   1.0000
  29.000   1.1588   0.37539   0.36009  -0.1647   0.3146   1.0000
  29.500   1.1709   0.37797   0.36275  -0.1696   0.3055   1.0000
  30.000   1.1863   0.38668   0.37158  -0.1740   0.2955   1.0000
