  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0210   0.03740   0.01238  -0.0040   1.0000   1.0000
   0.500   0.0532   0.03769   0.01230  -0.0008   1.0000   1.0000
   1.000   0.0857   0.03809   0.01249   0.0023   1.0000   1.0000
   1.500   0.1183   0.03863   0.01293   0.0051   1.0000   1.0000
   2.000   0.1507   0.03931   0.01364   0.0078   1.0000   1.0000
   2.500   0.1824   0.04016   0.01465   0.0103   1.0000   1.0000
   3.000   0.2126   0.04124   0.01600   0.0125   1.0000   1.0000
   3.500   0.2405   0.04264   0.01782   0.0144   1.0000   1.0000
   4.000   0.2640   0.04452   0.02016   0.0160   1.0000   1.0000
   4.500   0.2803   0.04719   0.02331   0.0168   1.0000   1.0000
   5.000   0.2872   0.05100   0.02752   0.0164   1.0000   1.0000
   5.500   0.2893   0.05582   0.03260   0.0147   1.0000   1.0000
   6.000   0.2936   0.06100   0.03802   0.0122   1.0000   1.0000
   6.500   0.3018   0.06622   0.04340   0.0097   1.0000   1.0000
   7.000   0.3129   0.07144   0.04879   0.0073   1.0000   1.0000
   7.500   0.3260   0.07674   0.05427   0.0050   1.0000   1.0000
   8.000   0.3403   0.08216   0.05989   0.0027   1.0000   1.0000
   8.500   0.3551   0.08773   0.06575   0.0004   1.0000   1.0000
   9.000   0.3703   0.09348   0.07173  -0.0019   1.0000   1.0000
   9.500   0.3856   0.09939   0.07789  -0.0042   1.0000   1.0000
  10.000   0.4009   0.10549   0.08423  -0.0066   1.0000   1.0000
  10.500   0.4161   0.11176   0.09077  -0.0091   1.0000   1.0000
  11.000   0.4314   0.11819   0.09751  -0.0117   1.0000   1.0000
  11.500   0.4467   0.12475   0.10433  -0.0143   1.0000   1.0000
  12.000   0.4620   0.13143   0.11124  -0.0170   1.0000   1.0000
  12.500   0.4777   0.13818   0.11822  -0.0198   1.0000   1.0000
  13.000   0.4935   0.14506   0.12537  -0.0227   1.0000   1.0000
  13.500   0.5095   0.15195   0.13246  -0.0256   1.0000   1.0000
  14.000   0.5258   0.15890   0.13959  -0.0286   1.0000   1.0000
  14.500   0.5423   0.16587   0.14672  -0.0317   1.0000   1.0000
  15.000   0.5592   0.17287   0.15387  -0.0348   1.0000   1.0000
  15.500   0.5762   0.17983   0.16102  -0.0380   1.0000   1.0000
  16.000   0.6229   0.19469   0.17622  -0.0492   0.9555   1.0000
  16.500   0.6628   0.20764   0.18945  -0.0575   0.9021   1.0000
  17.000   0.6941   0.21796   0.20002  -0.0631   0.8561   1.0000
  17.500   0.7208   0.22608   0.20830  -0.0671   0.8112   1.0000
  18.000   0.7431   0.23235   0.21469  -0.0701   0.7707   1.0000
  18.500   0.7672   0.24040   0.22291  -0.0733   0.7304   1.0000
  19.000   0.7923   0.24996   0.23260  -0.0765   0.6910   1.0000
  19.500   0.8115   0.25590   0.23863  -0.0788   0.6558   1.0000
  20.000   0.8324   0.26361   0.24650  -0.0813   0.6214   1.0000
  20.500   0.8523   0.27117   0.25417  -0.0838   0.5897   1.0000
  21.000   0.8699   0.27761   0.26070  -0.0862   0.5620   1.0000
  21.500   0.8890   0.28571   0.26889  -0.0888   0.5355   1.0000
  22.000   0.9107   0.29670   0.28003  -0.0916   0.5079   1.0000
  22.500   0.9221   0.29817   0.28156  -0.0940   0.4863   1.0000
  23.000   0.9414   0.30760   0.29112  -0.0968   0.4630   1.0000
  23.500   0.9565   0.31364   0.29722  -0.0996   0.4441   1.0000
  24.000   0.9698   0.31745   0.30114  -0.1025   0.4252   1.0000
  24.500   0.9848   0.32330   0.30709  -0.1055   0.4064   1.0000
  25.000   0.9997   0.32957   0.31345  -0.1087   0.3897   1.0000
  25.500   1.0143   0.33555   0.31952  -0.1119   0.3742   1.0000
  26.000   1.0282   0.34121   0.32525  -0.1153   0.3592   1.0000
  26.500   1.0418   0.34671   0.33083  -0.1187   0.3452   1.0000
  27.000   1.0556   0.35278   0.33704  -0.1223   0.3325   1.0000
  27.500   1.0702   0.36061   0.34496  -0.1258   0.3199   1.0000
  28.000   1.0859   0.37118   0.35565  -0.1291   0.3065   1.0000
  28.500   1.0951   0.36969   0.35423  -0.1333   0.2957   1.0000
  29.000   1.1068   0.37426   0.35893  -0.1373   0.2860   1.0000
  29.500   1.1216   0.38493   0.36971  -0.1408   0.2751   1.0000
  30.000   1.1311   0.38489   0.36977  -0.1452   0.2652   1.0000
