  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1041   0.05745   0.03695  -0.0060   1.0000   1.0000
   0.500  -0.1078   0.05749   0.03676  -0.0020   1.0000   1.0000
   1.000  -0.1094   0.05754   0.03659   0.0017   1.0000   1.0000
   1.500  -0.1072   0.05769   0.03651   0.0049   1.0000   1.0000
   2.000  -0.0978   0.05817   0.03672   0.0068   1.0000   1.0000
   2.500  -0.0807   0.05910   0.03739   0.0073   1.0000   1.0000
   3.000  -0.0575   0.06050   0.03854   0.0066   1.0000   1.0000
   3.500  -0.0302   0.06233   0.04016   0.0052   1.0000   1.0000
   4.000  -0.0003   0.06457   0.04222   0.0031   1.0000   1.0000
   4.500   0.0311   0.06717   0.04469   0.0006   1.0000   1.0000
   5.000   0.0631   0.07011   0.04753  -0.0021   1.0000   1.0000
   5.500   0.0952   0.07336   0.05074  -0.0051   1.0000   1.0000
   6.000   0.1270   0.07695   0.05432  -0.0082   1.0000   1.0000
   6.500   0.1584   0.08082   0.05823  -0.0114   1.0000   1.0000
   7.000   0.1891   0.08499   0.06249  -0.0147   1.0000   1.0000
   7.500   0.2191   0.08942   0.06702  -0.0181   1.0000   1.0000
   8.000   0.2482   0.09412   0.07186  -0.0216   1.0000   1.0000
   8.500   0.2766   0.09908   0.07700  -0.0252   1.0000   1.0000
   9.000   0.3043   0.10427   0.08238  -0.0289   1.0000   1.0000
   9.500   0.3312   0.10967   0.08802  -0.0326   1.0000   1.0000
  10.000   0.3575   0.11529   0.09386  -0.0364   1.0000   1.0000
  10.500   0.3833   0.12110   0.09992  -0.0403   1.0000   1.0000
  11.000   0.4086   0.12707   0.10618  -0.0443   1.0000   1.0000
  11.500   0.4334   0.13321   0.11260  -0.0484   1.0000   1.0000
  12.000   0.4578   0.13949   0.11919  -0.0526   1.0000   1.0000
  12.500   0.4819   0.14592   0.12591  -0.0568   1.0000   1.0000
  13.000   0.5057   0.15249   0.13277  -0.0612   1.0000   1.0000
  13.500   0.5292   0.15917   0.13978  -0.0656   1.0000   1.0000
  14.000   0.5525   0.16598   0.14690  -0.0701   1.0000   1.0000
  14.500   0.5755   0.17291   0.15416  -0.0748   1.0000   1.0000
  15.000   0.5983   0.17996   0.16152  -0.0794   1.0000   1.0000
  15.500   0.6209   0.18714   0.16900  -0.0842   1.0000   1.0000
  16.000   0.6631   0.19984   0.18217  -0.0940   0.9727   1.0000
  16.500   0.7025   0.20972   0.19245  -0.1028   0.9293   1.0000
  17.000   0.7352   0.21736   0.20049  -0.1095   0.8880   1.0000
  17.500   0.7691   0.22799   0.21146  -0.1161   0.8489   1.0000
  18.000   0.7962   0.23482   0.21860  -0.1212   0.8134   1.0000
  18.500   0.8236   0.24294   0.22704  -0.1263   0.7794   1.0000
  19.000   0.8513   0.25201   0.23639  -0.1314   0.7464   1.0000
  19.500   0.8749   0.25848   0.24313  -0.1357   0.7159   1.0000
  20.000   0.8959   0.26389   0.24877  -0.1398   0.6885   1.0000
  20.500   0.9237   0.27581   0.26093  -0.1448   0.6610   1.0000
  21.000   0.9412   0.27850   0.26381  -0.1486   0.6363   1.0000
  21.500   0.9681   0.29075   0.27633  -0.1533   0.6108   1.0000
  22.000   0.9857   0.29470   0.28040  -0.1574   0.5901   1.0000
  22.500   1.0044   0.29964   0.28549  -0.1615   0.5684   1.0000
  23.000   1.0252   0.30707   0.29308  -0.1658   0.5472   1.0000
  23.500   1.0470   0.31613   0.30233  -0.1702   0.5271   1.0000
  24.000   1.0679   0.32520   0.31154  -0.1746   0.5086   1.0000
  24.500   1.0874   0.33309   0.31956  -0.1789   0.4911   1.0000
  25.000   1.1052   0.33873   0.32531  -0.1833   0.4746   1.0000
  25.500   1.1215   0.34275   0.32944  -0.1877   0.4590   1.0000
  26.000   1.1372   0.34659   0.33337  -0.1922   0.4442   1.0000
  26.500   1.1530   0.35095   0.33780  -0.1967   0.4306   1.0000
  27.000   1.1695   0.35667   0.34361  -0.2013   0.4172   1.0000
  27.500   1.1869   0.36417   0.35124  -0.2059   0.4044   1.0000
  28.000   1.2055   0.37397   0.36114  -0.2103   0.3907   1.0000
  28.500   1.2202   0.37786   0.36515  -0.2149   0.3773   1.0000
  29.000   1.2326   0.37879   0.36613  -0.2199   0.3667   1.0000
  29.500   1.2480   0.38544   0.37289  -0.2246   0.3562   1.0000
  30.000   1.2658   0.39715   0.38470  -0.2289   0.3438   1.0000
