  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0142   0.04014   0.01714  -0.0073   1.0000   1.0000
   0.500  -0.0064   0.03956   0.01666  -0.0021   1.0000   1.0000
   1.000   0.0003   0.03905   0.01625   0.0033   1.0000   1.0000
   1.500   0.0096   0.03870   0.01595   0.0083   1.0000   1.0000
   2.000   0.0277   0.03862   0.01590   0.0118   1.0000   1.0000
   2.500   0.0540   0.03886   0.01620   0.0138   1.0000   1.0000
   3.000   0.0850   0.03940   0.01687   0.0151   1.0000   1.0000
   3.500   0.1180   0.04023   0.01795   0.0158   1.0000   1.0000
   4.000   0.1513   0.04136   0.01943   0.0162   1.0000   1.0000
   4.500   0.1833   0.04285   0.02139   0.0162   1.0000   1.0000
   5.000   0.2127   0.04480   0.02389   0.0158   1.0000   1.0000
   5.500   0.2374   0.04741   0.02712   0.0147   1.0000   1.0000
   6.000   0.2546   0.05103   0.03140   0.0126   1.0000   1.0000
   6.500   0.2616   0.05614   0.03705   0.0088   1.0000   1.0000
   7.000   0.2611   0.06286   0.04409   0.0032   1.0000   1.0000
   7.500   0.2628   0.07016   0.05153  -0.0027   1.0000   1.0000
   8.000   0.4031   0.09121   0.07349  -0.0343   0.8168   1.0000
   8.500   0.4202   0.09869   0.08100  -0.0377   0.7964   1.0000
   9.000   0.4314   0.10580   0.08808  -0.0405   0.7977   1.0000
   9.500   0.4154   0.11019   0.09233  -0.0401   0.8562   1.0000
  10.000   0.3364   0.10426   0.08595  -0.0239   1.0000   1.0000
  10.500   0.3554   0.11100   0.09272  -0.0274   1.0000   1.0000
  11.000   0.3750   0.11775   0.09951  -0.0310   1.0000   1.0000
  11.500   0.3951   0.12450   0.10629  -0.0345   1.0000   1.0000
  12.000   0.4154   0.13126   0.11313  -0.0380   1.0000   1.0000
  12.500   0.4360   0.13803   0.11993  -0.0415   1.0000   1.0000
  13.000   0.4568   0.14480   0.12674  -0.0451   1.0000   1.0000
  13.500   0.4777   0.15159   0.13357  -0.0487   1.0000   1.0000
  14.000   0.4988   0.15838   0.14045  -0.0524   1.0000   1.0000
  14.500   0.5198   0.16519   0.14731  -0.0561   1.0000   1.0000
  15.000   0.5410   0.17201   0.15419  -0.0598   1.0000   1.0000
  15.500   0.5621   0.17885   0.16113  -0.0636   1.0000   1.0000
  16.000   0.6004   0.19091   0.17333  -0.0720   0.9794   1.0000
  16.500   0.6429   0.20315   0.18576  -0.0810   0.9386   1.0000
  17.000   0.6778   0.21177   0.19458  -0.0876   0.8951   1.0000
  17.500   0.7066   0.21828   0.20121  -0.0925   0.8550   1.0000
  18.000   0.7398   0.22939   0.21246  -0.0980   0.8182   1.0000
  18.500   0.7649   0.23592   0.21911  -0.1019   0.7854   1.0000
  19.000   0.7888   0.24190   0.22519  -0.1055   0.7513   1.0000
  19.500   0.8138   0.24912   0.23252  -0.1092   0.7170   1.0000
  20.000   0.8384   0.25678   0.24033  -0.1128   0.6847   1.0000
  20.500   0.8605   0.26336   0.24701  -0.1162   0.6561   1.0000
  21.000   0.8824   0.27038   0.25413  -0.1196   0.6295   1.0000
  21.500   0.9055   0.27876   0.26262  -0.1231   0.6023   1.0000
  22.000   0.9294   0.28846   0.27252  -0.1266   0.5740   1.0000
  22.500   0.9442   0.29023   0.27434  -0.1295   0.5498   1.0000
  23.000   0.9665   0.29981   0.28403  -0.1330   0.5267   1.0000
  23.500   0.9820   0.30298   0.28729  -0.1363   0.5056   1.0000
  24.000   1.0038   0.31310   0.29761  -0.1398   0.4831   1.0000
  24.500   1.0191   0.31697   0.30153  -0.1433   0.4640   1.0000
  25.000   1.0349   0.32127   0.30593  -0.1468   0.4439   1.0000
  25.500   1.0524   0.32812   0.31290  -0.1504   0.4250   1.0000
  26.000   1.0696   0.33522   0.32017  -0.1542   0.4079   1.0000
  26.500   1.0869   0.34301   0.32808  -0.1579   0.3911   1.0000
  27.000   1.1036   0.35097   0.33615  -0.1617   0.3747   1.0000
  27.500   1.1183   0.35634   0.34162  -0.1655   0.3595   1.0000
  28.000   1.1307   0.35825   0.34360  -0.1697   0.3460   1.0000
  28.500   1.1433   0.36114   0.34661  -0.1739   0.3333   1.0000
  29.000   1.1566   0.36555   0.35110  -0.1782   0.3208   1.0000
  29.500   1.1704   0.37149   0.35713  -0.1824   0.3089   1.0000
  30.000   1.1859   0.38075   0.36651  -0.1864   0.2967   1.0000
