  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0244   0.04769   0.02746  -0.0083   1.0000   1.0000
   0.500   0.0011   0.04901   0.02804  -0.0068   1.0000   1.0000
   1.000   0.0269   0.05062   0.02900  -0.0057   1.0000   1.0000
   1.500   0.0525   0.05253   0.03039  -0.0051   1.0000   1.0000
   2.000   0.0776   0.05478   0.03220  -0.0050   1.0000   1.0000
   2.500   0.1018   0.05740   0.03448  -0.0052   1.0000   1.0000
   3.000   0.1249   0.06041   0.03720  -0.0059   1.0000   1.0000
   3.500   0.1470   0.06380   0.04038  -0.0069   1.0000   1.0000
   4.000   0.1682   0.06755   0.04396  -0.0083   1.0000   1.0000
   4.500   0.1889   0.07162   0.04788  -0.0098   1.0000   1.0000
   5.000   0.2094   0.07596   0.05211  -0.0116   1.0000   1.0000
   5.500   0.2299   0.08054   0.05660  -0.0134   1.0000   1.0000
   6.000   0.2504   0.08531   0.06130  -0.0154   1.0000   1.0000
   6.500   0.2710   0.09025   0.06619  -0.0174   1.0000   1.0000
   7.000   0.2917   0.09533   0.07124  -0.0195   1.0000   1.0000
   7.500   0.3125   0.10054   0.07643  -0.0216   1.0000   1.0000
   8.000   0.3335   0.10585   0.08174  -0.0238   1.0000   1.0000
   8.500   0.3545   0.11125   0.08718  -0.0260   1.0000   1.0000
   9.000   0.3758   0.11673   0.09270  -0.0283   1.0000   1.0000
   9.500   0.3971   0.12227   0.09829  -0.0306   1.0000   1.0000
  10.000   0.4186   0.12787   0.10399  -0.0331   1.0000   1.0000
  10.500   0.4402   0.13353   0.10973  -0.0356   1.0000   1.0000
  11.000   0.4619   0.13924   0.11554  -0.0382   1.0000   1.0000
  11.500   0.4837   0.14499   0.12145  -0.0408   1.0000   1.0000
  12.000   0.5056   0.15078   0.12739  -0.0436   1.0000   1.0000
  12.500   0.5275   0.15662   0.13338  -0.0464   1.0000   1.0000
  13.000   0.5495   0.16251   0.13950  -0.0494   1.0000   1.0000
  13.500   0.5715   0.16845   0.14564  -0.0524   1.0000   1.0000
  14.000   0.5934   0.17446   0.15186  -0.0555   1.0000   1.0000
  14.500   0.6153   0.18052   0.15821  -0.0587   1.0000   1.0000
  15.000   0.6372   0.18666   0.16462  -0.0621   1.0000   1.0000
  15.500   0.6809   0.19929   0.17774  -0.0711   0.9747   1.0000
  16.000   0.7123   0.20640   0.18524  -0.0770   0.9455   1.0000
  16.500   0.7436   0.21487   0.19418  -0.0827   0.9153   1.0000
  17.000   0.7706   0.22194   0.20166  -0.0873   0.8878   1.0000
  17.500   0.7958   0.22923   0.20936  -0.0916   0.8647   1.0000
  18.000   0.8244   0.23921   0.21984  -0.0967   0.8370   1.0000
  18.500   0.8438   0.24310   0.22415  -0.0999   0.8119   1.0000
  19.500   0.8918   0.26015   0.24212  -0.1086   0.7560   1.0000
  20.000   0.9137   0.26771   0.25007  -0.1126   0.7242   1.0000
  20.500   0.9339   0.27420   0.25690  -0.1163   0.6907   1.0000
  21.000   0.9545   0.28138   0.26440  -0.1200   0.6559   1.0000
  21.500   0.9758   0.28970   0.27298  -0.1239   0.6218   1.0000
  22.000   0.9957   0.29709   0.28057  -0.1276   0.5911   1.0000
  22.500   1.0150   0.30443   0.28814  -0.1314   0.5635   1.0000
  23.000   1.0374   0.31538   0.29929  -0.1354   0.5368   1.0000
  23.500   1.0530   0.31875   0.30282  -0.1391   0.5132   1.0000
  24.000   1.0756   0.33125   0.31551  -0.1431   0.4902   1.0000
  24.500   1.0900   0.33367   0.31809  -0.1471   0.4713   1.0000
  25.000   1.1067   0.33907   0.32364  -0.1512   0.4515   1.0000
  25.500   1.1246   0.34625   0.33099  -0.1555   0.4331   1.0000
  26.000   1.1425   0.35399   0.33888  -0.1597   0.4155   1.0000
  26.500   1.1593   0.36071   0.34575  -0.1641   0.3996   1.0000
  27.000   1.1751   0.36616   0.35137  -0.1687   0.3849   1.0000
  27.500   1.1904   0.37132   0.35665  -0.1733   0.3711   1.0000
  28.000   1.2057   0.37704   0.36249  -0.1781   0.3585   1.0000
  28.500   1.2221   0.38474   0.37031  -0.1828   0.3463   1.0000
  29.000   1.2398   0.39579   0.38156  -0.1873   0.3333   1.0000
  29.500   1.2524   0.39680   0.38271  -0.1925   0.3215   1.0000
  30.000   1.2656   0.40056   0.38656  -0.1978   0.3124   1.0000
