  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1066   0.04035   0.02062  -0.0614   1.0000   1.0000
   0.500   0.1768   0.04171   0.02086  -0.0696   1.0000   1.0000
   1.000   0.2328   0.04328   0.02164  -0.0738   1.0000   1.0000
   1.500   0.2823   0.04506   0.02290  -0.0764   1.0000   1.0000
   2.000   0.3278   0.04705   0.02455  -0.0783   1.0000   1.0000
   2.500   0.3706   0.04928   0.02660  -0.0799   1.0000   1.0000
   3.000   0.4109   0.05176   0.02903  -0.0813   1.0000   1.0000
   3.500   0.4491   0.05453   0.03188  -0.0826   1.0000   1.0000
   4.000   0.4852   0.05761   0.03512  -0.0839   1.0000   1.0000
   4.500   0.5191   0.06104   0.03884  -0.0854   1.0000   1.0000
   5.000   0.5506   0.06487   0.04301  -0.0869   1.0000   1.0000
   5.500   0.5796   0.06916   0.04771  -0.0887   1.0000   1.0000
   6.000   0.6057   0.07399   0.05306  -0.0907   1.0000   1.0000
   6.500   0.6287   0.07945   0.05904  -0.0931   1.0000   1.0000
   7.000   0.6483   0.08564   0.06576  -0.0960   1.0000   1.0000
   7.500   0.6646   0.09259   0.07330  -0.0993   1.0000   1.0000
   8.000   0.6778   0.10029   0.08152  -0.1030   1.0000   1.0000
   8.500   0.6891   0.10862   0.09033  -0.1070   1.0000   1.0000
   9.000   0.6995   0.11740   0.09953  -0.1112   1.0000   1.0000
   9.500   0.7102   0.12642   0.10893  -0.1156   1.0000   1.0000
  10.000   0.7218   0.13553   0.11836  -0.1199   1.0000   1.0000
  10.500   0.7348   0.14462   0.12779  -0.1242   1.0000   1.0000
  11.000   0.7492   0.15365   0.13707  -0.1285   1.0000   1.0000
  11.500   0.7650   0.16258   0.14622  -0.1328   1.0000   1.0000
  12.000   0.7818   0.17144   0.15527  -0.1370   1.0000   1.0000
  12.500   0.7996   0.18023   0.16424  -0.1413   1.0000   1.0000
  13.000   0.8182   0.18898   0.17321  -0.1455   1.0000   1.0000
  13.500   0.8372   0.19770   0.18207  -0.1498   1.0000   1.0000
  14.000   0.8700   0.20935   0.19396  -0.1576   0.9833   1.0000
  14.500   0.9088   0.22099   0.20584  -0.1663   0.9410   1.0000
  15.000   0.9352   0.22740   0.21240  -0.1713   0.9027   1.0000
  15.500   0.9627   0.23613   0.22133  -0.1764   0.8714   1.0000
  16.000   0.9925   0.24642   0.23176  -0.1816   0.8372   1.0000
  16.500   1.0193   0.25562   0.24109  -0.1861   0.8064   1.0000
  17.000   1.0405   0.26149   0.24704  -0.1896   0.7794   1.0000
  17.500   1.0639   0.26895   0.25466  -0.1933   0.7507   1.0000
  18.000   1.0867   0.27633   0.26212  -0.1970   0.7228   1.0000
  18.500   1.1106   0.28526   0.27115  -0.2009   0.6981   1.0000
  19.000   1.1363   0.29598   0.28200  -0.2049   0.6713   1.0000
  19.500   1.1535   0.29927   0.28539  -0.2079   0.6463   1.0000
  20.000   1.1751   0.30718   0.29337  -0.2115   0.6227   1.0000
  20.500   1.1967   0.31514   0.30144  -0.2151   0.5990   1.0000
  21.000   1.2158   0.32160   0.30797  -0.2187   0.5781   1.0000
  21.500   1.2363   0.32903   0.31550  -0.2222   0.5545   1.0000
  22.000   1.2555   0.33635   0.32294  -0.2259   0.5343   1.0000
  22.500   1.2726   0.34093   0.32760  -0.2296   0.5142   1.0000
  23.000   1.2928   0.34978   0.33657  -0.2333   0.4944   1.0000
  23.500   1.3123   0.35882   0.34568  -0.2371   0.4762   1.0000
  24.000   1.3272   0.36179   0.34873  -0.2411   0.4588   1.0000
  24.500   1.3435   0.36678   0.35387  -0.2451   0.4412   1.0000
  25.000   1.3601   0.37280   0.35997  -0.2492   0.4249   1.0000
  25.500   1.3764   0.37890   0.36617  -0.2534   0.4094   1.0000
  26.000   1.3924   0.38490   0.37226  -0.2576   0.3942   1.0000
  26.500   1.4079   0.39069   0.37815  -0.2619   0.3794   1.0000
  27.000   1.4229   0.39627   0.38382  -0.2663   0.3656   1.0000
  27.500   1.4377   0.40223   0.38995  -0.2708   0.3529   1.0000
  28.000   1.4530   0.40989   0.39771  -0.2752   0.3408   1.0000
  28.500   1.4690   0.41996   0.40790  -0.2793   0.3280   1.0000
  29.000   1.4810   0.42139   0.40946  -0.2843   0.3160   1.0000
  29.500   1.4925   0.42323   0.41137  -0.2895   0.3058   1.0000
  30.000   1.5059   0.43032   0.41863  -0.2942   0.2959   1.0000
