  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.03293   0.00772   0.0000   1.0000   1.0000
   0.500   0.0344   0.03299   0.00785   0.0025   1.0000   1.0000
   1.000   0.0685   0.03318   0.00823   0.0049   1.0000   1.0000
   1.500   0.1023   0.03351   0.00886   0.0072   1.0000   1.0000
   2.000   0.1353   0.03402   0.00973   0.0094   1.0000   1.0000
   2.500   0.1670   0.03474   0.01094   0.0115   1.0000   1.0000
   3.000   0.1972   0.03573   0.01251   0.0133   1.0000   1.0000
   3.500   0.2255   0.03704   0.01495   0.0149   1.0000   1.0000
   4.000   0.2512   0.03874   0.01744   0.0159   1.0000   1.0000
   4.500   0.2732   0.04100   0.02055   0.0162   1.0000   1.0000
   5.000   0.2902   0.04405   0.02444   0.0153   1.0000   1.0000
   5.500   0.3003   0.04826   0.02962   0.0128   1.0000   1.0000
   6.000   0.3037   0.05384   0.03564   0.0084   1.0000   1.0000
   6.500   0.3068   0.06029   0.04234   0.0032   1.0000   1.0000
   7.500   0.4920   0.09242   0.07620  -0.0375   0.7377   1.0000
   8.000   0.4977   0.09965   0.08346  -0.0394   0.7393   1.0000
   8.500   0.4945   0.10579   0.08947  -0.0407   0.7685   1.0000
   9.000   0.4761   0.10981   0.09330  -0.0403   0.8362   1.0000
  10.000   0.3991   0.10841   0.09129  -0.0234   1.0000   1.0000
  10.500   0.4163   0.11547   0.09848  -0.0265   1.0000   1.0000
  11.000   0.4340   0.12256   0.10570  -0.0296   1.0000   1.0000
  11.500   0.4519   0.12974   0.11300  -0.0326   1.0000   1.0000
  12.000   0.4700   0.13702   0.12038  -0.0358   1.0000   1.0000
  12.500   0.4884   0.14430   0.12776  -0.0389   1.0000   1.0000
  13.000   0.5069   0.15170   0.13522  -0.0422   1.0000   1.0000
  13.500   0.5257   0.15915   0.14270  -0.0455   1.0000   1.0000
  14.000   0.5446   0.16655   0.15014  -0.0489   1.0000   1.0000
  14.500   0.5638   0.17403   0.15758  -0.0523   1.0000   1.0000
  15.000   0.5976   0.18581   0.16943  -0.0596   0.9841   1.0000
  15.500   0.6470   0.19993   0.18408  -0.0704   0.9207   1.0000
  16.000   0.6900   0.21332   0.19756  -0.0779   0.8516   1.0000
  16.500   0.7202   0.22151   0.20579  -0.0819   0.7896   1.0000
  17.000   0.7486   0.23077   0.21506  -0.0853   0.7372   1.0000
  17.500   0.7734   0.23929   0.22358  -0.0882   0.6972   1.0000
  18.000   0.7963   0.24740   0.23168  -0.0910   0.6619   1.0000
  18.500   0.8219   0.25786   0.24216  -0.0941   0.6271   1.0000
  19.000   0.8403   0.26372   0.24798  -0.0965   0.5975   1.0000
  19.500   0.8597   0.27030   0.25455  -0.0990   0.5686   1.0000
  20.000   0.8793   0.27753   0.26177  -0.1018   0.5413   1.0000
  20.500   0.8987   0.28491   0.26913  -0.1046   0.5164   1.0000
  21.000   0.9189   0.29335   0.27791  -0.1076   0.4924   1.0000
  21.500   0.9389   0.30208   0.28668  -0.1105   0.4682   1.0000
  22.000   0.9529   0.30501   0.28958  -0.1134   0.4475   1.0000
  22.500   0.9720   0.31374   0.29832  -0.1165   0.4265   1.0000
  23.000   0.9873   0.31816   0.30275  -0.1197   0.4060   1.0000
  23.500   1.0057   0.32678   0.31139  -0.1230   0.3871   1.0000
  24.000   1.0196   0.33009   0.31471  -0.1265   0.3695   1.0000
  24.500   1.0362   0.33707   0.32173  -0.1299   0.3518   1.0000
  25.000   1.0533   0.34573   0.33061  -0.1334   0.3361   1.0000
  25.500   1.0692   0.35314   0.33804  -0.1371   0.3220   1.0000
  26.000   1.0838   0.35875   0.34374  -0.1410   0.3090   1.0000
  26.500   1.0960   0.36078   0.34578  -0.1452   0.2977   1.0000
  27.000   1.1086   0.36404   0.34907  -0.1495   0.2876   1.0000
  27.500   1.1224   0.36967   0.35475  -0.1537   0.2783   1.0000
  28.000   1.1374   0.37808   0.36324  -0.1577   0.2680   1.0000
  28.500   1.1498   0.38203   0.36738  -0.1620   0.2579   1.0000
  29.000   1.1611   0.38441   0.36980  -0.1667   0.2504   1.0000
  29.500   1.1756   0.39420   0.37968  -0.1707   0.2419   1.0000
  30.000   1.1858   0.39456   0.38012  -0.1756   0.2338   1.0000
