  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0654   0.05084   0.03252  -0.0454   1.0000   1.0000
   0.500  -0.0140   0.05230   0.03213  -0.0494   1.0000   1.0000
   1.000   0.0302   0.05397   0.03257  -0.0512   1.0000   1.0000
   1.500   0.0712   0.05581   0.03346  -0.0524   1.0000   1.0000
   2.000   0.1100   0.05783   0.03471  -0.0531   1.0000   1.0000
   2.500   0.1473   0.06002   0.03618  -0.0538   1.0000   1.0000
   3.000   0.1830   0.06239   0.03808  -0.0543   1.0000   1.0000
   3.500   0.2176   0.06494   0.04020  -0.0548   1.0000   1.0000
   4.000   0.2510   0.06767   0.04266  -0.0553   1.0000   1.0000
   4.500   0.2832   0.07060   0.04541  -0.0558   1.0000   1.0000
   5.000   0.3143   0.07374   0.04847  -0.0564   1.0000   1.0000
   5.500   0.3443   0.07708   0.05177  -0.0571   1.0000   1.0000
   6.000   0.3732   0.08065   0.05538  -0.0578   1.0000   1.0000
   6.500   0.4010   0.08446   0.05930  -0.0587   1.0000   1.0000
   7.000   0.4277   0.08851   0.06368  -0.0596   1.0000   1.0000
   7.500   0.4532   0.09281   0.06823  -0.0607   1.0000   1.0000
   8.000   0.4775   0.09738   0.07308  -0.0620   1.0000   1.0000
   8.500   0.5005   0.10224   0.07843  -0.0634   1.0000   1.0000
   9.000   0.5224   0.10737   0.08395  -0.0650   1.0000   1.0000
   9.500   0.5431   0.11278   0.08976  -0.0668   1.0000   1.0000
  10.000   0.5628   0.11847   0.09589  -0.0688   1.0000   1.0000
  10.500   0.5816   0.12442   0.10232  -0.0710   1.0000   1.0000
  11.000   0.5996   0.13063   0.10901  -0.0735   1.0000   1.0000
  11.500   0.6168   0.13710   0.11596  -0.0762   1.0000   1.0000
  12.000   0.6332   0.14386   0.12350  -0.0792   1.0000   1.0000
  12.500   0.6490   0.15091   0.13104  -0.0826   1.0000   1.0000
  13.000   0.6642   0.15825   0.13881  -0.0862   1.0000   1.0000
  13.500   0.6793   0.16580   0.14679  -0.0900   1.0000   1.0000
  14.000   0.6946   0.17349   0.15483  -0.0940   1.0000   1.0000
  14.500   0.7106   0.18118   0.16284  -0.0981   1.0000   1.0000
  15.000   0.7337   0.19097   0.17296  -0.1036   0.9943   1.0000
  15.500   0.7727   0.20250   0.18497  -0.1131   0.9550   1.0000
  16.000   0.8033   0.21169   0.19456  -0.1196   0.9218   1.0000
  16.500   0.8324   0.22174   0.20499  -0.1254   0.8935   1.0000
  17.000   0.8556   0.22748   0.21106  -0.1296   0.8647   1.0000
  17.500   0.8817   0.23701   0.22096  -0.1344   0.8408   1.0000
  18.000   0.9016   0.24217   0.22680  -0.1380   0.8188   1.0000
  18.500   0.9290   0.25297   0.23796  -0.1427   0.7888   1.0000
  19.000   0.9506   0.26013   0.24541  -0.1465   0.7620   1.0000
  19.500   0.9722   0.26807   0.25355  -0.1504   0.7356   1.0000
  20.000   0.9966   0.27730   0.26288  -0.1543   0.6965   1.0000
  20.500   1.0168   0.28484   0.27043  -0.1578   0.6697   1.0000
  21.000   1.0356   0.28946   0.27502  -0.1608   0.6349   1.0000
  21.500   1.0552   0.29648   0.28202  -0.1641   0.6099   1.0000
  22.000   1.0752   0.30435   0.28987  -0.1675   0.5870   1.0000
  22.500   1.0952   0.31176   0.29727  -0.1707   0.5611   1.0000
  23.000   1.1154   0.31981   0.30532  -0.1739   0.5355   1.0000
  23.500   1.1307   0.32343   0.30893  -0.1772   0.5163   1.0000
  24.000   1.1494   0.33140   0.31714  -0.1807   0.4992   1.0000
  24.500   1.1688   0.34112   0.32691  -0.1842   0.4834   1.0000
  25.000   1.1840   0.34622   0.33201  -0.1877   0.4692   1.0000
  25.500   1.1986   0.35046   0.33625  -0.1913   0.4548   1.0000
  26.000   1.2130   0.35480   0.34061  -0.1949   0.4400   1.0000
  26.500   1.2276   0.35961   0.34546  -0.1985   0.4253   1.0000
  27.000   1.2421   0.36452   0.35041  -0.2022   0.4102   1.0000
  27.500   1.2565   0.36982   0.35575  -0.2058   0.3953   1.0000
  28.000   1.2708   0.37528   0.36125  -0.2095   0.3806   1.0000
  28.500   1.2844   0.38039   0.36656  -0.2133   0.3670   1.0000
  29.000   1.2971   0.38494   0.37117  -0.2172   0.3545   1.0000
  29.500   1.3096   0.38959   0.37588  -0.2211   0.3426   1.0000
  30.000   1.3222   0.39508   0.38143  -0.2251   0.3316   1.0000
