  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0373   0.03569   0.01019  -0.0082   1.0000   1.0000
   0.500   0.0691   0.03601   0.01029  -0.0050   1.0000   1.0000
   1.000   0.1006   0.03646   0.01063  -0.0019   1.0000   1.0000
   1.500   0.1320   0.03705   0.01121   0.0010   1.0000   1.0000
   2.000   0.1630   0.03779   0.01203   0.0037   1.0000   1.0000
   2.500   0.1936   0.03871   0.01314   0.0062   1.0000   1.0000
   3.000   0.2236   0.03983   0.01459   0.0084   1.0000   1.0000
   3.500   0.2524   0.04121   0.01636   0.0102   1.0000   1.0000
   4.000   0.2798   0.04290   0.01858   0.0117   1.0000   1.0000
   4.500   0.3050   0.04499   0.02122   0.0126   1.0000   1.0000
   5.000   0.3272   0.04761   0.02444   0.0129   1.0000   1.0000
   5.500   0.3456   0.05090   0.02836   0.0124   1.0000   1.0000
   6.000   0.3597   0.05503   0.03319   0.0109   1.0000   1.0000
   6.500   0.3699   0.06009   0.03879   0.0083   1.0000   1.0000
   7.000   0.3771   0.06601   0.04518   0.0049   1.0000   1.0000
   7.500   0.3834   0.07262   0.05217   0.0010   1.0000   1.0000
   8.000   0.3903   0.07967   0.05953  -0.0031   1.0000   1.0000
   8.500   0.3986   0.08695   0.06707  -0.0070   1.0000   1.0000
   9.000   0.4086   0.09432   0.07465  -0.0107   1.0000   1.0000
   9.500   0.4202   0.10169   0.08220  -0.0141   1.0000   1.0000
  10.000   0.4331   0.10903   0.08969  -0.0173   1.0000   1.0000
  10.500   0.4471   0.11632   0.09724  -0.0204   1.0000   1.0000
  11.000   0.4620   0.12355   0.10460  -0.0234   1.0000   1.0000
  11.500   0.4778   0.13074   0.11189  -0.0264   1.0000   1.0000
  12.000   0.4942   0.13787   0.11913  -0.0294   1.0000   1.0000
  12.500   0.5112   0.14497   0.12632  -0.0324   1.0000   1.0000
  13.000   0.5287   0.15204   0.13348  -0.0355   1.0000   1.0000
  13.500   0.5465   0.15910   0.14063  -0.0386   1.0000   1.0000
  14.000   0.5647   0.16614   0.14776  -0.0418   1.0000   1.0000
  14.500   0.5832   0.17319   0.15503  -0.0451   1.0000   1.0000
  15.000   0.6024   0.18020   0.16214  -0.0487   0.9990   1.0000
  15.500   0.6515   0.19518   0.17741  -0.0601   0.9564   1.0000
  16.000   0.6899   0.20726   0.18970  -0.0680   0.9124   1.0000
  16.500   0.7188   0.21484   0.19741  -0.0729   0.8659   1.0000
  17.000   0.7495   0.22441   0.20714  -0.0777   0.8179   1.0000
  17.500   0.7751   0.23245   0.21543  -0.0813   0.7774   1.0000
  18.000   0.7998   0.24114   0.22421  -0.0849   0.7434   1.0000
  18.500   0.8214   0.24795   0.23111  -0.0877   0.7095   1.0000
  19.000   0.8475   0.25866   0.24191  -0.0913   0.6763   1.0000
  19.500   0.8649   0.26312   0.24643  -0.0935   0.6439   1.0000
  20.000   0.8875   0.27176   0.25516  -0.0963   0.6098   1.0000
  20.500   0.9101   0.28130   0.26490  -0.0993   0.5794   1.0000
  21.000   0.9287   0.28786   0.27154  -0.1020   0.5527   1.0000
  21.500   0.9437   0.29166   0.27536  -0.1046   0.5293   1.0000
  22.000   0.9623   0.29911   0.28287  -0.1077   0.5072   1.0000
  22.500   0.9827   0.30838   0.29225  -0.1108   0.4834   1.0000
  23.000   0.9963   0.31121   0.29508  -0.1139   0.4631   1.0000
  23.500   1.0173   0.32226   0.30622  -0.1171   0.4408   1.0000
  24.000   1.0297   0.32386   0.30786  -0.1204   0.4223   1.0000
  24.500   1.0465   0.33057   0.31480  -0.1238   0.4031   1.0000
  25.000   1.0651   0.34052   0.32486  -0.1273   0.3860   1.0000
  25.500   1.0805   0.34674   0.33112  -0.1310   0.3713   1.0000
  26.000   1.0951   0.35218   0.33663  -0.1349   0.3573   1.0000
  26.500   1.1098   0.35804   0.34258  -0.1388   0.3434   1.0000
  27.000   1.1246   0.36435   0.34898  -0.1427   0.3298   1.0000
  27.500   1.1386   0.36971   0.35447  -0.1468   0.3165   1.0000
  28.000   1.1504   0.37155   0.35648  -0.1512   0.3044   1.0000
  28.500   1.1625   0.37446   0.35947  -0.1557   0.2934   1.0000
  29.000   1.1754   0.37935   0.36445  -0.1601   0.2832   1.0000
  29.500   1.1898   0.38757   0.37278  -0.1644   0.2730   1.0000
  30.000   1.2027   0.39283   0.37819  -0.1689   0.2624   1.0000
