  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0150   0.03986   0.01739  -0.0088   1.0000   1.0000
   0.500   0.0439   0.04065   0.01752  -0.0064   1.0000   1.0000
   1.000   0.0739   0.04158   0.01794  -0.0044   1.0000   1.0000
   1.500   0.1046   0.04269   0.01862  -0.0027   1.0000   1.0000
   2.000   0.1355   0.04398   0.01963  -0.0014   1.0000   1.0000
   2.500   0.1662   0.04549   0.02094  -0.0004   1.0000   1.0000
   3.000   0.1963   0.04726   0.02263   0.0003   1.0000   1.0000
   3.500   0.2250   0.04935   0.02473   0.0006   1.0000   1.0000
   4.000   0.2517   0.05186   0.02734   0.0004   1.0000   1.0000
   4.500   0.2753   0.05490   0.03056  -0.0003   1.0000   1.0000
   5.000   0.2951   0.05864   0.03453  -0.0017   1.0000   1.0000
   5.500   0.3114   0.06308   0.03918  -0.0037   1.0000   1.0000
   6.000   0.3259   0.06806   0.04435  -0.0061   1.0000   1.0000
   6.500   0.3403   0.07334   0.04980  -0.0087   1.0000   1.0000
   7.000   0.3555   0.07881   0.05547  -0.0113   1.0000   1.0000
   7.500   0.3713   0.08442   0.06124  -0.0139   1.0000   1.0000
   8.000   0.3877   0.09016   0.06714  -0.0165   1.0000   1.0000
   8.500   0.4044   0.09602   0.07318  -0.0190   1.0000   1.0000
   9.000   0.4214   0.10199   0.07938  -0.0215   1.0000   1.0000
   9.500   0.4386   0.10807   0.08564  -0.0240   1.0000   1.0000
  10.000   0.4560   0.11424   0.09202  -0.0266   1.0000   1.0000
  10.500   0.4735   0.12051   0.09849  -0.0293   1.0000   1.0000
  11.000   0.4913   0.12686   0.10512  -0.0320   1.0000   1.0000
  11.500   0.5091   0.13328   0.11176  -0.0348   1.0000   1.0000
  12.000   0.5272   0.13979   0.11849  -0.0377   1.0000   1.0000
  12.500   0.5454   0.14636   0.12529  -0.0407   1.0000   1.0000
  13.000   0.5637   0.15301   0.13218  -0.0438   1.0000   1.0000
  13.500   0.5822   0.15975   0.13923  -0.0471   1.0000   1.0000
  14.000   0.6008   0.16658   0.14630  -0.0504   1.0000   1.0000
  14.500   0.6194   0.17350   0.15345  -0.0539   1.0000   1.0000
  15.000   0.6382   0.18050   0.16069  -0.0574   1.0000   1.0000
  15.500   0.6760   0.19250   0.17314  -0.0663   0.9764   1.0000
  16.000   0.7196   0.20490   0.18595  -0.0760   0.9194   1.0000
  16.500   0.7525   0.21605   0.19740  -0.0824   0.8791   1.0000
  17.000   0.7814   0.22556   0.20720  -0.0874   0.8368   1.0000
  17.500   0.8036   0.23154   0.21344  -0.0907   0.7975   1.0000
  18.000   0.8290   0.24118   0.22330  -0.0949   0.7662   1.0000
  18.500   0.8502   0.24807   0.23034  -0.0981   0.7336   1.0000
  19.000   0.8709   0.25450   0.23694  -0.1012   0.7001   1.0000
  19.500   0.8919   0.26210   0.24469  -0.1045   0.6734   1.0000
  20.000   0.9126   0.26953   0.25235  -0.1078   0.6451   1.0000
  20.500   0.9329   0.27657   0.25953  -0.1109   0.6158   1.0000
  21.000   0.9541   0.28511   0.26821  -0.1142   0.5903   1.0000
  21.500   0.9749   0.29345   0.27671  -0.1176   0.5652   1.0000
  22.000   0.9905   0.29732   0.28066  -0.1206   0.5416   1.0000
  22.500   1.0102   0.30542   0.28895  -0.1240   0.5181   1.0000
  23.000   1.0278   0.31144   0.29510  -0.1273   0.4962   1.0000
  23.500   1.0471   0.32015   0.30391  -0.1309   0.4767   1.0000
  24.000   1.0618   0.32339   0.30725  -0.1343   0.4562   1.0000
  24.500   1.0830   0.33489   0.31890  -0.1379   0.4354   1.0000
  25.000   1.0976   0.33895   0.32301  -0.1417   0.4193   1.0000
  25.500   1.1124   0.34342   0.32757  -0.1456   0.4036   1.0000
  26.000   1.1274   0.34824   0.33257  -0.1495   0.3876   1.0000
  26.500   1.1426   0.35360   0.33803  -0.1535   0.3718   1.0000
  27.000   1.1577   0.35928   0.34382  -0.1577   0.3573   1.0000
  27.500   1.1729   0.36551   0.35015  -0.1619   0.3446   1.0000
  28.000   1.1884   0.37302   0.35777  -0.1661   0.3323   1.0000
  28.500   1.2045   0.38189   0.36677  -0.1703   0.3194   1.0000
  29.000   1.2170   0.38458   0.36967  -0.1749   0.3073   1.0000
  29.500   1.2284   0.38624   0.37140  -0.1798   0.2974   1.0000
  30.000   1.2422   0.39297   0.37824  -0.1844   0.2880   1.0000
