  
       XFOIL         Version 6.99
  
 Calculated polar for: LWK 79-100                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.03474   0.01255  -0.0000   1.0000   1.0000
   0.500   0.0147   0.03491   0.01268   0.0034   1.0000   1.0000
   1.000   0.0321   0.03540   0.01308   0.0064   1.0000   1.0000
   1.500   0.0527   0.03617   0.01376   0.0086   1.0000   1.0000
   2.000   0.0760   0.03719   0.01476   0.0101   1.0000   1.0000
   2.500   0.1010   0.03848   0.01608   0.0110   1.0000   1.0000
   3.000   0.1265   0.04006   0.01776   0.0113   1.0000   1.0000
   3.500   0.1517   0.04197   0.01988   0.0111   1.0000   1.0000
   4.000   0.1757   0.04427   0.02242   0.0103   1.0000   1.0000
   4.500   0.1983   0.04703   0.02547   0.0089   1.0000   1.0000
   5.000   0.2188   0.05031   0.02910   0.0070   1.0000   1.0000
   5.500   0.2374   0.05416   0.03327   0.0045   1.0000   1.0000
   6.000   0.2543   0.05859   0.03802   0.0015   1.0000   1.0000
   6.500   0.2701   0.06356   0.04329  -0.0019   1.0000   1.0000
   7.000   0.2852   0.06899   0.04905  -0.0055   1.0000   1.0000
   7.500   0.3003   0.07483   0.05517  -0.0092   1.0000   1.0000
   8.000   0.3155   0.08103   0.06161  -0.0129   1.0000   1.0000
   8.500   0.3310   0.08752   0.06832  -0.0166   1.0000   1.0000
   9.000   0.3470   0.09423   0.07524  -0.0202   1.0000   1.0000
   9.500   0.3633   0.10111   0.08236  -0.0238   1.0000   1.0000
  10.000   0.3802   0.10810   0.08952  -0.0273   1.0000   1.0000
  10.500   0.3975   0.11518   0.09674  -0.0307   1.0000   1.0000
  11.000   0.4154   0.12229   0.10399  -0.0341   1.0000   1.0000
  11.500   0.4336   0.12945   0.11127  -0.0375   1.0000   1.0000
  12.000   0.4522   0.13660   0.11859  -0.0409   1.0000   1.0000
  12.500   0.4712   0.14377   0.12586  -0.0443   1.0000   1.0000
  13.000   0.4906   0.15095   0.13314  -0.0478   1.0000   1.0000
  13.500   0.5101   0.15814   0.14043  -0.0512   1.0000   1.0000
  14.000   0.5299   0.16535   0.14772  -0.0548   1.0000   1.0000
  14.500   0.5498   0.17256   0.15506  -0.0584   1.0000   1.0000
  15.000   0.6094   0.18906   0.17188  -0.0719   0.9321   1.0000
  15.500   0.6490   0.20089   0.18389  -0.0791   0.8769   1.0000
  16.000   0.6813   0.21035   0.19348  -0.0841   0.8245   1.0000
  16.500   0.7106   0.21976   0.20304  -0.0882   0.7791   1.0000
  17.000   0.7372   0.22903   0.21238  -0.0918   0.7426   1.0000
  17.500   0.7604   0.23631   0.21972  -0.0947   0.7058   1.0000
  18.000   0.7879   0.24724   0.23074  -0.0983   0.6710   1.0000
  18.500   0.8104   0.25542   0.23903  -0.1012   0.6409   1.0000
  19.000   0.8285   0.26048   0.24410  -0.1037   0.6137   1.0000
  19.500   0.8476   0.26660   0.25025  -0.1065   0.5877   1.0000
  20.000   0.8690   0.27488   0.25857  -0.1095   0.5625   1.0000
  21.000   0.9074   0.28836   0.27218  -0.1155   0.5169   1.0000
  21.500   0.9275   0.29597   0.27985  -0.1187   0.4944   1.0000
  22.000   0.9463   0.30349   0.28740  -0.1219   0.4749   1.0000
  22.500   0.9622   0.30761   0.29155  -0.1251   0.4556   1.0000
  23.000   0.9805   0.31456   0.29855  -0.1285   0.4369   1.0000
  23.500   0.9992   0.32260   0.30672  -0.1319   0.4197   1.0000
  24.000   1.0176   0.33096   0.31515  -0.1354   0.4035   1.0000
  24.500   1.0352   0.33875   0.32296  -0.1390   0.3880   1.0000
  25.000   1.0513   0.34482   0.32908  -0.1426   0.3732   1.0000
  25.500   1.0662   0.34934   0.33368  -0.1464   0.3591   1.0000
  26.000   1.0793   0.35163   0.33606  -0.1504   0.3465   1.0000
  26.500   1.0933   0.35537   0.33984  -0.1546   0.3353   1.0000
  27.000   1.1081   0.36128   0.34581  -0.1586   0.3242   1.0000
  27.500   1.1243   0.36968   0.35429  -0.1625   0.3127   1.0000
  28.000   1.1400   0.37752   0.36224  -0.1665   0.3002   1.0000
  28.500   1.1505   0.37676   0.36150  -0.1712   0.2910   1.0000
  29.000   1.1646   0.38357   0.36844  -0.1754   0.2821   1.0000
  29.500   1.1800   0.39294   0.37795  -0.1794   0.2711   1.0000
  30.000   1.1898   0.39169   0.37672  -0.1844   0.2641   1.0000
