  
       XFOIL         Version 6.99
  
 Calculated polar for: MA409 (smoothed)                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1444   0.03539   0.01177  -0.0575   1.0000   1.0000
   0.500   0.1911   0.03607   0.01170  -0.0573   1.0000   1.0000
   1.000   0.2361   0.03690   0.01206  -0.0569   1.0000   1.0000
   1.500   0.2797   0.03791   0.01278  -0.0566   1.0000   1.0000
   2.000   0.3217   0.03910   0.01387  -0.0562   1.0000   1.0000
   2.500   0.3620   0.04053   0.01539  -0.0559   1.0000   1.0000
   3.000   0.4003   0.04223   0.01726  -0.0557   1.0000   1.0000
   3.500   0.4365   0.04425   0.01958  -0.0557   1.0000   1.0000
   4.000   0.4702   0.04666   0.02248  -0.0559   1.0000   1.0000
   4.500   0.5010   0.04952   0.02581  -0.0565   1.0000   1.0000
   5.000   0.5290   0.05289   0.02974  -0.0575   1.0000   1.0000
   5.500   0.5539   0.05682   0.03427  -0.0589   1.0000   1.0000
   6.000   0.5761   0.06136   0.03958  -0.0607   1.0000   1.0000
   6.500   0.5955   0.06650   0.04538  -0.0631   1.0000   1.0000
   7.000   0.6123   0.07227   0.05181  -0.0658   1.0000   1.0000
   7.500   0.6270   0.07868   0.05886  -0.0690   1.0000   1.0000
   8.000   0.6396   0.08572   0.06655  -0.0725   1.0000   1.0000
   8.500   0.6503   0.09341   0.07498  -0.0763   1.0000   1.0000
   9.000   0.6596   0.10172   0.08383  -0.0804   1.0000   1.0000
   9.500   0.6679   0.11055   0.09313  -0.0846   1.0000   1.0000
  10.000   0.6764   0.11974   0.10270  -0.0890   1.0000   1.0000
  10.500   0.6861   0.12904   0.11229  -0.0933   1.0000   1.0000
  11.000   0.6975   0.13827   0.12174  -0.0975   1.0000   1.0000
  11.500   0.7107   0.14731   0.13098  -0.1016   1.0000   1.0000
  12.000   0.7254   0.15619   0.14002  -0.1055   1.0000   1.0000
  12.500   0.7414   0.16492   0.14888  -0.1094   1.0000   1.0000
  13.000   0.7583   0.17354   0.15763  -0.1132   1.0000   1.0000
  13.500   0.7759   0.18206   0.16626  -0.1171   1.0000   1.0000
  14.000   0.7940   0.19052   0.17496  -0.1209   1.0000   1.0000
  14.500   0.8327   0.20344   0.18811  -0.1302   0.9717   1.0000
  15.000   0.8650   0.21305   0.19789  -0.1373   0.9339   1.0000
  15.500   0.8945   0.22229   0.20726  -0.1430   0.8976   1.0000
  16.000   0.9235   0.23117   0.21626  -0.1480   0.8553   1.0000
  16.500   0.9514   0.24003   0.22523  -0.1523   0.8131   1.0000
  17.000   0.9792   0.25033   0.23576  -0.1566   0.7777   1.0000
  17.500   1.0004   0.25694   0.24243  -0.1597   0.7471   1.0000
  18.000   1.0234   0.26491   0.25049  -0.1631   0.7152   1.0000
  18.500   1.0504   0.27640   0.26205  -0.1668   0.6823   1.0000
  19.000   1.0686   0.28145   0.26715  -0.1694   0.6519   1.0000
  19.500   1.0887   0.28821   0.27397  -0.1722   0.6221   1.0000
  20.000   1.1093   0.29602   0.28183  -0.1753   0.5955   1.0000
  20.500   1.1316   0.30604   0.29193  -0.1786   0.5709   1.0000
  21.000   1.1483   0.31084   0.29693  -0.1816   0.5476   1.0000
  21.500   1.1662   0.31754   0.30368  -0.1849   0.5259   1.0000
  22.000   1.1883   0.32870   0.31492  -0.1881   0.5021   1.0000
  22.500   1.2019   0.33072   0.31698  -0.1914   0.4813   1.0000
  23.000   1.2226   0.34172   0.32806  -0.1947   0.4601   1.0000
  23.500   1.2361   0.34410   0.33049  -0.1983   0.4418   1.0000
  24.000   1.2529   0.35080   0.33728  -0.2018   0.4234   1.0000
  24.500   1.2708   0.35966   0.34637  -0.2055   0.4067   1.0000
  25.500   1.3031   0.37454   0.36139  -0.2132   0.3771   1.0000
  26.000   1.3178   0.38010   0.36703  -0.2172   0.3630   1.0000
  26.500   1.3323   0.38601   0.37302  -0.2213   0.3492   1.0000
  27.000   1.3468   0.39234   0.37944  -0.2253   0.3355   1.0000
  27.500   1.3614   0.39945   0.38665  -0.2294   0.3221   1.0000
  28.000   1.3729   0.40065   0.38807  -0.2341   0.3100   1.0000
  28.500   1.3847   0.40306   0.39055  -0.2388   0.2990   1.0000
  29.000   1.3972   0.40782   0.39540  -0.2435   0.2889   1.0000
  29.500   1.4111   0.41596   0.40366  -0.2478   0.2789   1.0000
  30.000   1.4244   0.42344   0.41130  -0.2521   0.2680   1.0000
