  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 108  11.98%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0378   0.04074   0.01932   0.0026   1.0000   1.0000
   0.500  -0.0348   0.04209   0.02027   0.0059   1.0000   1.0000
   1.000  -0.0262   0.04363   0.02143   0.0081   1.0000   1.0000
   1.500  -0.0134   0.04536   0.02280   0.0096   1.0000   1.0000
   2.000   0.0024   0.04729   0.02443   0.0105   1.0000   1.0000
   2.500   0.0205   0.04940   0.02629   0.0109   1.0000   1.0000
   3.000   0.0402   0.05171   0.02838   0.0110   1.0000   1.0000
   3.500   0.0609   0.05422   0.03073   0.0108   1.0000   1.0000
   4.000   0.0824   0.05693   0.03332   0.0103   1.0000   1.0000
   4.500   0.1043   0.05986   0.03617   0.0097   1.0000   1.0000
   5.000   0.1264   0.06299   0.03926   0.0088   1.0000   1.0000
   5.500   0.1485   0.06635   0.04265   0.0078   1.0000   1.0000
   6.000   0.1705   0.06994   0.04627   0.0067   1.0000   1.0000
   6.500   0.1922   0.07376   0.05016   0.0054   1.0000   1.0000
   7.000   0.2137   0.07783   0.05436   0.0039   1.0000   1.0000
   7.500   0.2347   0.08214   0.05882   0.0023   1.0000   1.0000
   8.000   0.2554   0.08670   0.06353   0.0006   1.0000   1.0000
   8.500   0.2756   0.09149   0.06854  -0.0013   1.0000   1.0000
   9.000   0.2954   0.09651   0.07376  -0.0033   1.0000   1.0000
   9.500   0.3149   0.10173   0.07920  -0.0054   1.0000   1.0000
  10.000   0.3340   0.10716   0.08490  -0.0076   1.0000   1.0000
  10.500   0.3530   0.11276   0.09074  -0.0099   1.0000   1.0000
  11.000   0.3717   0.11851   0.09675  -0.0124   1.0000   1.0000
  11.500   0.3903   0.12441   0.10295  -0.0149   1.0000   1.0000
  12.000   0.4088   0.13044   0.10924  -0.0176   1.0000   1.0000
  12.500   0.4272   0.13660   0.11566  -0.0204   1.0000   1.0000
  13.000   0.4457   0.14286   0.12219  -0.0233   1.0000   1.0000
  13.500   0.4641   0.14923   0.12888  -0.0263   1.0000   1.0000
  14.000   0.4826   0.15570   0.13560  -0.0294   1.0000   1.0000
  14.500   0.5010   0.16227   0.14243  -0.0326   1.0000   1.0000
  15.000   0.5195   0.16895   0.14936  -0.0359   1.0000   1.0000
  15.500   0.5476   0.17816   0.15888  -0.0420   0.9884   1.0000
  16.000   0.6074   0.19619   0.17749  -0.0553   0.9091   1.0000
  16.500   0.6434   0.20725   0.18889  -0.0617   0.8504   1.0000
  17.000   0.6720   0.21555   0.19746  -0.0658   0.7944   1.0000
  17.500   0.6968   0.22379   0.20590  -0.0692   0.7513   1.0000
  18.000   0.7213   0.23227   0.21462  -0.0723   0.7071   1.0000
  18.500   0.7458   0.24220   0.22470  -0.0756   0.6719   1.0000
  19.000   0.7641   0.24779   0.23040  -0.0779   0.6377   1.0000
  19.500   0.7846   0.25529   0.23800  -0.0806   0.6056   1.0000
  20.000   0.8045   0.26306   0.24586  -0.0834   0.5792   1.0000
  20.500   0.8254   0.27174   0.25469  -0.0863   0.5519   1.0000
  21.000   0.8439   0.27844   0.26148  -0.0891   0.5272   1.0000
  21.500   0.8619   0.28558   0.26865  -0.0921   0.5071   1.0000
  22.000   0.8786   0.29102   0.27415  -0.0949   0.4850   1.0000
  22.500   0.9005   0.30237   0.28559  -0.0981   0.4653   1.0000
  23.000   0.9159   0.30742   0.29065  -0.1013   0.4494   1.0000
  24.000   0.9468   0.31727   0.30063  -0.1079   0.4174   1.0000
  24.500   0.9631   0.32356   0.30697  -0.1114   0.4030   1.0000
  25.000   0.9799   0.33062   0.31407  -0.1149   0.3893   1.0000
  25.500   0.9969   0.33840   0.32191  -0.1185   0.3757   1.0000
  26.000   1.0141   0.34678   0.33035  -0.1221   0.3619   1.0000
  26.500   1.0255   0.34686   0.33054  -0.1260   0.3506   1.0000
  27.000   1.0391   0.35084   0.33455  -0.1300   0.3406   1.0000
  27.500   1.0551   0.35892   0.34269  -0.1339   0.3306   1.0000
  28.000   1.0713   0.36756   0.35144  -0.1376   0.3187   1.0000
  28.500   1.0816   0.36675   0.35064  -0.1421   0.3101   1.0000
  29.000   1.0965   0.37460   0.35855  -0.1461   0.3014   1.0000
  29.500   1.1101   0.37994   0.36405  -0.1502   0.2911   1.0000
  30.000   1.1214   0.38227   0.36642  -0.1547   0.2843   1.0000
