  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 32  8.7%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0433   0.03622   0.01261  -0.0250   1.0000   1.0000
   0.500   0.0801   0.03691   0.01272  -0.0238   1.0000   1.0000
   1.000   0.1164   0.03778   0.01309  -0.0227   1.0000   1.0000
   1.500   0.1516   0.03886   0.01384  -0.0217   1.0000   1.0000
   2.000   0.1857   0.04015   0.01493  -0.0210   1.0000   1.0000
   2.500   0.2184   0.04169   0.01637  -0.0205   1.0000   1.0000
   3.000   0.2497   0.04350   0.01818  -0.0202   1.0000   1.0000
   3.500   0.2793   0.04562   0.02039  -0.0202   1.0000   1.0000
   4.000   0.3072   0.04807   0.02302  -0.0205   1.0000   1.0000
   4.500   0.3333   0.05088   0.02605  -0.0211   1.0000   1.0000
   5.000   0.3578   0.05409   0.02954  -0.0221   1.0000   1.0000
   5.500   0.3805   0.05771   0.03361  -0.0235   1.0000   1.0000
   6.000   0.4016   0.06177   0.03801  -0.0252   1.0000   1.0000
   6.500   0.4214   0.06627   0.04291  -0.0273   1.0000   1.0000
   7.000   0.4397   0.07119   0.04825  -0.0297   1.0000   1.0000
   7.500   0.4571   0.07655   0.05416  -0.0323   1.0000   1.0000
   8.000   0.4736   0.08231   0.06036  -0.0352   1.0000   1.0000
   8.500   0.4896   0.08846   0.06695  -0.0383   1.0000   1.0000
   9.000   0.5051   0.09496   0.07390  -0.0415   1.0000   1.0000
   9.500   0.5202   0.10176   0.08113  -0.0448   1.0000   1.0000
  10.000   0.5353   0.10882   0.08863  -0.0482   1.0000   1.0000
  10.500   0.5503   0.11612   0.09649  -0.0518   1.0000   1.0000
  11.000   0.5655   0.12360   0.10436  -0.0553   1.0000   1.0000
  11.500   0.5810   0.13122   0.11238  -0.0590   1.0000   1.0000
  12.000   0.5968   0.13894   0.12045  -0.0627   1.0000   1.0000
  12.500   0.6130   0.14676   0.12861  -0.0665   1.0000   1.0000
  13.000   0.6297   0.15468   0.13684  -0.0704   1.0000   1.0000
  13.500   0.6468   0.16266   0.14511  -0.0743   1.0000   1.0000
  14.000   0.6642   0.17067   0.15338  -0.0782   1.0000   1.0000
  14.500   0.6821   0.17873   0.16184  -0.0822   1.0000   1.0000
  15.000   0.7071   0.18848   0.17186  -0.0881   0.9915   1.0000
  15.500   0.7581   0.20360   0.18741  -0.1002   0.9230   1.0000
  16.000   0.7907   0.21414   0.19821  -0.1067   0.8777   1.0000
  16.500   0.8228   0.22541   0.20967  -0.1124   0.8318   1.0000
  17.000   0.8495   0.23326   0.21767  -0.1163   0.7829   1.0000
  17.500   0.8749   0.24247   0.22700  -0.1203   0.7485   1.0000
  18.000   0.8979   0.25035   0.23497  -0.1237   0.7153   1.0000
  18.500   0.9216   0.25889   0.24359  -0.1270   0.6797   1.0000
  19.000   0.9480   0.26974   0.25471  -0.1304   0.6422   1.0000
  19.500   0.9674   0.27614   0.26116  -0.1332   0.6136   1.0000
  20.000   0.9898   0.28561   0.27068  -0.1365   0.5877   1.0000
  20.500   1.0067   0.29028   0.27540  -0.1394   0.5642   1.0000
  21.000   1.0250   0.29675   0.28188  -0.1426   0.5413   1.0000
  21.500   1.0454   0.30515   0.29033  -0.1458   0.5170   1.0000
  22.000   1.0668   0.31503   0.30026  -0.1489   0.4920   1.0000
  22.500   1.0811   0.31777   0.30302  -0.1521   0.4708   1.0000
  23.000   1.1023   0.32862   0.31409  -0.1555   0.4510   1.0000
  23.500   1.1166   0.33201   0.31751  -0.1591   0.4348   1.0000
  24.000   1.1323   0.33723   0.32277  -0.1627   0.4186   1.0000
  24.500   1.1488   0.34352   0.32911  -0.1664   0.4027   1.0000
  25.000   1.1655   0.35043   0.33609  -0.1702   0.3870   1.0000
  25.500   1.1816   0.35747   0.34320  -0.1738   0.3720   1.0000
  26.000   1.1979   0.36487   0.35067  -0.1776   0.3573   1.0000
  26.500   1.2130   0.37102   0.35689  -0.1816   0.3435   1.0000
  27.000   1.2270   0.37601   0.36206  -0.1856   0.3302   1.0000
  27.500   1.2400   0.37967   0.36577  -0.1898   0.3181   1.0000
  28.000   1.2529   0.38360   0.36976  -0.1942   0.3073   1.0000
  28.500   1.2663   0.38947   0.37570  -0.1984   0.2975   1.0000
  29.000   1.2814   0.39883   0.38516  -0.2024   0.2870   1.0000
  29.500   1.2928   0.40104   0.38748  -0.2070   0.2770   1.0000
  30.000   1.3041   0.40418   0.39067  -0.2118   0.2693   1.0000
