  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 61  10.26%                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0225   0.03800   0.01425  -0.0066   1.0000   1.0000
   0.500   0.0033   0.03878   0.01451  -0.0045   1.0000   1.0000
   1.000   0.0304   0.03974   0.01508  -0.0027   1.0000   1.0000
   1.500   0.0582   0.04088   0.01593  -0.0013   1.0000   1.0000
   2.000   0.0863   0.04222   0.01706  -0.0002   1.0000   1.0000
   2.500   0.1143   0.04377   0.01848   0.0005   1.0000   1.0000
   3.000   0.1421   0.04554   0.02021   0.0010   1.0000   1.0000
   3.500   0.1693   0.04756   0.02229   0.0012   1.0000   1.0000
   4.000   0.1959   0.04983   0.02465   0.0011   1.0000   1.0000
   4.500   0.2217   0.05238   0.02737   0.0007   1.0000   1.0000
   5.000   0.2467   0.05524   0.03043  -0.0000   1.0000   1.0000
   5.500   0.2707   0.05840   0.03398  -0.0010   1.0000   1.0000
   6.000   0.2936   0.06190   0.03779  -0.0022   1.0000   1.0000
   6.500   0.3156   0.06574   0.04200  -0.0037   1.0000   1.0000
   7.000   0.3364   0.06995   0.04672  -0.0054   1.0000   1.0000
   7.500   0.3562   0.07454   0.05175  -0.0074   1.0000   1.0000
   8.000   0.3749   0.07954   0.05720  -0.0097   1.0000   1.0000
   8.500   0.3925   0.08495   0.06308  -0.0122   1.0000   1.0000
   9.000   0.4091   0.09077   0.06938  -0.0149   1.0000   1.0000
   9.500   0.4249   0.09699   0.07621  -0.0179   1.0000   1.0000
  10.000   0.4400   0.10356   0.08324  -0.0210   1.0000   1.0000
  10.500   0.4547   0.11047   0.09058  -0.0243   1.0000   1.0000
  11.000   0.4693   0.11764   0.09816  -0.0277   1.0000   1.0000
  11.500   0.4840   0.12502   0.10591  -0.0312   1.0000   1.0000
  12.000   0.4992   0.13253   0.11376  -0.0348   1.0000   1.0000
  12.500   0.5147   0.14016   0.12170  -0.0384   1.0000   1.0000
  13.000   0.5308   0.14788   0.12969  -0.0421   1.0000   1.0000
  13.500   0.5475   0.15562   0.13767  -0.0458   1.0000   1.0000
  14.000   0.5647   0.16340   0.14584  -0.0496   1.0000   1.0000
  14.500   0.6027   0.17666   0.15944  -0.0588   0.9734   1.0000
  15.000   0.6527   0.19166   0.17481  -0.0698   0.8951   1.0000
  15.500   0.6833   0.20233   0.18567  -0.0753   0.8515   1.0000
  16.000   0.7131   0.21305   0.19653  -0.0800   0.8053   1.0000
  16.500   0.7383   0.22150   0.20507  -0.0835   0.7627   1.0000
  17.000   0.7606   0.22948   0.21313  -0.0867   0.7325   1.0000
  17.500   0.7828   0.23767   0.22138  -0.0900   0.7050   1.0000
  18.000   0.8063   0.24652   0.23029  -0.0932   0.6741   1.0000
  18.500   0.8302   0.25610   0.23990  -0.0963   0.6426   1.0000
  19.000   0.8507   0.26344   0.24746  -0.0991   0.6150   1.0000
  19.500   0.8704   0.27032   0.25438  -0.1020   0.5914   1.0000
  20.000   0.8885   0.27658   0.26065  -0.1050   0.5717   1.0000
  20.500   0.9101   0.28552   0.26965  -0.1082   0.5500   1.0000
  21.000   0.9270   0.29081   0.27492  -0.1112   0.5306   1.0000
  21.500   0.9498   0.30166   0.28584  -0.1144   0.5078   1.0000
  22.000   0.9639   0.30419   0.28834  -0.1174   0.4885   1.0000
  22.500   0.9863   0.31546   0.29970  -0.1206   0.4669   1.0000
  23.000   1.0008   0.31850   0.30285  -0.1240   0.4503   1.0000
  23.500   1.0169   0.32368   0.30806  -0.1274   0.4337   1.0000
  24.000   1.0339   0.32988   0.31430  -0.1310   0.4185   1.0000
  24.500   1.0504   0.33616   0.32063  -0.1346   0.4039   1.0000
  25.000   1.0668   0.34242   0.32693  -0.1383   0.3897   1.0000
  25.500   1.0829   0.34846   0.33301  -0.1421   0.3759   1.0000
  26.000   1.0982   0.35407   0.33867  -0.1459   0.3627   1.0000
  26.500   1.1132   0.35961   0.34425  -0.1498   0.3496   1.0000
  27.000   1.1280   0.36502   0.34982  -0.1538   0.3372   1.0000
  27.500   1.1425   0.37068   0.35554  -0.1578   0.3253   1.0000
  28.000   1.1575   0.37733   0.36225  -0.1619   0.3139   1.0000
  28.500   1.1730   0.38594   0.37095  -0.1658   0.3023   1.0000
  29.000   1.1855   0.38909   0.37419  -0.1701   0.2916   1.0000
  29.500   1.1968   0.39124   0.37637  -0.1748   0.2833   1.0000
  30.000   1.2114   0.39998   0.38528  -0.1789   0.2746   1.0000
