  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 64  8.59%                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0325   0.03425   0.01084  -0.0129   1.0000   1.0000
   0.500   0.0639   0.03490   0.01104  -0.0111   1.0000   1.0000
   1.000   0.0954   0.03574   0.01159  -0.0095   1.0000   1.0000
   1.500   0.1263   0.03680   0.01246  -0.0083   1.0000   1.0000
   2.000   0.1567   0.03808   0.01364  -0.0075   1.0000   1.0000
   2.500   0.1862   0.03963   0.01518  -0.0069   1.0000   1.0000
   3.000   0.2144   0.04149   0.01710  -0.0068   1.0000   1.0000
   3.500   0.2411   0.04368   0.01946  -0.0071   1.0000   1.0000
   4.000   0.2661   0.04624   0.02221  -0.0078   1.0000   1.0000
   4.500   0.2897   0.04920   0.02541  -0.0090   1.0000   1.0000
   5.000   0.3119   0.05259   0.02919  -0.0105   1.0000   1.0000
   5.500   0.3328   0.05640   0.03332  -0.0125   1.0000   1.0000
   6.000   0.3525   0.06065   0.03791  -0.0147   1.0000   1.0000
   6.500   0.3711   0.06532   0.04294  -0.0173   1.0000   1.0000
   7.000   0.3889   0.07039   0.04851  -0.0201   1.0000   1.0000
   7.500   0.4060   0.07588   0.05437  -0.0231   1.0000   1.0000
   8.000   0.4227   0.08174   0.06061  -0.0262   1.0000   1.0000
   8.500   0.4391   0.08793   0.06719  -0.0294   1.0000   1.0000
   9.000   0.4551   0.09445   0.07409  -0.0327   1.0000   1.0000
   9.500   0.4711   0.10124   0.08125  -0.0360   1.0000   1.0000
  10.000   0.4870   0.10824   0.08860  -0.0394   1.0000   1.0000
  10.500   0.5030   0.11546   0.09632  -0.0428   1.0000   1.0000
  11.000   0.5192   0.12282   0.10401  -0.0463   1.0000   1.0000
  11.500   0.5356   0.13035   0.11186  -0.0498   1.0000   1.0000
  12.000   0.5523   0.13796   0.11975  -0.0534   1.0000   1.0000
  12.500   0.5694   0.14567   0.12773  -0.0570   1.0000   1.0000
  13.000   0.5868   0.15343   0.13575  -0.0607   1.0000   1.0000
  13.500   0.6046   0.16125   0.14378  -0.0644   1.0000   1.0000
  14.000   0.6228   0.16913   0.15187  -0.0681   1.0000   1.0000
  14.500   0.6413   0.17703   0.15995  -0.0720   1.0000   1.0000
  15.000   0.6993   0.19461   0.17818  -0.0858   0.9312   1.0000
  15.500   0.7335   0.20529   0.18908  -0.0924   0.8793   1.0000
  16.000   0.7668   0.21626   0.20023  -0.0979   0.8231   1.0000
  16.500   0.7948   0.22550   0.20958  -0.1018   0.7725   1.0000
  17.000   0.8224   0.23627   0.22046  -0.1058   0.7366   1.0000
  17.500   0.8431   0.24286   0.22711  -0.1086   0.7035   1.0000
  18.000   0.8687   0.25305   0.23736  -0.1120   0.6680   1.0000
  18.500   0.8906   0.26060   0.24498  -0.1146   0.6313   1.0000
  19.000   0.9132   0.26951   0.25391  -0.1175   0.6002   1.0000
  19.500   0.9349   0.27846   0.26310  -0.1206   0.5739   1.0000
  20.000   0.9521   0.28343   0.26809  -0.1234   0.5503   1.0000
  20.500   0.9705   0.29006   0.27474  -0.1265   0.5286   1.0000
  21.000   0.9924   0.29999   0.28471  -0.1296   0.5052   1.0000
  21.500   1.0096   0.30523   0.28999  -0.1327   0.4820   1.0000
  22.000   1.0270   0.31138   0.29614  -0.1358   0.4612   1.0000
  22.500   1.0472   0.32059   0.30542  -0.1390   0.4394   1.0000
  23.000   1.0639   0.32650   0.31132  -0.1426   0.4227   1.0000
  23.500   1.0795   0.33129   0.31628  -0.1462   0.4069   1.0000
  24.000   1.0955   0.33703   0.32207  -0.1498   0.3918   1.0000
  24.500   1.1120   0.34318   0.32825  -0.1536   0.3774   1.0000
  25.000   1.1279   0.34923   0.33435  -0.1575   0.3636   1.0000
  25.500   1.1437   0.35525   0.34042  -0.1614   0.3501   1.0000
  26.000   1.1588   0.36111   0.34634  -0.1653   0.3373   1.0000
  26.500   1.1743   0.36720   0.35248  -0.1694   0.3246   1.0000
  27.000   1.1891   0.37378   0.35912  -0.1733   0.3126   1.0000
  27.500   1.2048   0.38183   0.36735  -0.1774   0.3008   1.0000
  28.000   1.2199   0.38933   0.37499  -0.1814   0.2887   1.0000
  28.500   1.2304   0.38880   0.37448  -0.1862   0.2795   1.0000
  29.000   1.2436   0.39462   0.38036  -0.1906   0.2713   1.0000
  30.000   1.2687   0.40356   0.38947  -0.1998   0.2540   1.0000
