  
       XFOIL         Version 6.99
  
 Calculated polar for: MRC-20                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1071   0.05300   0.03129  -0.0052   1.0000   1.0000
   0.500  -0.0859   0.05363   0.03116  -0.0028   1.0000   1.0000
   1.000  -0.0615   0.05458   0.03139  -0.0011   1.0000   1.0000
   1.500  -0.0353   0.05582   0.03202   0.0002   1.0000   1.0000
   2.000  -0.0080   0.05733   0.03297   0.0011   1.0000   1.0000
   2.500   0.0198   0.05909   0.03428   0.0016   1.0000   1.0000
   3.000   0.0477   0.06110   0.03590   0.0020   1.0000   1.0000
   3.500   0.0753   0.06335   0.03785   0.0021   1.0000   1.0000
   4.000   0.1026   0.06583   0.04009   0.0020   1.0000   1.0000
   4.500   0.1294   0.06855   0.04265   0.0017   1.0000   1.0000
   5.000   0.1555   0.07151   0.04549   0.0013   1.0000   1.0000
   5.500   0.1810   0.07470   0.04862   0.0007   1.0000   1.0000
   6.000   0.2059   0.07812   0.05204  -0.0001   1.0000   1.0000
   6.500   0.2301   0.08177   0.05574  -0.0011   1.0000   1.0000
   7.000   0.2535   0.08565   0.05970  -0.0022   1.0000   1.0000
   7.500   0.2763   0.08974   0.06393  -0.0034   1.0000   1.0000
   8.000   0.2984   0.09405   0.06839  -0.0048   1.0000   1.0000
   8.500   0.3198   0.09856   0.07312  -0.0063   1.0000   1.0000
   9.000   0.3406   0.10326   0.07804  -0.0080   1.0000   1.0000
   9.500   0.3609   0.10815   0.08317  -0.0099   1.0000   1.0000
  10.000   0.3807   0.11322   0.08855  -0.0119   1.0000   1.0000
  10.500   0.4001   0.11844   0.09406  -0.0140   1.0000   1.0000
  11.000   0.4192   0.12383   0.09974  -0.0163   1.0000   1.0000
  11.500   0.4380   0.12936   0.10558  -0.0188   1.0000   1.0000
  12.000   0.4566   0.13503   0.11163  -0.0214   1.0000   1.0000
  12.500   0.4750   0.14085   0.11778  -0.0243   1.0000   1.0000
  13.000   0.4933   0.14679   0.12411  -0.0272   1.0000   1.0000
  13.500   0.5114   0.15287   0.13054  -0.0304   1.0000   1.0000
  14.000   0.5295   0.15910   0.13712  -0.0337   1.0000   1.0000
  14.500   0.5476   0.16546   0.14387  -0.0372   1.0000   1.0000
  15.000   0.5657   0.17197   0.15073  -0.0408   1.0000   1.0000
  15.500   0.5837   0.17861   0.15771  -0.0445   1.0000   1.0000
  16.000   0.6092   0.18797   0.16750  -0.0504   0.9935   1.0000
  16.500   0.6487   0.20010   0.18014  -0.0601   0.9571   1.0000
  17.000   0.6796   0.20912   0.18959  -0.0671   0.9204   1.0000
  17.500   0.7118   0.22097   0.20186  -0.0740   0.8854   1.0000
  18.000   0.7351   0.22735   0.20853  -0.0786   0.8533   1.0000
  18.500   0.7583   0.23416   0.21566  -0.0830   0.8211   1.0000
  19.000   0.7820   0.24180   0.22357  -0.0874   0.7898   1.0000
  19.500   0.8061   0.25047   0.23250  -0.0919   0.7597   1.0000
  20.000   0.8310   0.26010   0.24243  -0.0963   0.7296   1.0000
  20.500   0.8470   0.26269   0.24517  -0.0992   0.7035   1.0000
  21.000   0.8689   0.27097   0.25365  -0.1032   0.6786   1.0000
  21.500   0.8899   0.27822   0.26114  -0.1069   0.6523   1.0000
  22.000   0.9092   0.28512   0.26820  -0.1106   0.6305   1.0000
  22.500   0.9270   0.29010   0.27335  -0.1140   0.6074   1.0000
  23.000   0.9507   0.30168   0.28515  -0.1182   0.5852   1.0000
  23.500   0.9665   0.30578   0.28938  -0.1217   0.5664   1.0000
  24.000   0.9826   0.31009   0.29383  -0.1253   0.5474   1.0000
  24.500   1.0000   0.31583   0.29972  -0.1290   0.5282   1.0000
  25.000   1.0178   0.32239   0.30646  -0.1329   0.5099   1.0000
  25.500   1.0355   0.32910   0.31332  -0.1369   0.4924   1.0000
  26.000   1.0524   0.33548   0.31985  -0.1408   0.4757   1.0000
  26.500   1.0686   0.34120   0.32570  -0.1448   0.4599   1.0000
  27.000   1.0842   0.34658   0.33125  -0.1489   0.4448   1.0000
  27.500   1.0995   0.35186   0.33665  -0.1531   0.4304   1.0000
  28.000   1.1148   0.35754   0.34246  -0.1573   0.4167   1.0000
  28.500   1.1306   0.36423   0.34931  -0.1616   0.4032   1.0000
  29.000   1.1470   0.37272   0.35795  -0.1659   0.3896   1.0000
  30.000   1.1741   0.38043   0.36593  -0.1748   0.3636   1.0000
