  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA-0009 9.0% smoothed                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.03502   0.01047  -0.0000   1.0000   1.0000
   0.500   0.0295   0.03510   0.01060   0.0032   1.0000   1.0000
   1.000   0.0587   0.03534   0.01097   0.0064   1.0000   1.0000
   1.500   0.0873   0.03575   0.01160   0.0094   1.0000   1.0000
   2.000   0.1148   0.03638   0.01254   0.0124   1.0000   1.0000
   2.500   0.1405   0.03725   0.01374   0.0151   1.0000   1.0000
   3.000   0.1641   0.03844   0.01531   0.0175   1.0000   1.0000
   3.500   0.1850   0.04001   0.01734   0.0194   1.0000   1.0000
   4.000   0.2029   0.04205   0.01981   0.0207   1.0000   1.0000
   4.500   0.2178   0.04467   0.02284   0.0210   1.0000   1.0000
   5.000   0.2299   0.04794   0.02652   0.0204   1.0000   1.0000
   5.500   0.2395   0.05191   0.03093   0.0186   1.0000   1.0000
   6.000   0.2479   0.05656   0.03591   0.0160   1.0000   1.0000
   6.500   0.2559   0.06182   0.04146   0.0128   1.0000   1.0000
   7.000   0.2647   0.06753   0.04742   0.0092   1.0000   1.0000
   7.500   0.2750   0.07351   0.05360   0.0057   1.0000   1.0000
   8.000   0.2870   0.07968   0.05994   0.0024   1.0000   1.0000
   8.500   0.3004   0.08598   0.06640  -0.0008   1.0000   1.0000
   9.000   0.3149   0.09238   0.07302  -0.0038   1.0000   1.0000
   9.500   0.3302   0.09885   0.07963  -0.0068   1.0000   1.0000
  10.000   0.3461   0.10538   0.08630  -0.0096   1.0000   1.0000
  10.500   0.3625   0.11199   0.09304  -0.0124   1.0000   1.0000
  11.000   0.3793   0.11863   0.09981  -0.0152   1.0000   1.0000
  11.500   0.3965   0.12532   0.10663  -0.0181   1.0000   1.0000
  12.000   0.4140   0.13205   0.11347  -0.0210   1.0000   1.0000
  12.500   0.4318   0.13881   0.12042  -0.0239   1.0000   1.0000
  13.000   0.4498   0.14560   0.12731  -0.0268   1.0000   1.0000
  13.500   0.4681   0.15241   0.13423  -0.0299   1.0000   1.0000
  14.000   0.4866   0.15927   0.14118  -0.0330   1.0000   1.0000
  14.500   0.5052   0.16612   0.14811  -0.0361   1.0000   1.0000
  15.000   0.5240   0.17302   0.15509  -0.0393   1.0000   1.0000
  15.500   0.5704   0.18704   0.16945  -0.0499   0.9604   1.0000
  16.000   0.6153   0.20030   0.18293  -0.0590   0.9002   1.0000
  16.500   0.6531   0.21200   0.19476  -0.0652   0.8412   1.0000
  17.000   0.6789   0.21877   0.20163  -0.0687   0.7933   1.0000
  17.500   0.7057   0.22777   0.21069  -0.0723   0.7528   1.0000
  18.500   0.7582   0.24676   0.22990  -0.0785   0.6711   1.0000
  19.000   0.7757   0.25118   0.23433  -0.0804   0.6362   1.0000
  19.500   0.7973   0.25901   0.24221  -0.0831   0.6047   1.0000
  20.000   0.8172   0.26612   0.24934  -0.0857   0.5766   1.0000
  20.500   0.8363   0.27293   0.25617  -0.0882   0.5493   1.0000
  21.000   0.8550   0.27971   0.26296  -0.0909   0.5236   1.0000
  21.500   0.8748   0.28783   0.27121  -0.0936   0.4986   1.0000
  22.000   0.8937   0.29537   0.27881  -0.0964   0.4743   1.0000
  22.500   0.9094   0.30049   0.28392  -0.0993   0.4557   1.0000
  23.000   0.9251   0.30551   0.28896  -0.1023   0.4363   1.0000
  23.500   0.9446   0.31486   0.29838  -0.1053   0.4172   1.0000
  24.000   0.9601   0.32062   0.30414  -0.1085   0.4006   1.0000
  24.500   0.9741   0.32446   0.30800  -0.1119   0.3846   1.0000
  25.000   0.9888   0.32927   0.31295  -0.1152   0.3685   1.0000
  25.500   1.0037   0.33476   0.31848  -0.1187   0.3540   1.0000
  26.000   1.0186   0.34056   0.32433  -0.1223   0.3409   1.0000
  26.500   1.0338   0.34725   0.33106  -0.1260   0.3286   1.0000
  27.000   1.0496   0.35527   0.33916  -0.1296   0.3162   1.0000
  27.500   1.0632   0.36017   0.34415  -0.1334   0.3041   1.0000
  28.000   1.0741   0.36126   0.34535  -0.1376   0.2942   1.0000
  28.500   1.0873   0.36651   0.35064  -0.1416   0.2844   1.0000
  29.000   1.1023   0.37562   0.35983  -0.1454   0.2739   1.0000
  29.500   1.1133   0.37740   0.36170  -0.1497   0.2637   1.0000
  30.000   1.1246   0.38080   0.36515  -0.1541   0.2562   1.0000
