  
       XFOIL         Version 6.99
  
 Calculated polar for: N-22                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1316   0.05528   0.03260  -0.0393   0.9999   1.0001
   0.500   0.1621   0.05793   0.03481  -0.0398   0.9999   1.0001
   1.000   0.1915   0.06086   0.03738  -0.0404   0.9999   1.0001
   1.500   0.2199   0.06403   0.04027  -0.0412   0.9999   1.0001
   2.000   0.2474   0.06744   0.04346  -0.0421   0.9999   1.0001
   2.500   0.2742   0.07108   0.04694  -0.0431   0.9999   1.0001
   3.000   0.3003   0.07494   0.05069  -0.0442   0.9999   1.0001
   3.500   0.3257   0.07902   0.05471  -0.0454   0.9999   1.0001
   4.000   0.3505   0.08331   0.05898  -0.0468   0.9999   1.0001
   4.500   0.3747   0.08780   0.06351  -0.0482   0.9999   1.0001
   5.000   0.3981   0.09251   0.06827  -0.0497   0.9999   1.0001
   5.500   0.4209   0.09742   0.07331  -0.0513   0.9999   1.0001
   6.000   0.4429   0.10255   0.07857  -0.0530   0.9999   1.0001
   6.500   0.4642   0.10790   0.08408  -0.0548   0.9999   1.0001
   7.000   0.4847   0.11345   0.08984  -0.0568   0.9999   1.0001
   7.500   0.5047   0.11921   0.09581  -0.0590   0.9999   1.0001
   8.000   0.5242   0.12515   0.10200  -0.0613   0.9999   1.0001
   8.500   0.5433   0.13126   0.10834  -0.0637   0.9999   1.0001
   9.000   0.5622   0.13749   0.11482  -0.0663   0.9999   1.0001
   9.500   0.5811   0.14383   0.12143  -0.0691   0.9999   1.0001
  10.000   0.6001   0.15026   0.12810  -0.0719   0.9999   1.0001
  10.500   0.6193   0.15675   0.13484  -0.0749   0.9999   1.0001
  11.000   0.6386   0.16330   0.14166  -0.0780   0.9999   1.0001
  11.500   0.6580   0.16989   0.14851  -0.0811   0.9999   1.0001
  12.000   0.6776   0.17653   0.15542  -0.0844   0.9999   1.0001
  12.500   0.6973   0.18324   0.16243  -0.0878   0.9999   1.0001
  13.000   0.7170   0.19003   0.16950  -0.0912   0.9999   1.0001
  13.500   0.7367   0.19691   0.17667  -0.0948   0.9999   1.0001
  14.000   0.7637   0.20540   0.18555  -0.1005   0.9911   1.0001
  14.500   0.8026   0.21593   0.19654  -0.1092   0.9533   1.0001
  15.500   0.8653   0.23482   0.21628  -0.1217   0.8811   1.0001
  16.000   0.8915   0.24287   0.22466  -0.1265   0.8466   1.0001
  16.500   0.9144   0.24916   0.23130  -0.1306   0.8125   1.0001
  17.000   0.9374   0.25594   0.23838  -0.1345   0.7766   1.0001
  17.500   0.9607   0.26375   0.24645  -0.1385   0.7415   1.0001
  18.000   0.9832   0.27165   0.25457  -0.1423   0.7077   1.0001
  18.500   1.0047   0.27913   0.26228  -0.1460   0.6758   1.0001
  19.000   1.0255   0.28668   0.27000  -0.1496   0.6460   1.0001
  19.500   1.0484   0.29663   0.28012  -0.1534   0.6180   1.0001
  20.000   1.0667   0.30203   0.28566  -0.1567   0.5915   1.0001
  20.500   1.0862   0.30980   0.29357  -0.1603   0.5687   1.0001
  21.000   1.1032   0.31467   0.29855  -0.1638   0.5462   1.0001
  21.500   1.1256   0.32592   0.30997  -0.1677   0.5241   1.0001
  22.000   1.1431   0.33262   0.31678  -0.1714   0.5061   1.0001
  22.500   1.1587   0.33698   0.32125  -0.1752   0.4887   1.0001
  23.000   1.1750   0.34250   0.32687  -0.1791   0.4719   1.0001
  23.500   1.1917   0.34870   0.33318  -0.1831   0.4559   1.0001
  24.000   1.2085   0.35556   0.34019  -0.1871   0.4405   1.0001
  24.500   1.2259   0.36365   0.34840  -0.1912   0.4255   1.0001
  25.000   1.2436   0.37296   0.35784  -0.1953   0.4105   1.0001
  25.500   1.2550   0.37213   0.35712  -0.1997   0.3977   1.0001
  26.000   1.2683   0.37549   0.36060  -0.2042   0.3861   1.0001
  26.500   1.2838   0.38277   0.36800  -0.2086   0.3750   1.0001
  27.000   1.3014   0.39465   0.38003  -0.2128   0.3620   1.0001
  27.500   1.3116   0.39253   0.37802  -0.2177   0.3511   1.0001
  28.000   1.3249   0.39790   0.38353  -0.2225   0.3420   1.0001
  29.000   1.3504   0.40674   0.39263  -0.2320   0.3216   1.0001
  29.500   1.3649   0.41665   0.40267  -0.2365   0.3127   1.0001
  30.000   1.3756   0.41769   0.40390  -0.2417   0.3027   1.0001
