  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2414                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0794   0.04592   0.02381  -0.0079   1.0000   1.0000
   0.500  -0.0570   0.04682   0.02425  -0.0060   1.0000   1.0000
   1.000  -0.0324   0.04800   0.02504  -0.0046   1.0000   1.0000
   1.500  -0.0065   0.04945   0.02616  -0.0036   1.0000   1.0000
   2.000   0.0200   0.05115   0.02760  -0.0030   1.0000   1.0000
   2.500   0.0468   0.05311   0.02935  -0.0027   1.0000   1.0000
   3.000   0.0736   0.05532   0.03142  -0.0026   1.0000   1.0000
   3.500   0.1001   0.05779   0.03380  -0.0028   1.0000   1.0000
   4.000   0.1262   0.06052   0.03649  -0.0033   1.0000   1.0000
   4.500   0.1517   0.06352   0.03950  -0.0039   1.0000   1.0000
   5.000   0.1765   0.06679   0.04282  -0.0048   1.0000   1.0000
   5.500   0.2005   0.07035   0.04648  -0.0059   1.0000   1.0000
   6.000   0.2237   0.07420   0.05045  -0.0072   1.0000   1.0000
   6.500   0.2460   0.07835   0.05476  -0.0086   1.0000   1.0000
   7.000   0.2674   0.08279   0.05940  -0.0103   1.0000   1.0000
   7.500   0.2880   0.08753   0.06434  -0.0121   1.0000   1.0000
   8.000   0.3078   0.09255   0.06960  -0.0141   1.0000   1.0000
   8.500   0.3268   0.09784   0.07512  -0.0163   1.0000   1.0000
   9.000   0.3452   0.10338   0.08091  -0.0186   1.0000   1.0000
   9.500   0.3632   0.10915   0.08694  -0.0211   1.0000   1.0000
  10.000   0.3808   0.11511   0.09316  -0.0238   1.0000   1.0000
  10.500   0.3983   0.12126   0.09955  -0.0265   1.0000   1.0000
  11.000   0.4158   0.12754   0.10610  -0.0295   1.0000   1.0000
  11.500   0.4334   0.13396   0.11275  -0.0325   1.0000   1.0000
  12.000   0.4513   0.14048   0.11950  -0.0357   1.0000   1.0000
  12.500   0.4694   0.14710   0.12636  -0.0390   1.0000   1.0000
  13.000   0.4878   0.15379   0.13326  -0.0424   1.0000   1.0000
  13.500   0.5064   0.16055   0.14021  -0.0458   1.0000   1.0000
  14.000   0.5254   0.16738   0.14725  -0.0494   1.0000   1.0000
  14.500   0.5446   0.17427   0.15431  -0.0530   1.0000   1.0000
  15.000   0.5641   0.18122   0.16142  -0.0568   1.0000   1.0000
  15.500   0.6154   0.19672   0.17731  -0.0687   0.9571   1.0000
  16.000   0.6483   0.20481   0.18562  -0.0752   0.9148   1.0000
  17.000   0.7134   0.22583   0.20706  -0.0868   0.8378   1.0000
  17.500   0.7382   0.23252   0.21390  -0.0906   0.8038   1.0000
  18.000   0.7591   0.23744   0.21894  -0.0937   0.7730   1.0000
  18.500   0.7828   0.24493   0.22654  -0.0973   0.7444   1.0000
  19.000   0.8119   0.25677   0.23856  -0.1018   0.7142   1.0000
  19.500   0.8274   0.25873   0.24059  -0.1041   0.6897   1.0000
  20.000   0.8531   0.26877   0.25077  -0.1080   0.6627   1.0000
  20.500   0.8722   0.27449   0.25658  -0.1111   0.6408   1.0000
  21.000   0.8902   0.27893   0.26111  -0.1142   0.6180   1.0000
  21.500   0.9113   0.28625   0.26855  -0.1176   0.5954   1.0000
  22.500   0.9551   0.30481   0.28733  -0.1249   0.5548   1.0000
  23.000   0.9726   0.31012   0.29274  -0.1283   0.5368   1.0000
  23.500   0.9905   0.31604   0.29877  -0.1318   0.5190   1.0000
  24.000   1.0087   0.32263   0.30546  -0.1354   0.5016   1.0000
  24.500   1.0275   0.33030   0.31323  -0.1391   0.4846   1.0000
  25.000   1.0426   0.33342   0.31649  -0.1427   0.4687   1.0000
  25.500   1.0568   0.33584   0.31898  -0.1465   0.4540   1.0000
  26.000   1.0718   0.33994   0.32315  -0.1505   0.4404   1.0000
  26.500   1.0883   0.34614   0.32948  -0.1546   0.4271   1.0000
  27.000   1.1065   0.35522   0.33867  -0.1586   0.4135   1.0000
  27.500   1.1238   0.36310   0.34671  -0.1626   0.3989   1.0000
  28.000   1.1348   0.36198   0.34567  -0.1670   0.3875   1.0000
  28.500   1.1499   0.36807   0.35185  -0.1714   0.3767   1.0000
  29.000   1.1686   0.38057   0.36449  -0.1754   0.3638   1.0000
  30.000   1.1926   0.38371   0.36786  -0.1847   0.3437   1.0000
