  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA6409 9%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0774   0.05347   0.03922  -0.0276   1.0000   0.7399
   1.000   0.1776   0.05228   0.03392  -0.0751   1.0000   1.0000
   1.500   0.2299   0.05478   0.03410  -0.0781   1.0000   1.0000
   2.000   0.2677   0.05722   0.03519  -0.0785   1.0000   1.0000
   2.500   0.3023   0.05982   0.03685  -0.0787   1.0000   1.0000
   3.000   0.3353   0.06259   0.03889  -0.0788   1.0000   1.0000
   3.500   0.3671   0.06554   0.04130  -0.0789   1.0000   1.0000
   4.000   0.3978   0.06867   0.04403  -0.0791   1.0000   1.0000
   4.500   0.4277   0.07198   0.04705  -0.0794   1.0000   1.0000
   5.000   0.4567   0.07549   0.05038  -0.0797   1.0000   1.0000
   5.500   0.4849   0.07921   0.05400  -0.0802   1.0000   1.0000
   6.000   0.5122   0.08313   0.05790  -0.0807   1.0000   1.0000
   6.500   0.5386   0.08726   0.06212  -0.0814   1.0000   1.0000
   7.000   0.5641   0.09162   0.06659  -0.0822   1.0000   1.0000
   7.500   0.5888   0.09620   0.07137  -0.0831   1.0000   1.0000
   8.000   0.6125   0.10101   0.07647  -0.0842   1.0000   1.0000
   8.500   0.6353   0.10606   0.08182  -0.0854   1.0000   1.0000
   9.000   0.6571   0.11135   0.08752  -0.0867   1.0000   1.0000
   9.500   0.6781   0.11690   0.09347  -0.0883   1.0000   1.0000
  10.000   0.6981   0.12270   0.09971  -0.0900   1.0000   1.0000
  10.500   0.7171   0.12875   0.10625  -0.0920   1.0000   1.0000
  11.000   0.7354   0.13508   0.11315  -0.0942   1.0000   1.0000
  11.500   0.7528   0.14170   0.12029  -0.0967   1.0000   1.0000
  12.000   0.7693   0.14859   0.12773  -0.0995   1.0000   1.0000
  12.500   0.7851   0.15581   0.13556  -0.1026   1.0000   1.0000
  13.000   0.8002   0.16335   0.14365  -0.1060   1.0000   1.0000
  13.500   0.8147   0.17123   0.15205  -0.1098   1.0000   1.0000
  14.000   0.8290   0.17940   0.16071  -0.1138   1.0000   1.0000
  14.500   0.8432   0.18784   0.16966  -0.1182   1.0000   1.0000
  15.000   0.8578   0.19648   0.17869  -0.1227   1.0000   1.0000
  15.500   0.8929   0.21077   0.19349  -0.1328   0.9710   1.0000
  16.000   0.9295   0.22180   0.20499  -0.1422   0.9130   1.0000
  16.500   0.9567   0.22958   0.21308  -0.1481   0.8645   1.0000
  17.000   0.9843   0.23965   0.22347  -0.1536   0.8234   1.0000
  17.500   1.0096   0.24845   0.23251  -0.1581   0.7845   1.0000
  18.000   1.0354   0.25931   0.24357  -0.1627   0.7522   1.0000
  18.500   1.0566   0.26672   0.25115  -0.1663   0.7229   1.0000
  19.000   1.0734   0.27111   0.25564  -0.1693   0.6983   1.0000
  19.500   1.0945   0.27948   0.26420  -0.1730   0.6741   1.0000
  20.000   1.1143   0.28684   0.27171  -0.1765   0.6512   1.0000
  20.500   1.1345   0.29541   0.28040  -0.1801   0.6308   1.0000
  21.000   1.1508   0.30006   0.28516  -0.1833   0.6103   1.0000
  21.500   1.1706   0.30841   0.29370  -0.1869   0.5908   1.0000
  22.000   1.1917   0.31920   0.30462  -0.1906   0.5723   1.0000
  22.500   1.2064   0.32298   0.30850  -0.1940   0.5554   1.0000
  23.000   1.2222   0.32821   0.31384  -0.1974   0.5387   1.0000
  23.500   1.2384   0.33412   0.31985  -0.2010   0.5224   1.0000
  24.000   1.2545   0.34016   0.32606  -0.2046   0.5059   1.0000
  24.500   1.2705   0.34635   0.33237  -0.2082   0.4898   1.0000
  25.000   1.2861   0.35250   0.33864  -0.2119   0.4749   1.0000
  25.500   1.3013   0.35859   0.34483  -0.2157   0.4608   1.0000
  26.000   1.3163   0.36465   0.35107  -0.2195   0.4464   1.0000
  26.500   1.3309   0.37077   0.35730  -0.2233   0.4323   1.0000
  27.000   1.3456   0.37745   0.36409  -0.2271   0.4189   1.0000
  27.500   1.3606   0.38514   0.37191  -0.2309   0.4057   1.0000
  28.000   1.3756   0.39358   0.38048  -0.2347   0.3921   1.0000
  29.000   1.3986   0.39898   0.38617  -0.2429   0.3671   1.0000
  29.500   1.4098   0.40256   0.38985  -0.2471   0.3561   1.0000
  30.000   1.4222   0.40892   0.39633  -0.2512   0.3455   1.0000
