  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0010                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.03600   0.01188   0.0000   1.0000   1.0000
   0.500   0.0265   0.03609   0.01202   0.0033   1.0000   1.0000
   1.000   0.0533   0.03637   0.01239   0.0065   1.0000   1.0000
   1.500   0.0800   0.03687   0.01306   0.0094   1.0000   1.0000
   2.000   0.1062   0.03762   0.01401   0.0120   1.0000   1.0000
   2.500   0.1315   0.03867   0.01533   0.0142   1.0000   1.0000
   3.000   0.1556   0.04007   0.01703   0.0159   1.0000   1.0000
   3.500   0.1780   0.04190   0.01919   0.0168   1.0000   1.0000
   4.000   0.1984   0.04423   0.02190   0.0170   1.0000   1.0000
   4.500   0.2167   0.04713   0.02518   0.0162   1.0000   1.0000
   5.000   0.2328   0.05067   0.02913   0.0146   1.0000   1.0000
   5.500   0.2471   0.05486   0.03368   0.0121   1.0000   1.0000
   6.000   0.2600   0.05968   0.03885   0.0090   1.0000   1.0000
   6.500   0.2721   0.06504   0.04453   0.0055   1.0000   1.0000
   7.000   0.2840   0.07086   0.05064   0.0019   1.0000   1.0000
   7.500   0.2964   0.07703   0.05710  -0.0018   1.0000   1.0000
   8.000   0.3094   0.08348   0.06378  -0.0055   1.0000   1.0000
   8.500   0.3232   0.09011   0.07061  -0.0089   1.0000   1.0000
   9.000   0.3377   0.09687   0.07755  -0.0123   1.0000   1.0000
   9.500   0.3531   0.10370   0.08454  -0.0156   1.0000   1.0000
  10.000   0.3691   0.11057   0.09158  -0.0187   1.0000   1.0000
  10.500   0.3858   0.11747   0.09861  -0.0218   1.0000   1.0000
  11.000   0.4031   0.12437   0.10563  -0.0249   1.0000   1.0000
  11.500   0.4208   0.13129   0.11266  -0.0280   1.0000   1.0000
  12.000   0.4391   0.13822   0.11974  -0.0312   1.0000   1.0000
  12.500   0.4577   0.14516   0.12679  -0.0344   1.0000   1.0000
  13.000   0.4767   0.15212   0.13385  -0.0377   1.0000   1.0000
  13.500   0.4959   0.15911   0.14094  -0.0410   1.0000   1.0000
  14.000   0.5153   0.16614   0.14807  -0.0444   1.0000   1.0000
  14.500   0.5350   0.17321   0.15528  -0.0479   1.0000   1.0000
  15.000   0.5548   0.18033   0.16249  -0.0514   1.0000   1.0000
  15.500   0.6114   0.19638   0.17885  -0.0645   0.9426   1.0000
  16.000   0.6504   0.20757   0.19024  -0.0719   0.8887   1.0000
  16.500   0.6829   0.21715   0.20000  -0.0770   0.8376   1.0000
  17.000   0.7118   0.22615   0.20910  -0.0811   0.7920   1.0000
  17.500   0.7387   0.23499   0.21805  -0.0848   0.7513   1.0000
  18.000   0.7618   0.24227   0.22538  -0.0876   0.7138   1.0000
  18.500   0.7859   0.25044   0.23368  -0.0906   0.6759   1.0000
  19.000   0.8102   0.25966   0.24298  -0.0937   0.6429   1.0000
  19.500   0.8305   0.26646   0.24983  -0.0963   0.6132   1.0000
  20.000   0.8497   0.27267   0.25607  -0.0990   0.5845   1.0000
  20.500   0.8689   0.27920   0.26263  -0.1018   0.5579   1.0000
  21.000   0.8915   0.28910   0.27265  -0.1050   0.5327   1.0000
  21.500   0.9076   0.29322   0.27681  -0.1078   0.5097   1.0000
  22.000   0.9296   0.30363   0.28727  -0.1111   0.4874   1.0000
  22.500   0.9441   0.30652   0.29019  -0.1142   0.4672   1.0000
  23.000   0.9627   0.31369   0.29743  -0.1175   0.4465   1.0000
  23.500   0.9831   0.32382   0.30771  -0.1210   0.4278   1.0000
  24.000   1.0002   0.33055   0.31445  -0.1245   0.4114   1.0000
  24.500   1.0158   0.33550   0.31945  -0.1282   0.3956   1.0000
  25.000   1.0319   0.34132   0.32533  -0.1319   0.3802   1.0000
  25.500   1.0484   0.34806   0.33213  -0.1358   0.3654   1.0000
  26.000   1.0655   0.35613   0.34034  -0.1396   0.3509   1.0000
  26.500   1.0782   0.35737   0.34165  -0.1439   0.3383   1.0000
  27.000   1.0917   0.36046   0.34479  -0.1483   0.3269   1.0000
  27.500   1.1066   0.36635   0.35073  -0.1526   0.3159   1.0000
  28.000   1.1232   0.37574   0.36021  -0.1567   0.3043   1.0000
  28.500   1.1369   0.37959   0.36423  -0.1611   0.2927   1.0000
  29.000   1.1490   0.38179   0.36648  -0.1660   0.2844   1.0000
  29.500   1.1653   0.39283   0.37763  -0.1702   0.2745   1.0000
  30.000   1.1763   0.39245   0.37733  -0.1753   0.2653   1.0000
