  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 16009                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.03872   0.01074   0.0000   1.0000   1.0000
   0.500   0.0304   0.03877   0.01085   0.0036   1.0000   1.0000
   1.000   0.0607   0.03891   0.01121   0.0072   1.0000   1.0000
   1.500   0.0910   0.03915   0.01174   0.0108   1.0000   1.0000
   2.000   0.1212   0.03950   0.01250   0.0143   1.0000   1.0000
   2.500   0.1511   0.03997   0.01365   0.0178   1.0000   1.0000
   3.000   0.1808   0.04057   0.01493   0.0212   1.0000   1.0000
   3.500   0.2102   0.04132   0.01652   0.0244   1.0000   1.0000
   4.000   0.2392   0.04226   0.01846   0.0275   1.0000   1.0000
   4.500   0.2674   0.04344   0.02105   0.0304   1.0000   1.0000
   5.000   0.2940   0.04495   0.02398   0.0329   1.0000   1.0000
   5.500   0.3162   0.04710   0.02781   0.0349   1.0000   1.0000
   6.000   0.3164   0.05155   0.03360   0.0347   1.0000   1.0000
   6.500   0.2923   0.05921   0.04118   0.0305   1.0000   1.0000
   7.500   0.5604   0.09362   0.07805  -0.0153   0.5646   1.0000
   8.000   0.5466   0.10126   0.08539  -0.0156   0.5758   1.0000
   8.500   0.5424   0.10936   0.09330  -0.0173   0.5936   1.0000
   9.000   0.5238   0.11586   0.09954  -0.0180   0.6249   1.0000
   9.500   0.5086   0.12221   0.10566  -0.0193   0.6711   1.0000
  10.000   0.4771   0.12627   0.10944  -0.0192   0.7613   1.0000
  10.500   0.3511   0.11432   0.09640   0.0050   1.0000   1.0000
  11.000   0.3663   0.12102   0.10313   0.0025   1.0000   1.0000
  11.500   0.3820   0.12773   0.11008  -0.0000   1.0000   1.0000
  12.000   0.3982   0.13441   0.11678  -0.0026   1.0000   1.0000
  12.500   0.4148   0.14107   0.12346  -0.0052   1.0000   1.0000
  13.000   0.4319   0.14772   0.13014  -0.0079   1.0000   1.0000
  13.500   0.4493   0.15436   0.13681  -0.0107   1.0000   1.0000
  14.000   0.4670   0.16101   0.14348  -0.0135   1.0000   1.0000
  14.500   0.4850   0.16767   0.15016  -0.0165   1.0000   1.0000
  15.000   0.5032   0.17434   0.15686  -0.0195   1.0000   1.0000
  15.500   0.5215   0.18103   0.16358  -0.0227   1.0000   1.0000
  16.000   0.5674   0.19521   0.17816  -0.0334   0.9636   1.0000
  16.500   0.6098   0.20876   0.19186  -0.0422   0.9158   1.0000
  17.000   0.6383   0.21573   0.19891  -0.0471   0.8718   1.0000
  17.500   0.6676   0.22440   0.20766  -0.0518   0.8271   1.0000
  18.000   0.6974   0.23451   0.21786  -0.0562   0.7834   1.0000
  18.500   0.7232   0.24283   0.22622  -0.0596   0.7409   1.0000
  19.000   0.7459   0.24961   0.23304  -0.0622   0.6989   1.0000
  19.500   0.7685   0.25705   0.24051  -0.0648   0.6580   1.0000
  20.000   0.7915   0.26546   0.24915  -0.0674   0.6189   1.0000
  20.500   0.8118   0.27231   0.25606  -0.0697   0.5827   1.0000
  21.000   0.8319   0.28012   0.26389  -0.0722   0.5516   1.0000
  21.500   0.8495   0.28612   0.26991  -0.0747   0.5235   1.0000
  22.000   0.8683   0.29358   0.27740  -0.0774   0.4973   1.0000
  22.500   0.8880   0.30244   0.28631  -0.0802   0.4718   1.0000
  23.000   0.9006   0.30449   0.28838  -0.0830   0.4502   1.0000
  23.500   0.9187   0.31260   0.29652  -0.0860   0.4295   1.0000
  24.000   0.9330   0.31674   0.30085  -0.0891   0.4093   1.0000
  24.500   0.9520   0.32677   0.31094  -0.0924   0.3902   1.0000
  25.000   0.9644   0.32907   0.31326  -0.0958   0.3736   1.0000
  25.500   0.9788   0.33395   0.31820  -0.0993   0.3562   1.0000
  26.000   0.9947   0.34107   0.32539  -0.1028   0.3393   1.0000
  26.500   1.0110   0.34955   0.33396  -0.1064   0.3236   1.0000
  27.500   1.0391   0.36105   0.34568  -0.1141   0.2963   1.0000
  28.000   1.0508   0.36324   0.34792  -0.1184   0.2844   1.0000
  28.500   1.0625   0.36593   0.35066  -0.1228   0.2740   1.0000
  29.000   1.0754   0.37107   0.35587  -0.1271   0.2644   1.0000
  29.500   1.0898   0.37970   0.36459  -0.1312   0.2543   1.0000
  30.000   1.1014   0.38254   0.36754  -0.1358   0.2443   1.0000
