  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 63(2)A-015                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0358   0.05149   0.02893   0.0058   1.0000   1.0000
   0.500  -0.0386   0.05162   0.02883   0.0110   1.0000   1.0000
   1.000  -0.0375   0.05195   0.02886   0.0157   1.0000   1.0000
   1.500  -0.0319   0.05252   0.02914   0.0196   1.0000   1.0000
   2.000  -0.0225   0.05336   0.02969   0.0229   1.0000   1.0000
   2.500  -0.0098   0.05450   0.03057   0.0254   1.0000   1.0000
   3.000   0.0055   0.05594   0.03179   0.0274   1.0000   1.0000
   3.500   0.0225   0.05769   0.03339   0.0288   1.0000   1.0000
   4.000   0.0403   0.05975   0.03533   0.0296   1.0000   1.0000
   4.500   0.0585   0.06214   0.03766   0.0301   1.0000   1.0000
   5.000   0.0767   0.06486   0.04035   0.0301   1.0000   1.0000
   5.500   0.0947   0.06790   0.04341   0.0297   1.0000   1.0000
   6.000   0.1124   0.07126   0.04680   0.0290   1.0000   1.0000
   6.500   0.1301   0.07491   0.05052   0.0280   1.0000   1.0000
   7.000   0.1478   0.07881   0.05450   0.0268   1.0000   1.0000
   8.000   0.1837   0.08727   0.06318   0.0238   1.0000   1.0000
   8.500   0.2019   0.09177   0.06781   0.0221   1.0000   1.0000
   9.000   0.2202   0.09645   0.07263   0.0203   1.0000   1.0000
   9.500   0.2385   0.10128   0.07765   0.0183   1.0000   1.0000
  10.000   0.2569   0.10626   0.08280   0.0162   1.0000   1.0000
  10.500   0.2753   0.11138   0.08815   0.0140   1.0000   1.0000
  11.000   0.2936   0.11663   0.09360   0.0117   1.0000   1.0000
  11.500   0.3119   0.12202   0.09921   0.0093   1.0000   1.0000
  12.000   0.3301   0.12754   0.10494   0.0067   1.0000   1.0000
  12.500   0.3484   0.13317   0.11084   0.0040   1.0000   1.0000
  13.000   0.3666   0.13892   0.11682   0.0012   1.0000   1.0000
  13.500   0.3847   0.14477   0.12290  -0.0018   1.0000   1.0000
  14.000   0.4028   0.15073   0.12912  -0.0048   1.0000   1.0000
  14.500   0.4210   0.15679   0.13540  -0.0080   1.0000   1.0000
  15.000   0.4392   0.16293   0.14176  -0.0113   1.0000   1.0000
  15.500   0.4656   0.17155   0.15068  -0.0168   0.9916   1.0000
  16.000   0.5134   0.18621   0.16575  -0.0277   0.9435   1.0000
  16.500   0.5455   0.19463   0.17450  -0.0341   0.9001   1.0000
  17.000   0.5782   0.20542   0.18557  -0.0401   0.8597   1.0000
  17.500   0.6072   0.21546   0.19586  -0.0451   0.8239   1.0000
  18.000   0.6311   0.22261   0.20324  -0.0489   0.7903   1.0000
  18.500   0.6499   0.22692   0.20772  -0.0518   0.7612   1.0000
  19.000   0.6719   0.23419   0.21518  -0.0552   0.7334   1.0000
  19.500   0.6985   0.24532   0.22654  -0.0594   0.7050   1.0000
  20.000   0.7135   0.24775   0.22908  -0.0618   0.6807   1.0000
  20.500   0.7392   0.25913   0.24071  -0.0658   0.6549   1.0000
  21.000   0.7539   0.26185   0.24352  -0.0684   0.6334   1.0000
  21.500   0.7733   0.26833   0.25016  -0.0716   0.6095   1.0000
  22.000   0.7965   0.27933   0.26135  -0.0753   0.5876   1.0000
  22.500   0.8109   0.28210   0.26423  -0.0781   0.5684   1.0000
  23.000   0.8273   0.28685   0.26911  -0.0812   0.5482   1.0000
  23.500   0.8453   0.29336   0.27580  -0.0846   0.5283   1.0000
  24.000   0.8638   0.30080   0.28339  -0.0880   0.5095   1.0000
  24.500   0.8821   0.30865   0.29138  -0.0915   0.4914   1.0000
  25.000   0.8998   0.31628   0.29918  -0.0949   0.4741   1.0000
  25.500   0.9159   0.32243   0.30545  -0.0984   0.4578   1.0000
  26.000   0.9314   0.32795   0.31109  -0.1019   0.4419   1.0000
  26.500   0.9457   0.33216   0.31540  -0.1055   0.4267   1.0000
  27.000   0.9594   0.33595   0.31931  -0.1091   0.4122   1.0000
  27.500   0.9729   0.33986   0.32331  -0.1129   0.3986   1.0000
  28.000   0.9869   0.34473   0.32828  -0.1168   0.3857   1.0000
  28.500   1.0017   0.35122   0.33491  -0.1206   0.3732   1.0000
  29.000   1.0176   0.35961   0.34341  -0.1245   0.3599   1.0000
  29.500   1.0325   0.36676   0.35072  -0.1283   0.3463   1.0000
  30.000   1.0419   0.36565   0.34965  -0.1326   0.3360   1.0000
