  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 63,3-418                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0924   0.06729   0.04541  -0.0059   1.0000   1.0000
   0.500  -0.0969   0.06667   0.04468  -0.0019   1.0000   1.0000
   1.000  -0.1016   0.06597   0.04388   0.0021   1.0000   1.0000
   1.500  -0.1063   0.06522   0.04302   0.0062   1.0000   1.0000
   2.000  -0.1100   0.06445   0.04215   0.0102   1.0000   1.0000
   2.500  -0.1102   0.06384   0.04141   0.0136   1.0000   1.0000
   3.000  -0.1005   0.06384   0.04123   0.0153   1.0000   1.0000
   3.500  -0.0804   0.06459   0.04179   0.0153   1.0000   1.0000
   4.000  -0.0538   0.06600   0.04301   0.0141   1.0000   1.0000
   4.500  -0.0237   0.06790   0.04476   0.0123   1.0000   1.0000
   5.000   0.0081   0.07021   0.04696   0.0102   1.0000   1.0000
   5.500   0.0403   0.07286   0.04955   0.0080   1.0000   1.0000
   6.000   0.0724   0.07583   0.05251   0.0056   1.0000   1.0000
   6.500   0.1039   0.07908   0.05579   0.0032   1.0000   1.0000
   7.000   0.1347   0.08262   0.05942   0.0007   1.0000   1.0000
   7.500   0.1647   0.08642   0.06335  -0.0019   1.0000   1.0000
   8.000   0.1936   0.09049   0.06759  -0.0045   1.0000   1.0000
   8.500   0.2216   0.09483   0.07212  -0.0072   1.0000   1.0000
   9.000   0.2485   0.09944   0.07698  -0.0101   1.0000   1.0000
   9.500   0.2743   0.10430   0.08210  -0.0130   1.0000   1.0000
  10.000   0.2992   0.10943   0.08753  -0.0161   1.0000   1.0000
  10.500   0.3232   0.11480   0.09321  -0.0194   1.0000   1.0000
  11.000   0.3464   0.12043   0.09917  -0.0228   1.0000   1.0000
  11.500   0.3688   0.12628   0.10535  -0.0263   1.0000   1.0000
  12.000   0.3905   0.13236   0.11177  -0.0301   1.0000   1.0000
  12.500   0.4117   0.13866   0.11841  -0.0340   1.0000   1.0000
  13.000   0.4325   0.14517   0.12525  -0.0380   1.0000   1.0000
  13.500   0.4530   0.15186   0.13226  -0.0423   1.0000   1.0000
  14.000   0.4733   0.15873   0.13945  -0.0466   1.0000   1.0000
  14.500   0.4935   0.16576   0.14677  -0.0511   1.0000   1.0000
  15.000   0.5137   0.17292   0.15420  -0.0557   1.0000   1.0000
  15.500   0.5651   0.18859   0.17032  -0.0680   0.9512   1.0000
  16.000   0.6049   0.20067   0.18273  -0.0766   0.9021   1.0000
  16.500   0.6324   0.20711   0.18944  -0.0820   0.8619   1.0000
  17.000   0.6609   0.21552   0.19806  -0.0874   0.8256   1.0000
  17.500   0.6906   0.22577   0.20853  -0.0928   0.7931   1.0000
  18.000   0.7138   0.23163   0.21457  -0.0969   0.7635   1.0000
  18.500   0.7399   0.24084   0.22392  -0.1016   0.7380   1.0000
  19.000   0.7606   0.24563   0.22886  -0.1054   0.7134   1.0000
  19.500   0.7859   0.25450   0.23788  -0.1099   0.6896   1.0000
  20.000   0.8121   0.26515   0.24865  -0.1145   0.6682   1.0000
  20.500   0.8315   0.27003   0.25365  -0.1183   0.6493   1.0000
  21.000   0.8513   0.27537   0.25908  -0.1221   0.6304   1.0000
  21.500   0.8719   0.28155   0.26537  -0.1262   0.6123   1.0000
  22.000   0.8923   0.28780   0.27173  -0.1303   0.5945   1.0000
  22.500   0.9129   0.29457   0.27860  -0.1344   0.5775   1.0000
  23.000   0.9333   0.30150   0.28562  -0.1385   0.5607   1.0000
  23.500   0.9541   0.30915   0.29339  -0.1427   0.5445   1.0000
  24.000   0.9749   0.31725   0.30159  -0.1469   0.5283   1.0000
  24.500   0.9943   0.32391   0.30837  -0.1511   0.5123   1.0000
  25.000   1.0094   0.32560   0.31014  -0.1551   0.4979   1.0000
  25.500   1.0255   0.32940   0.31401  -0.1593   0.4842   1.0000
  26.000   1.0429   0.33494   0.31962  -0.1637   0.4712   1.0000
  26.500   1.0616   0.34245   0.32721  -0.1680   0.4578   1.0000
  27.000   1.0815   0.35228   0.33717  -0.1723   0.4435   1.0000
  27.500   1.0963   0.35454   0.33953  -0.1767   0.4300   1.0000
  28.000   1.1097   0.35654   0.34159  -0.1811   0.4186   1.0000
  28.500   1.1264   0.36336   0.34851  -0.1856   0.4072   1.0000
  29.000   1.1458   0.37493   0.36018  -0.1899   0.3940   1.0000
  29.500   1.1566   0.37281   0.35815  -0.1946   0.3827   1.0000
  30.000   1.1707   0.37741   0.36281  -0.1993   0.3729   1.0000
