  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 64A210                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0215   0.03724   0.01235  -0.0100   1.0000   1.0000
   0.500   0.0101   0.03768   0.01241  -0.0081   1.0000   1.0000
   1.000   0.0434   0.03829   0.01276  -0.0065   1.0000   1.0000
   1.500   0.0777   0.03908   0.01339  -0.0053   1.0000   1.0000
   2.000   0.1124   0.04005   0.01430  -0.0043   1.0000   1.0000
   2.500   0.1473   0.04120   0.01552  -0.0035   1.0000   1.0000
   3.000   0.1820   0.04254   0.01702  -0.0030   1.0000   1.0000
   3.500   0.2163   0.04409   0.01882  -0.0026   1.0000   1.0000
   4.000   0.2500   0.04587   0.02101  -0.0025   1.0000   1.0000
   4.500   0.2827   0.04791   0.02351  -0.0026   1.0000   1.0000
   5.000   0.3142   0.05025   0.02647  -0.0029   1.0000   1.0000
   5.500   0.3440   0.05294   0.02982  -0.0035   1.0000   1.0000
   6.000   0.3717   0.05608   0.03371  -0.0045   1.0000   1.0000
   6.500   0.3962   0.05980   0.03833  -0.0060   1.0000   1.0000
   7.000   0.4163   0.06435   0.04373  -0.0082   1.0000   1.0000
   7.500   0.4297   0.07008   0.05027  -0.0114   1.0000   1.0000
   8.000   0.4359   0.07729   0.05811  -0.0159   1.0000   1.0000
   8.500   0.4387   0.08560   0.06685  -0.0211   1.0000   1.0000
   9.000   0.4431   0.09419   0.07572  -0.0262   1.0000   1.0000
   9.500   0.4509   0.10264   0.08438  -0.0308   1.0000   1.0000
  10.000   0.4617   0.11087   0.09286  -0.0350   1.0000   1.0000
  10.500   0.4747   0.11891   0.10106  -0.0389   1.0000   1.0000
  11.000   0.4894   0.12679   0.10909  -0.0426   1.0000   1.0000
  11.500   0.5053   0.13458   0.11699  -0.0462   1.0000   1.0000
  12.000   0.5222   0.14227   0.12480  -0.0498   1.0000   1.0000
  12.500   0.5398   0.14991   0.13254  -0.0534   1.0000   1.0000
  13.000   0.5580   0.15750   0.14023  -0.0570   1.0000   1.0000
  13.500   0.5767   0.16508   0.14797  -0.0606   1.0000   1.0000
  14.000   0.5957   0.17265   0.15563  -0.0643   1.0000   1.0000
  14.500   0.6372   0.18560   0.16880  -0.0739   0.9715   1.0000
  15.000   0.6703   0.19593   0.17932  -0.0810   0.9407   1.0000
  15.500   0.7045   0.20748   0.19101  -0.0878   0.9064   1.0000
  16.000   0.7306   0.21466   0.19839  -0.0923   0.8695   1.0000
  16.500   0.7612   0.22574   0.20961  -0.0976   0.8358   1.0000
  17.000   0.7870   0.23469   0.21864  -0.1018   0.8062   1.0000
  17.500   0.8086   0.24105   0.22508  -0.1051   0.7757   1.0000
  18.000   0.8308   0.24772   0.23182  -0.1083   0.7435   1.0000
  18.500   0.8540   0.25555   0.23980  -0.1117   0.7117   1.0000
  19.000   0.8763   0.26322   0.24755  -0.1150   0.6829   1.0000
  19.500   0.8978   0.27075   0.25514  -0.1183   0.6564   1.0000
  20.000   0.9194   0.27867   0.26312  -0.1216   0.6294   1.0000
  20.500   0.9412   0.28698   0.27150  -0.1248   0.6023   1.0000
  21.000   0.9637   0.29642   0.28101  -0.1282   0.5753   1.0000
  21.500   0.9803   0.30048   0.28523  -0.1311   0.5508   1.0000
  22.000   0.9993   0.30769   0.29248  -0.1345   0.5294   1.0000
  22.500   1.0186   0.31500   0.29988  -0.1378   0.5065   1.0000
  23.000   1.0361   0.32139   0.30631  -0.1412   0.4866   1.0000
  23.500   1.0535   0.32729   0.31228  -0.1446   0.4648   1.0000
  24.000   1.0729   0.33643   0.32148  -0.1482   0.4453   1.0000
  24.500   1.0873   0.33943   0.32464  -0.1519   0.4269   1.0000
  25.000   1.1041   0.34572   0.33100  -0.1556   0.4087   1.0000
  25.500   1.1215   0.35346   0.33883  -0.1594   0.3919   1.0000
  26.000   1.1386   0.36163   0.34709  -0.1633   0.3761   1.0000
  26.500   1.1550   0.36951   0.35506  -0.1672   0.3610   1.0000
  27.000   1.1705   0.37609   0.36173  -0.1713   0.3465   1.0000
  27.500   1.1846   0.38081   0.36661  -0.1755   0.3325   1.0000
  28.000   1.1974   0.38343   0.36929  -0.1799   0.3196   1.0000
  28.500   1.2100   0.38630   0.37222  -0.1846   0.3078   1.0000
  29.000   1.2232   0.39097   0.37697  -0.1892   0.2972   1.0000
  29.500   1.2377   0.39872   0.38481  -0.1936   0.2868   1.0000
  30.000   1.2531   0.40933   0.39559  -0.1977   0.2749   1.0000
