  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65(1)-212 a=0.6                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0844   0.04277   0.01833  -0.0021   1.0000   1.0000
   0.500  -0.0646   0.04300   0.01814   0.0013   1.0000   1.0000
   1.000  -0.0404   0.04342   0.01817   0.0039   1.0000   1.0000
   1.500  -0.0131   0.04404   0.01849   0.0059   1.0000   1.0000
   2.000   0.0162   0.04485   0.01908   0.0075   1.0000   1.0000
   2.500   0.0469   0.04583   0.01992   0.0088   1.0000   1.0000
   3.000   0.0783   0.04699   0.02106   0.0098   1.0000   1.0000
   3.500   0.1102   0.04834   0.02246   0.0105   1.0000   1.0000
   4.000   0.1421   0.04989   0.02418   0.0110   1.0000   1.0000
   4.500   0.1735   0.05164   0.02616   0.0114   1.0000   1.0000
   5.000   0.2045   0.05364   0.02848   0.0115   1.0000   1.0000
   5.500   0.2345   0.05589   0.03117   0.0113   1.0000   1.0000
   6.000   0.2635   0.05845   0.03422   0.0110   1.0000   1.0000
   6.500   0.2907   0.06135   0.03771   0.0103   1.0000   1.0000
   7.000   0.3161   0.06466   0.04166   0.0093   1.0000   1.0000
   7.500   0.3390   0.06847   0.04615   0.0080   1.0000   1.0000
   8.000   0.3588   0.07289   0.05135   0.0061   1.0000   1.0000
   8.500   0.3749   0.07813   0.05732   0.0036   1.0000   1.0000
   9.000   0.3863   0.08436   0.06424   0.0003   1.0000   1.0000
   9.500   0.3935   0.09166   0.07209  -0.0039   1.0000   1.0000
  10.000   0.3990   0.09981   0.08066  -0.0086   1.0000   1.0000
  10.500   0.4061   0.10820   0.08935  -0.0134   1.0000   1.0000
  11.000   0.4161   0.11647   0.09784  -0.0179   1.0000   1.0000
  11.500   0.4290   0.12449   0.10608  -0.0222   1.0000   1.0000
  12.000   0.4439   0.13227   0.11401  -0.0262   1.0000   1.0000
  12.500   0.4603   0.13989   0.12176  -0.0300   1.0000   1.0000
  13.000   0.4778   0.14738   0.12936  -0.0338   1.0000   1.0000
  13.500   0.5116   0.15926   0.14142  -0.0416   0.9850   1.0000
  14.000   0.5501   0.17085   0.15330  -0.0504   0.9472   1.0000
  14.500   0.5817   0.18172   0.16432  -0.0569   0.9210   1.0000
  15.000   0.6111   0.19159   0.17433  -0.0625   0.8921   1.0000
  15.500   0.6341   0.19831   0.18118  -0.0666   0.8663   1.0000
  16.000   0.6590   0.20710   0.19012  -0.0710   0.8456   1.0000
  16.500   0.6832   0.21491   0.19806  -0.0752   0.8206   1.0000
  17.000   0.7055   0.22191   0.20514  -0.0789   0.7968   1.0000
  17.500   0.7339   0.23322   0.21659  -0.0837   0.7724   1.0000
  18.000   0.7514   0.23718   0.22065  -0.0866   0.7508   1.0000
  18.500   0.7777   0.24758   0.23115  -0.0909   0.7265   1.0000
  19.000   0.7971   0.25264   0.23629  -0.0941   0.7022   1.0000
  19.500   0.8194   0.26070   0.24443  -0.0978   0.6799   1.0000
  20.000   0.8406   0.26765   0.25147  -0.1013   0.6566   1.0000
  20.500   0.8612   0.27467   0.25862  -0.1048   0.6350   1.0000
  21.000   0.8839   0.28339   0.26745  -0.1084   0.6105   1.0000
  21.500   0.9015   0.28794   0.27204  -0.1117   0.5894   1.0000
  22.000   0.9237   0.29702   0.28123  -0.1154   0.5667   1.0000
  22.500   0.9415   0.30257   0.28689  -0.1189   0.5475   1.0000
  23.000   0.9599   0.30828   0.29268  -0.1224   0.5258   1.0000
  23.500   0.9812   0.31805   0.30254  -0.1262   0.5056   1.0000
  24.000   0.9961   0.32080   0.30534  -0.1296   0.4864   1.0000
  24.500   1.0145   0.32771   0.31235  -0.1333   0.4668   1.0000
  25.000   1.0345   0.33758   0.32232  -0.1371   0.4487   1.0000
  25.500   1.0506   0.34330   0.32815  -0.1409   0.4324   1.0000
  26.000   1.0653   0.34701   0.33193  -0.1448   0.4162   1.0000
  26.500   1.0804   0.35162   0.33661  -0.1487   0.3999   1.0000
  27.000   1.0959   0.35698   0.34205  -0.1528   0.3844   1.0000
  27.500   1.1112   0.36276   0.34791  -0.1569   0.3699   1.0000
  28.000   1.1264   0.36923   0.35454  -0.1610   0.3566   1.0000
  28.500   1.1420   0.37659   0.36199  -0.1652   0.3432   1.0000
  29.000   1.1576   0.38507   0.37058  -0.1692   0.3297   1.0000
  29.500   1.1701   0.38737   0.37299  -0.1738   0.3171   1.0000
  30.000   1.1810   0.38884   0.37451  -0.1784   0.3063   1.0000
