  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65(3)-218                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0509   0.06781   0.04342  -0.0027   1.0000   1.0000
   0.500  -0.0465   0.06762   0.04315   0.0014   1.0000   1.0000
   1.000  -0.0424   0.06743   0.04290   0.0056   1.0000   1.0000
   1.500  -0.0385   0.06725   0.04268   0.0098   1.0000   1.0000
   2.000  -0.0349   0.06706   0.04247   0.0141   1.0000   1.0000
   2.500  -0.0316   0.06686   0.04228   0.0184   1.0000   1.0000
   3.000  -0.0285   0.06667   0.04211   0.0227   1.0000   1.0000
   3.500  -0.0252   0.06652   0.04198   0.0269   1.0000   1.0000
   4.000  -0.0208   0.06646   0.04196   0.0309   1.0000   1.0000
   4.500  -0.0139   0.06663   0.04214   0.0344   1.0000   1.0000
   5.000  -0.0023   0.06720   0.04275   0.0369   1.0000   1.0000
   5.500   0.0143   0.06825   0.04386   0.0383   1.0000   1.0000
   6.000   0.0345   0.06977   0.04547   0.0389   1.0000   1.0000
   6.500   0.0569   0.07171   0.04757   0.0388   1.0000   1.0000
   7.000   0.0805   0.07404   0.05012   0.0383   1.0000   1.0000
   7.500   0.1043   0.07676   0.05308   0.0374   1.0000   1.0000
   8.000   0.1281   0.07984   0.05645   0.0362   1.0000   1.0000
   8.500   0.1511   0.08329   0.06025   0.0346   1.0000   1.0000
   9.000   0.1734   0.08712   0.06445   0.0328   1.0000   1.0000
   9.500   0.1946   0.09133   0.06908   0.0306   1.0000   1.0000
  10.000   0.2146   0.09592   0.07409   0.0282   1.0000   1.0000
  10.500   0.2333   0.10091   0.07951   0.0255   1.0000   1.0000
  11.000   0.2509   0.10630   0.08536   0.0224   1.0000   1.0000
  11.500   0.2675   0.11207   0.09157   0.0190   1.0000   1.0000
  12.000   0.2833   0.11821   0.09812   0.0154   1.0000   1.0000
  12.500   0.2985   0.12468   0.10497   0.0114   1.0000   1.0000
  13.000   0.3137   0.13144   0.11210   0.0072   1.0000   1.0000
  13.500   0.3292   0.13839   0.11934   0.0029   1.0000   1.0000
  14.000   0.3455   0.14546   0.12666  -0.0015   1.0000   1.0000
  14.500   0.3665   0.15360   0.13503  -0.0069   0.9961   1.0000
  15.000   0.4270   0.17344   0.15526  -0.0218   0.9304   1.0000
  15.500   0.4579   0.18184   0.16388  -0.0282   0.8852   1.0000
  16.500   0.5112   0.19797   0.18028  -0.0382   0.8209   1.0000
  17.000   0.5422   0.20962   0.19207  -0.0438   0.7943   1.0000
  17.500   0.5619   0.21454   0.19704  -0.0472   0.7733   1.0000
  18.000   0.5834   0.22053   0.20313  -0.0510   0.7525   1.0000
  18.500   0.6061   0.22744   0.21012  -0.0550   0.7321   1.0000
  19.000   0.6291   0.23472   0.21750  -0.0591   0.7128   1.0000
  19.500   0.6519   0.24203   0.22489  -0.0631   0.6943   1.0000
  20.000   0.6744   0.24930   0.23223  -0.0671   0.6763   1.0000
  20.500   0.6967   0.25659   0.23963  -0.0712   0.6585   1.0000
  21.000   0.7183   0.26365   0.24676  -0.0751   0.6411   1.0000
  21.500   0.7393   0.27026   0.25344  -0.0790   0.6242   1.0000
  22.000   0.7603   0.27710   0.26036  -0.0830   0.6071   1.0000
  22.500   0.7806   0.28348   0.26683  -0.0869   0.5905   1.0000
  23.000   0.8003   0.28948   0.27291  -0.0909   0.5742   1.0000
  23.500   0.8198   0.29554   0.27904  -0.0948   0.5578   1.0000
  24.000   0.8390   0.30143   0.28502  -0.0988   0.5417   1.0000
  24.500   0.8576   0.30701   0.29068  -0.1028   0.5260   1.0000
  25.000   0.8755   0.31212   0.29585  -0.1069   0.5107   1.0000
  25.500   0.8933   0.31750   0.30133  -0.1109   0.4952   1.0000
  26.000   0.9107   0.32245   0.30635  -0.1150   0.4804   1.0000
  26.500   0.9275   0.32732   0.31129  -0.1192   0.4661   1.0000
  27.000   0.9443   0.33248   0.31652  -0.1234   0.4521   1.0000
  27.500   0.9612   0.33809   0.32224  -0.1277   0.4385   1.0000
  28.000   0.9784   0.34458   0.32881  -0.1320   0.4249   1.0000
  28.500   0.9963   0.35276   0.33708  -0.1363   0.4112   1.0000
  29.000   1.0134   0.35991   0.34436  -0.1406   0.3970   1.0000
  29.500   1.0249   0.35921   0.34374  -0.1451   0.3853   1.0000
  30.000   1.0392   0.36362   0.34821  -0.1497   0.3743   1.0000
