  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 66-209                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0330   0.03750   0.01169  -0.0050   1.0000   1.0000
   0.500  -0.0057   0.03766   0.01149  -0.0016   1.0000   1.0000
   1.000   0.0238   0.03794   0.01155   0.0014   1.0000   1.0000
   1.500   0.0551   0.03834   0.01186   0.0039   1.0000   1.0000
   2.000   0.0877   0.03888   0.01241   0.0062   1.0000   1.0000
   2.500   0.1212   0.03956   0.01324   0.0081   1.0000   1.0000
   3.000   0.1551   0.04039   0.01439   0.0098   1.0000   1.0000
   3.500   0.1892   0.04139   0.01579   0.0112   1.0000   1.0000
   4.000   0.2230   0.04259   0.01754   0.0124   1.0000   1.0000
   4.500   0.2562   0.04401   0.01972   0.0134   1.0000   1.0000
   5.000   0.2883   0.04570   0.02225   0.0141   1.0000   1.0000
   5.500   0.3188   0.04773   0.02536   0.0145   1.0000   1.0000
   6.000   0.3467   0.05021   0.02895   0.0146   1.0000   1.0000
   6.500   0.3704   0.05340   0.03339   0.0139   1.0000   1.0000
   7.000   0.3841   0.05801   0.03923   0.0118   1.0000   1.0000
   7.500   0.3790   0.06544   0.04731   0.0067   1.0000   1.0000
   8.000   0.3707   0.07432   0.05629   0.0000   1.0000   1.0000
   8.500   0.5799   0.10267   0.08642  -0.0347   0.6136   1.0000
   9.000   0.5834   0.11115   0.09483  -0.0372   0.6158   1.0000
   9.500   0.5828   0.11923   0.10283  -0.0398   0.6306   1.0000
  10.000   0.5727   0.12612   0.10961  -0.0420   0.6644   1.0000
  10.500   0.5486   0.13172   0.11503  -0.0445   0.7594   1.0000
  11.000   0.4391   0.12063   0.10321  -0.0254   1.0000   1.0000
  11.500   0.4564   0.12798   0.11066  -0.0288   1.0000   1.0000
  12.000   0.4743   0.13531   0.11807  -0.0323   1.0000   1.0000
  12.500   0.4927   0.14261   0.12546  -0.0358   1.0000   1.0000
  13.000   0.5115   0.14997   0.13290  -0.0393   1.0000   1.0000
  13.500   0.5305   0.15726   0.14029  -0.0429   1.0000   1.0000
  14.000   0.5498   0.16463   0.14784  -0.0466   1.0000   1.0000
  14.500   0.5693   0.17200   0.15529  -0.0503   1.0000   1.0000
  15.000   0.6034   0.18325   0.16671  -0.0580   0.9818   1.0000
  15.500   0.6403   0.19498   0.17862  -0.0661   0.9491   1.0000
  16.000   0.6703   0.20399   0.18777  -0.0723   0.9181   1.0000
  16.500   0.7014   0.21428   0.19820  -0.0783   0.8852   1.0000
  17.000   0.7280   0.22208   0.20622  -0.0830   0.8505   1.0000
  17.500   0.7592   0.23328   0.21754  -0.0884   0.8125   1.0000
  18.000   0.7819   0.23899   0.22334  -0.0919   0.7765   1.0000
  18.500   0.8101   0.24972   0.23416  -0.0963   0.7426   1.0000
  19.000   0.8310   0.25549   0.23999  -0.0995   0.7120   1.0000
  19.500   0.8532   0.26245   0.24703  -0.1029   0.6808   1.0000
  20.000   0.8776   0.27141   0.25607  -0.1065   0.6484   1.0000
  20.500   0.9007   0.28026   0.26512  -0.1099   0.6172   1.0000
  21.000   0.9197   0.28560   0.27051  -0.1129   0.5868   1.0000
  21.500   0.9398   0.29242   0.27739  -0.1161   0.5578   1.0000
  22.000   0.9601   0.30018   0.28522  -0.1194   0.5312   1.0000
  22.500   0.9819   0.31000   0.29512  -0.1228   0.5057   1.0000
  23.000   0.9970   0.31322   0.29839  -0.1261   0.4831   1.0000
  23.500   1.0159   0.32121   0.30643  -0.1296   0.4617   1.0000
  24.000   1.0330   0.32698   0.31242  -0.1331   0.4395   1.0000
  24.500   1.0506   0.33459   0.32008  -0.1367   0.4199   1.0000
  25.000   1.0655   0.33849   0.32405  -0.1405   0.4005   1.0000
  25.500   1.0839   0.34770   0.33336  -0.1441   0.3812   1.0000
  26.000   1.1002   0.35521   0.34092  -0.1480   0.3649   1.0000
  26.500   1.1143   0.35947   0.34524  -0.1521   0.3500   1.0000
  27.000   1.1289   0.36513   0.35097  -0.1563   0.3358   1.0000
  28.000   1.1589   0.37928   0.36541  -0.1645   0.3089   1.0000
  28.500   1.1720   0.38315   0.36940  -0.1690   0.2964   1.0000
  29.000   1.1835   0.38486   0.37117  -0.1737   0.2851   1.0000
  29.500   1.1958   0.38895   0.37534  -0.1784   0.2748   1.0000
  30.000   1.2093   0.39584   0.38232  -0.1829   0.2645   1.0000
