  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA M12                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0199   0.04301   0.02006  -0.0078   1.0000   1.0000
   0.500   0.0020   0.04394   0.02057  -0.0048   1.0000   1.0000
   1.000   0.0251   0.04506   0.02134  -0.0023   1.0000   1.0000
   1.500   0.0491   0.04640   0.02238  -0.0003   1.0000   1.0000
   2.000   0.0737   0.04795   0.02370   0.0013   1.0000   1.0000
   2.500   0.0987   0.04972   0.02530   0.0025   1.0000   1.0000
   3.000   0.1238   0.05171   0.02720   0.0033   1.0000   1.0000
   3.500   0.1488   0.05395   0.02938   0.0038   1.0000   1.0000
   4.000   0.1735   0.05644   0.03188   0.0041   1.0000   1.0000
   4.500   0.1979   0.05919   0.03468   0.0040   1.0000   1.0000
   5.000   0.2217   0.06221   0.03781   0.0036   1.0000   1.0000
   5.500   0.2448   0.06551   0.04126   0.0030   1.0000   1.0000
   6.000   0.2671   0.06910   0.04504   0.0021   1.0000   1.0000
   6.500   0.2886   0.07300   0.04917   0.0010   1.0000   1.0000
   7.000   0.3092   0.07723   0.05365  -0.0003   1.0000   1.0000
   7.500   0.3288   0.08178   0.05851  -0.0019   1.0000   1.0000
   8.000   0.3474   0.08665   0.06368  -0.0037   1.0000   1.0000
   8.500   0.3652   0.09185   0.06919  -0.0057   1.0000   1.0000
   9.000   0.3822   0.09735   0.07505  -0.0079   1.0000   1.0000
   9.500   0.3985   0.10315   0.08118  -0.0102   1.0000   1.0000
  10.000   0.4143   0.10921   0.08758  -0.0128   1.0000   1.0000
  10.500   0.4297   0.11553   0.09426  -0.0156   1.0000   1.0000
  11.000   0.4448   0.12207   0.10112  -0.0185   1.0000   1.0000
  11.500   0.4600   0.12881   0.10816  -0.0216   1.0000   1.0000
  12.000   0.4753   0.13570   0.11534  -0.0249   1.0000   1.0000
  12.500   0.4910   0.14271   0.12264  -0.0283   1.0000   1.0000
  13.000   0.5073   0.14979   0.12995  -0.0318   1.0000   1.0000
  13.500   0.5241   0.15689   0.13726  -0.0353   1.0000   1.0000
  14.000   0.5415   0.16401   0.14457  -0.0389   1.0000   1.0000
  14.500   0.5594   0.17114   0.15188  -0.0426   1.0000   1.0000
  15.000   0.5780   0.17824   0.15918  -0.0463   0.9996   1.0000
  15.500   0.6316   0.19387   0.17520  -0.0592   0.9456   1.0000
  16.000   0.6656   0.20354   0.18510  -0.0660   0.8998   1.0000
  16.500   0.6992   0.21478   0.19661  -0.0721   0.8579   1.0000
  17.000   0.7262   0.22351   0.20549  -0.0766   0.8212   1.0000
  17.500   0.7514   0.23170   0.21382  -0.0805   0.7872   1.0000
  18.000   0.7778   0.24131   0.22357  -0.0846   0.7543   1.0000
  18.500   0.7957   0.24529   0.22771  -0.0871   0.7245   1.0000
  19.000   0.8168   0.25245   0.23496  -0.0904   0.6987   1.0000
  19.500   0.8433   0.26363   0.24629  -0.0943   0.6695   1.0000
  20.000   0.8583   0.26634   0.24909  -0.0968   0.6461   1.0000
  20.500   0.8813   0.27545   0.25832  -0.1004   0.6209   1.0000
  21.000   0.9003   0.28204   0.26497  -0.1036   0.5991   1.0000
  21.500   0.9175   0.28673   0.26973  -0.1066   0.5769   1.0000
  22.000   0.9379   0.29467   0.27782  -0.1101   0.5554   1.0000
  22.500   0.9614   0.30665   0.28989  -0.1139   0.5345   1.0000
  23.000   0.9771   0.31079   0.29410  -0.1172   0.5165   1.0000
  23.500   0.9938   0.31605   0.29943  -0.1207   0.4990   1.0000
  24.000   1.0106   0.32167   0.30518  -0.1243   0.4817   1.0000
  24.500   1.0275   0.32769   0.31127  -0.1279   0.4647   1.0000
  25.000   1.0449   0.33454   0.31821  -0.1317   0.4486   1.0000
  25.500   1.0627   0.34254   0.32631  -0.1356   0.4329   1.0000
  26.000   1.0807   0.35115   0.33507  -0.1394   0.4171   1.0000
  26.500   1.0929   0.35141   0.33542  -0.1435   0.4031   1.0000
  27.000   1.1063   0.35431   0.33838  -0.1477   0.3906   1.0000
  27.500   1.1215   0.36023   0.34438  -0.1520   0.3787   1.0000
  28.000   1.1388   0.36987   0.35417  -0.1561   0.3660   1.0000
  28.500   1.1536   0.37525   0.35969  -0.1604   0.3526   1.0000
  29.000   1.1647   0.37553   0.36002  -0.1652   0.3425   1.0000
  29.500   1.1802   0.38407   0.36867  -0.1696   0.3323   1.0000
  30.000   1.1945   0.39017   0.37492  -0.1740   0.3202   1.0000
