  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA NLF(1)-1015                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1839   0.05489   0.03503  -0.0238   1.0000   1.0000
   0.500  -0.1478   0.05533   0.03446  -0.0246   1.0000   1.0000
   1.000  -0.1080   0.05620   0.03437  -0.0259   1.0000   1.0000
   1.500  -0.0667   0.05740   0.03476  -0.0274   1.0000   1.0000
   2.000  -0.0249   0.05889   0.03552  -0.0290   1.0000   1.0000
   2.500   0.0168   0.06061   0.03666  -0.0307   1.0000   1.0000
   3.000   0.0578   0.06256   0.03811  -0.0323   1.0000   1.0000
   3.500   0.0981   0.06472   0.03990  -0.0338   1.0000   1.0000
   4.000   0.1373   0.06710   0.04198  -0.0354   1.0000   1.0000
   4.500   0.1754   0.06968   0.04437  -0.0370   1.0000   1.0000
   5.000   0.2122   0.07248   0.04707  -0.0385   1.0000   1.0000
   5.500   0.2478   0.07551   0.05009  -0.0401   1.0000   1.0000
   6.000   0.2821   0.07879   0.05341  -0.0417   1.0000   1.0000
   6.500   0.3150   0.08230   0.05707  -0.0434   1.0000   1.0000
   7.000   0.3464   0.08608   0.06103  -0.0451   1.0000   1.0000
   7.500   0.3764   0.09012   0.06531  -0.0470   1.0000   1.0000
   8.000   0.4049   0.09444   0.06995  -0.0489   1.0000   1.0000
   8.500   0.4320   0.09904   0.07490  -0.0510   1.0000   1.0000
   9.000   0.4577   0.10393   0.08017  -0.0532   1.0000   1.0000
   9.500   0.4821   0.10910   0.08581  -0.0556   1.0000   1.0000
  10.000   0.5051   0.11456   0.09172  -0.0582   1.0000   1.0000
  10.500   0.5271   0.12029   0.09798  -0.0610   1.0000   1.0000
  11.000   0.5481   0.12628   0.10447  -0.0640   1.0000   1.0000
  11.500   0.5683   0.13253   0.11121  -0.0673   1.0000   1.0000
  12.000   0.5878   0.13900   0.11820  -0.0707   1.0000   1.0000
  12.500   0.6068   0.14569   0.12548  -0.0744   1.0000   1.0000
  13.000   0.6254   0.15259   0.13288  -0.0783   1.0000   1.0000
  13.500   0.6436   0.15967   0.14047  -0.0824   1.0000   1.0000
  14.000   0.6618   0.16693   0.14829  -0.0866   1.0000   1.0000
  14.500   0.6798   0.17438   0.15622  -0.0911   1.0000   1.0000
  15.000   0.6979   0.18199   0.16430  -0.0957   1.0000   1.0000
  15.500   0.7159   0.18977   0.17253  -0.1004   1.0000   1.0000
  16.000   0.7526   0.20127   0.18470  -0.1102   0.9694   1.0000
  16.500   0.7850   0.21116   0.19511  -0.1185   0.9330   1.0000
  17.000   0.8140   0.22007   0.20448  -0.1254   0.8974   1.0000
  17.500   0.8439   0.23139   0.21620  -0.1323   0.8642   1.0000
  18.000   0.8672   0.23798   0.22311  -0.1375   0.8333   1.0000
  18.500   0.8916   0.24619   0.23167  -0.1428   0.8038   1.0000
  19.000   0.9172   0.25586   0.24159  -0.1481   0.7756   1.0000
  19.500   0.9405   0.26346   0.24942  -0.1529   0.7472   1.0000
  20.000   0.9587   0.26754   0.25362  -0.1569   0.7243   1.0000
  20.500   0.9826   0.27660   0.26282  -0.1616   0.6997   1.0000
  21.000   1.0044   0.28356   0.26992  -0.1660   0.6760   1.0000
  21.500   1.0250   0.29041   0.27692  -0.1702   0.6547   1.0000
  22.000   1.0464   0.29751   0.28414  -0.1745   0.6323   1.0000
  22.500   1.0674   0.30518   0.29190  -0.1787   0.6124   1.0000
  23.000   1.0856   0.30980   0.29661  -0.1827   0.5917   1.0000
  23.500   1.1094   0.32107   0.30802  -0.1871   0.5714   1.0000
  24.000   1.1255   0.32426   0.31132  -0.1911   0.5537   1.0000
  24.500   1.1430   0.32892   0.31606  -0.1952   0.5348   1.0000
  25.000   1.1620   0.33595   0.32319  -0.1993   0.5165   1.0000
  25.500   1.1821   0.34483   0.33219  -0.2035   0.4987   1.0000
  26.000   1.2005   0.35279   0.34022  -0.2076   0.4820   1.0000
  27.000   1.2321   0.36228   0.34995  -0.2161   0.4510   1.0000
  27.500   1.2481   0.36817   0.35594  -0.2203   0.4362   1.0000
  28.000   1.2638   0.37410   0.36196  -0.2246   0.4214   1.0000
  28.500   1.2794   0.38053   0.36848  -0.2288   0.4068   1.0000
  29.000   1.2951   0.38784   0.37591  -0.2330   0.3924   1.0000
  29.500   1.3070   0.38887   0.37711  -0.2376   0.3794   1.0000
  30.000   1.3184   0.39057   0.37888  -0.2422   0.3679   1.0000
