  
       XFOIL         Version 6.99
  
 Calculated polar for: R140 (original)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0215   0.04178   0.01617  -0.0000   1.0000   1.0000
   0.500  -0.0138   0.04204   0.01625   0.0052   1.0000   1.0000
   1.000  -0.0029   0.04245   0.01650   0.0098   1.0000   1.0000
   1.500   0.0109   0.04302   0.01693   0.0139   1.0000   1.0000
   2.000   0.0274   0.04375   0.01760   0.0175   1.0000   1.0000
   2.500   0.0466   0.04463   0.01851   0.0206   1.0000   1.0000
   3.000   0.0678   0.04569   0.01964   0.0231   1.0000   1.0000
   3.500   0.0906   0.04693   0.02105   0.0252   1.0000   1.0000
   4.000   0.1143   0.04835   0.02290   0.0270   1.0000   1.0000
   4.500   0.1386   0.04998   0.02487   0.0284   1.0000   1.0000
   5.000   0.1631   0.05184   0.02719   0.0294   1.0000   1.0000
   5.500   0.1874   0.05395   0.03005   0.0301   1.0000   1.0000
   6.000   0.2111   0.05637   0.03308   0.0305   1.0000   1.0000
   6.500   0.2338   0.05911   0.03653   0.0306   1.0000   1.0000
   7.000   0.2547   0.06228   0.04049   0.0302   1.0000   1.0000
   7.500   0.2734   0.06597   0.04501   0.0293   1.0000   1.0000
   8.000   0.2888   0.07037   0.05025   0.0278   1.0000   1.0000
   8.500   0.2996   0.07570   0.05636   0.0255   1.0000   1.0000
   9.000   0.3054   0.08220   0.06345   0.0221   1.0000   1.0000
   9.500   0.3087   0.08960   0.07126   0.0180   1.0000   1.0000
  10.000   0.3144   0.09714   0.07903   0.0139   1.0000   1.0000
  10.500   0.3227   0.10471   0.08707   0.0101   1.0000   1.0000
  11.000   0.3338   0.11210   0.09464   0.0066   1.0000   1.0000
  11.500   0.3466   0.11943   0.10212   0.0032   1.0000   1.0000
  12.000   0.3607   0.12668   0.10952  -0.0000   1.0000   1.0000
  12.500   0.3760   0.13386   0.11680  -0.0033   1.0000   1.0000
  13.000   0.3918   0.14116   0.12418  -0.0065   1.0000   1.0000
  13.500   0.4085   0.14833   0.13139  -0.0097   1.0000   1.0000
  14.000   0.4523   0.16236   0.14559  -0.0199   0.9665   1.0000
  14.500   0.4897   0.17534   0.15865  -0.0278   0.9334   1.0000
  15.000   0.5169   0.18428   0.16761  -0.0329   0.9051   1.0000
  15.500   0.5422   0.19227   0.17564  -0.0373   0.8756   1.0000
  16.000   0.5730   0.20293   0.18632  -0.0424   0.8388   1.0000
  16.500   0.6015   0.21255   0.19597  -0.0466   0.8000   1.0000
  17.000   0.6217   0.21824   0.20161  -0.0493   0.7697   1.0000
  17.500   0.6452   0.22667   0.21031  -0.0527   0.7440   1.0000
  18.000   0.6696   0.23605   0.21971  -0.0563   0.7187   1.0000
  18.500   0.6885   0.24174   0.22542  -0.0589   0.6945   1.0000
  19.000   0.7081   0.24805   0.23171  -0.0617   0.6701   1.0000
  19.500   0.7287   0.25516   0.23880  -0.0646   0.6443   1.0000
  20.000   0.7494   0.26256   0.24620  -0.0675   0.6192   1.0000
  20.500   0.7704   0.27036   0.25401  -0.0705   0.5939   1.0000
  21.000   0.7923   0.27940   0.26307  -0.0735   0.5686   1.0000
  21.500   0.8087   0.28359   0.26726  -0.0761   0.5451   1.0000
  22.000   0.8264   0.28962   0.27327  -0.0790   0.5239   1.0000
  22.500   0.8478   0.29910   0.28298  -0.0822   0.5019   1.0000
  23.000   0.8625   0.30283   0.28670  -0.0853   0.4848   1.0000
  23.500   0.8789   0.30803   0.29192  -0.0884   0.4660   1.0000
  24.000   0.8989   0.31772   0.30166  -0.0917   0.4474   1.0000
  24.500   0.9140   0.32234   0.30627  -0.0950   0.4316   1.0000
  25.000   0.9283   0.32605   0.30999  -0.0984   0.4156   1.0000
  25.500   0.9438   0.33134   0.31531  -0.1019   0.3998   1.0000
  26.000   0.9595   0.33730   0.32143  -0.1054   0.3846   1.0000
  26.500   0.9748   0.34325   0.32743  -0.1090   0.3701   1.0000
  27.000   0.9898   0.34911   0.33335  -0.1127   0.3560   1.0000
  27.500   1.0038   0.35405   0.33833  -0.1165   0.3428   1.0000
  28.000   1.0174   0.35869   0.34301  -0.1204   0.3300   1.0000
  28.500   1.0306   0.36330   0.34768  -0.1243   0.3176   1.0000
  29.000   1.0437   0.36814   0.35256  -0.1284   0.3065   1.0000
  29.500   1.0572   0.37406   0.35862  -0.1324   0.2954   1.0000
  30.000   1.0715   0.38249   0.36713  -0.1363   0.2843   1.0000
