  
       XFOIL         Version 6.99
  
 Calculated polar for: RG-12                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0001   0.03597   0.01168  -0.0092   1.0000   1.0000
   0.500   0.0299   0.03634   0.01171  -0.0067   1.0000   1.0000
   1.000   0.0604   0.03690   0.01204  -0.0046   1.0000   1.0000
   1.500   0.0910   0.03765   0.01267  -0.0027   1.0000   1.0000
   2.000   0.1214   0.03862   0.01359  -0.0012   1.0000   1.0000
   2.500   0.1511   0.03983   0.01483  -0.0000   1.0000   1.0000
   3.000   0.1799   0.04131   0.01647   0.0008   1.0000   1.0000
   3.500   0.2074   0.04311   0.01843   0.0013   1.0000   1.0000
   4.000   0.2335   0.04524   0.02079   0.0013   1.0000   1.0000
   4.500   0.2580   0.04774   0.02359   0.0009   1.0000   1.0000
   5.000   0.2810   0.05065   0.02691   0.0001   1.0000   1.0000
   5.500   0.3023   0.05399   0.03062  -0.0013   1.0000   1.0000
   6.000   0.3222   0.05779   0.03482  -0.0031   1.0000   1.0000
   6.500   0.3407   0.06204   0.03949  -0.0052   1.0000   1.0000
   7.000   0.3580   0.06676   0.04476  -0.0078   1.0000   1.0000
   7.500   0.3742   0.07194   0.05037  -0.0107   1.0000   1.0000
   8.000   0.3897   0.07757   0.05643  -0.0138   1.0000   1.0000
   8.500   0.4047   0.08363   0.06292  -0.0172   1.0000   1.0000
   9.000   0.4193   0.09004   0.06974  -0.0207   1.0000   1.0000
   9.500   0.4338   0.09679   0.07700  -0.0243   1.0000   1.0000
  10.000   0.4485   0.10381   0.08440  -0.0279   1.0000   1.0000
  10.500   0.4633   0.11105   0.09199  -0.0316   1.0000   1.0000
  11.000   0.4785   0.11844   0.09971  -0.0354   1.0000   1.0000
  11.500   0.4941   0.12595   0.10753  -0.0391   1.0000   1.0000
  12.000   0.5103   0.13355   0.11540  -0.0429   1.0000   1.0000
  12.500   0.5270   0.14120   0.12331  -0.0467   1.0000   1.0000
  13.000   0.5443   0.14891   0.13125  -0.0505   1.0000   1.0000
  13.500   0.5620   0.15661   0.13928  -0.0543   1.0000   1.0000
  14.000   0.5801   0.16436   0.14721  -0.0582   1.0000   1.0000
  14.500   0.5987   0.17209   0.15510  -0.0621   1.0000   1.0000
  15.000   0.6266   0.18195   0.16517  -0.0685   0.9884   1.0000
  15.500   0.6775   0.19807   0.18163  -0.0803   0.9302   1.0000
  16.000   0.7095   0.20718   0.19092  -0.0865   0.8843   1.0000
  16.500   0.7447   0.21876   0.20268  -0.0926   0.8313   1.0000
  17.000   0.7719   0.22720   0.21136  -0.0967   0.7885   1.0000
  17.500   0.7963   0.23493   0.21919  -0.1003   0.7520   1.0000
  18.000   0.8203   0.24289   0.22723  -0.1037   0.7156   1.0000
  18.500   0.8478   0.25375   0.23818  -0.1075   0.6781   1.0000
  19.000   0.8676   0.25971   0.24419  -0.1103   0.6478   1.0000
  19.500   0.8892   0.26766   0.25219  -0.1135   0.6203   1.0000
  20.000   0.9105   0.27551   0.26010  -0.1167   0.5929   1.0000
  20.500   0.9314   0.28336   0.26812  -0.1198   0.5654   1.0000
  21.000   0.9528   0.29202   0.27684  -0.1229   0.5385   1.0000
  21.500   0.9691   0.29612   0.28099  -0.1260   0.5151   1.0000
  22.000   0.9886   0.30425   0.28916  -0.1293   0.4952   1.0000
  22.500   1.0050   0.30905   0.29400  -0.1327   0.4756   1.0000
  23.000   1.0261   0.31936   0.30441  -0.1362   0.4561   1.0000
  23.500   1.0416   0.32402   0.30907  -0.1398   0.4393   1.0000
  24.000   1.0568   0.32828   0.31351  -0.1433   0.4214   1.0000
  24.500   1.0746   0.33559   0.32088  -0.1469   0.4030   1.0000
  25.000   1.0938   0.34590   0.33128  -0.1505   0.3859   1.0000
  25.500   1.1093   0.35164   0.33704  -0.1543   0.3713   1.0000
  26.000   1.1247   0.35769   0.34316  -0.1583   0.3574   1.0000
  26.500   1.1401   0.36405   0.34963  -0.1622   0.3441   1.0000
  27.000   1.1526   0.36584   0.35145  -0.1666   0.3324   1.0000
  27.500   1.1656   0.36928   0.35504  -0.1709   0.3215   1.0000
  28.000   1.1796   0.37473   0.36055  -0.1752   0.3111   1.0000
  28.500   1.1946   0.38247   0.36838  -0.1794   0.3003   1.0000
  29.000   1.2105   0.39261   0.37862  -0.1834   0.2883   1.0000
  29.500   1.2201   0.39073   0.37681  -0.1883   0.2786   1.0000
  30.000   1.2323   0.39528   0.38142  -0.1929   0.2699   1.0000
