  
       XFOIL         Version 6.99
  
 Calculated polar for: S1020 | Ornithopter airfoil                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1481   0.05536   0.03713  -0.0328   1.0000   1.0000
   0.500  -0.1041   0.05661   0.03713  -0.0363   1.0000   1.0000
   1.000  -0.0614   0.05826   0.03766  -0.0390   1.0000   1.0000
   1.500  -0.0203   0.06018   0.03862  -0.0412   1.0000   1.0000
   2.000   0.0193   0.06232   0.03997  -0.0430   1.0000   1.0000
   2.500   0.0575   0.06466   0.04162  -0.0446   1.0000   1.0000
   3.000   0.0944   0.06719   0.04359  -0.0460   1.0000   1.0000
   3.500   0.1301   0.06991   0.04583  -0.0473   1.0000   1.0000
   4.000   0.1646   0.07281   0.04836  -0.0486   1.0000   1.0000
   4.500   0.1982   0.07590   0.05114  -0.0498   1.0000   1.0000
   5.000   0.2307   0.07919   0.05421  -0.0510   1.0000   1.0000
   5.500   0.2622   0.08265   0.05752  -0.0523   1.0000   1.0000
   6.000   0.2927   0.08631   0.06109  -0.0536   1.0000   1.0000
   6.500   0.3222   0.09016   0.06492  -0.0549   1.0000   1.0000
   7.000   0.3507   0.09421   0.06900  -0.0563   1.0000   1.0000
   7.500   0.3782   0.09845   0.07333  -0.0578   1.0000   1.0000
   8.000   0.4049   0.10289   0.07790  -0.0593   1.0000   1.0000
   8.500   0.4306   0.10751   0.08269  -0.0610   1.0000   1.0000
   9.000   0.4555   0.11233   0.08775  -0.0628   1.0000   1.0000
   9.500   0.4795   0.11733   0.09301  -0.0647   1.0000   1.0000
  10.000   0.5029   0.12252   0.09851  -0.0668   1.0000   1.0000
  10.500   0.5255   0.12788   0.10418  -0.0690   1.0000   1.0000
  11.000   0.5475   0.13340   0.11003  -0.0713   1.0000   1.0000
  11.500   0.5688   0.13908   0.11612  -0.0738   1.0000   1.0000
  12.000   0.5897   0.14493   0.12235  -0.0765   1.0000   1.0000
  12.500   0.6101   0.15093   0.12873  -0.0794   1.0000   1.0000
  13.000   0.6300   0.15708   0.13533  -0.0824   1.0000   1.0000
  13.500   0.6496   0.16337   0.14204  -0.0855   1.0000   1.0000
  14.000   0.6688   0.16981   0.14890  -0.0889   1.0000   1.0000
  14.500   0.6878   0.17642   0.15599  -0.0924   1.0000   1.0000
  15.000   0.7064   0.18318   0.16318  -0.0961   1.0000   1.0000
  15.500   0.7249   0.19010   0.17053  -0.0999   1.0000   1.0000
  16.000   0.7430   0.19717   0.17806  -0.1038   1.0000   1.0000
  16.500   0.7802   0.20815   0.18964  -0.1130   0.9691   1.0000
  17.000   0.8127   0.21813   0.20014  -0.1206   0.9344   1.0000
  17.500   0.8399   0.22529   0.20782  -0.1267   0.8991   1.0000
  18.000   0.8707   0.23717   0.22015  -0.1332   0.8638   1.0000
  18.500   0.8929   0.24282   0.22618  -0.1378   0.8316   1.0000
  19.000   0.9160   0.25007   0.23378  -0.1425   0.8004   1.0000
  19.500   0.9387   0.25767   0.24174  -0.1470   0.7696   1.0000
  20.000   0.9612   0.26544   0.24980  -0.1514   0.7392   1.0000
  20.500   0.9849   0.27509   0.25971  -0.1559   0.7103   1.0000
  21.000   1.0040   0.28044   0.26528  -0.1596   0.6827   1.0000
  21.500   1.0218   0.28552   0.27051  -0.1633   0.6586   1.0000
  22.000   1.0455   0.29659   0.28181  -0.1676   0.6338   1.0000
  22.500   1.0608   0.29933   0.28467  -0.1710   0.6116   1.0000
  23.000   1.0849   0.31186   0.29738  -0.1751   0.5888   1.0000
  23.500   1.0992   0.31424   0.29981  -0.1786   0.5705   1.0000
  24.000   1.1158   0.31905   0.30473  -0.1823   0.5513   1.0000
  24.500   1.1339   0.32588   0.31173  -0.1861   0.5326   1.0000
  25.000   1.1528   0.33406   0.32003  -0.1900   0.5146   1.0000
  25.500   1.1706   0.34172   0.32779  -0.1938   0.4982   1.0000
  26.000   1.1875   0.34868   0.33486  -0.1976   0.4824   1.0000
  26.500   1.2031   0.35411   0.34039  -0.2015   0.4673   1.0000
  27.000   1.2171   0.35800   0.34441  -0.2054   0.4531   1.0000
  27.500   1.2311   0.36193   0.34843  -0.2094   0.4393   1.0000
  28.000   1.2449   0.36601   0.35259  -0.2135   0.4263   1.0000
  28.500   1.2587   0.37094   0.35762  -0.2176   0.4141   1.0000
  29.000   1.2732   0.37739   0.36417  -0.2216   0.4019   1.0000
  29.500   1.2887   0.38571   0.37266  -0.2256   0.3891   1.0000
  30.000   1.3030   0.39235   0.37945  -0.2296   0.3761   1.0000
