  
       XFOIL         Version 6.99
  
 Calculated polar for: S1048 14% (Danny Howell)                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.04551   0.02360  -0.0000   1.0000   1.0000
   0.500  -0.0208   0.04552   0.02356   0.0063   1.0000   1.0000
   1.000  -0.0363   0.04564   0.02355   0.0120   1.0000   1.0000
   1.500  -0.0425   0.04604   0.02373   0.0164   1.0000   1.0000
   2.000  -0.0394   0.04681   0.02426   0.0195   1.0000   1.0000
   2.500  -0.0287   0.04795   0.02520   0.0213   1.0000   1.0000
   3.000  -0.0132   0.04942   0.02653   0.0224   1.0000   1.0000
   3.500   0.0051   0.05120   0.02821   0.0228   1.0000   1.0000
   4.000   0.0252   0.05327   0.03024   0.0227   1.0000   1.0000
   4.500   0.0462   0.05563   0.03263   0.0223   1.0000   1.0000
   5.000   0.0676   0.05828   0.03533   0.0215   1.0000   1.0000
   5.500   0.0894   0.06120   0.03838   0.0205   1.0000   1.0000
   6.000   0.1109   0.06442   0.04173   0.0192   1.0000   1.0000
   6.500   0.1323   0.06794   0.04542   0.0176   1.0000   1.0000
   7.000   0.1533   0.07174   0.04946   0.0159   1.0000   1.0000
   7.500   0.1739   0.07586   0.05380   0.0140   1.0000   1.0000
   8.000   0.1940   0.08028   0.05847   0.0119   1.0000   1.0000
   8.500   0.2137   0.08499   0.06346   0.0096   1.0000   1.0000
   9.000   0.2329   0.08999   0.06877   0.0071   1.0000   1.0000
   9.500   0.2516   0.09527   0.07435   0.0046   1.0000   1.0000
  10.000   0.2701   0.10080   0.08018   0.0018   1.0000   1.0000
  10.500   0.2881   0.10657   0.08625  -0.0010   1.0000   1.0000
  11.000   0.3060   0.11256   0.09259  -0.0040   1.0000   1.0000
  11.500   0.3238   0.11875   0.09907  -0.0071   1.0000   1.0000
  12.000   0.3415   0.12512   0.10572  -0.0103   1.0000   1.0000
  12.500   0.3592   0.13162   0.11249  -0.0136   1.0000   1.0000
  13.000   0.3771   0.13829   0.11941  -0.0170   1.0000   1.0000
  13.500   0.3951   0.14507   0.12648  -0.0205   1.0000   1.0000
  14.000   0.4134   0.15195   0.13357  -0.0241   1.0000   1.0000
  14.500   0.4318   0.15892   0.14073  -0.0278   1.0000   1.0000
  15.000   0.4505   0.16596   0.14794  -0.0315   1.0000   1.0000
  15.500   0.5126   0.18450   0.16691  -0.0460   0.9284   1.0000
  16.000   0.5525   0.19657   0.17928  -0.0535   0.8675   1.0000
  16.500   0.5834   0.20620   0.18905  -0.0585   0.8184   1.0000
  17.000   0.6118   0.21538   0.19834  -0.0626   0.7737   1.0000
  17.500   0.6364   0.22314   0.20619  -0.0659   0.7351   1.0000
  18.000   0.6626   0.23272   0.21583  -0.0694   0.6998   1.0000
  18.500   0.6848   0.24019   0.22340  -0.0724   0.6695   1.0000
  19.000   0.7074   0.24816   0.23141  -0.0755   0.6400   1.0000
  19.500   0.7306   0.25684   0.24015  -0.0786   0.6120   1.0000
  20.000   0.7464   0.26022   0.24351  -0.0811   0.5893   1.0000
  20.500   0.7698   0.26996   0.25328  -0.0844   0.5659   1.0000
  21.000   0.7866   0.27415   0.25748  -0.0872   0.5435   1.0000
  21.500   0.8111   0.28564   0.26908  -0.0907   0.5226   1.0000
  22.000   0.8264   0.28912   0.27255  -0.0937   0.5056   1.0000
  22.500   0.8433   0.29386   0.27730  -0.0969   0.4876   1.0000
  23.000   0.8617   0.30016   0.28363  -0.1002   0.4692   1.0000
  23.500   0.8809   0.30762   0.29112  -0.1036   0.4518   1.0000
  24.000   0.8988   0.31421   0.29772  -0.1071   0.4365   1.0000
  24.500   0.9153   0.31954   0.30315  -0.1106   0.4224   1.0000
  25.000   0.9315   0.32464   0.30826  -0.1143   0.4089   1.0000
  25.500   0.9476   0.32988   0.31352  -0.1180   0.3953   1.0000
  26.000   0.9634   0.33516   0.31882  -0.1218   0.3827   1.0000
  26.500   0.9797   0.34121   0.32490  -0.1257   0.3706   1.0000
  27.000   0.9967   0.34905   0.33286  -0.1295   0.3588   1.0000
  27.500   1.0141   0.35753   0.34143  -0.1333   0.3463   1.0000
  28.000   1.0253   0.35690   0.34079  -0.1377   0.3367   1.0000
  28.500   1.0400   0.36268   0.34660  -0.1418   0.3275   1.0000
  29.000   1.0575   0.37353   0.35752  -0.1456   0.3163   1.0000
  29.500   1.0680   0.37221   0.35624  -0.1502   0.3069   1.0000
  30.000   1.0817   0.37772   0.36185  -0.1545   0.2988   1.0000
