  
       XFOIL         Version 6.99
  
 Calculated polar for: S2048                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0132   0.03572   0.01163  -0.0205   1.0000   1.0000
   0.500   0.0523   0.03615   0.01157  -0.0194   1.0000   1.0000
   1.000   0.0916   0.03675   0.01176  -0.0184   1.0000   1.0000
   1.500   0.1305   0.03751   0.01230  -0.0176   1.0000   1.0000
   2.000   0.1688   0.03844   0.01313  -0.0168   1.0000   1.0000
   2.500   0.2062   0.03958   0.01429  -0.0162   1.0000   1.0000
   3.000   0.2422   0.04094   0.01581  -0.0158   1.0000   1.0000
   3.500   0.2765   0.04258   0.01769  -0.0156   1.0000   1.0000
   4.000   0.3087   0.04456   0.02008  -0.0156   1.0000   1.0000
   4.500   0.3379   0.04698   0.02291  -0.0161   1.0000   1.0000
   5.000   0.3635   0.04992   0.02632  -0.0169   1.0000   1.0000
   5.500   0.3853   0.05350   0.03040  -0.0184   1.0000   1.0000
   6.000   0.4038   0.05776   0.03524  -0.0206   1.0000   1.0000
   6.500   0.4199   0.06263   0.04057  -0.0232   1.0000   1.0000
   7.000   0.4349   0.06800   0.04640  -0.0263   1.0000   1.0000
   7.500   0.4494   0.07379   0.05263  -0.0297   1.0000   1.0000
   8.000   0.4638   0.07998   0.05928  -0.0332   1.0000   1.0000
   8.500   0.4780   0.08656   0.06643  -0.0369   1.0000   1.0000
   9.000   0.4919   0.09350   0.07379  -0.0407   1.0000   1.0000
   9.500   0.5058   0.10080   0.08150  -0.0446   1.0000   1.0000
  10.000   0.5196   0.10839   0.08947  -0.0485   1.0000   1.0000
  10.500   0.5338   0.11617   0.09760  -0.0525   1.0000   1.0000
  11.000   0.5486   0.12409   0.10583  -0.0565   1.0000   1.0000
  11.500   0.5641   0.13207   0.11409  -0.0604   1.0000   1.0000
  12.000   0.5803   0.14007   0.12235  -0.0644   1.0000   1.0000
  12.500   0.5973   0.14807   0.13073  -0.0683   1.0000   1.0000
  13.000   0.6148   0.15605   0.13893  -0.0723   1.0000   1.0000
  13.500   0.6328   0.16403   0.14710  -0.0762   1.0000   1.0000
  14.000   0.6513   0.17201   0.15526  -0.0802   1.0000   1.0000
  14.500   0.6700   0.17999   0.16340  -0.0842   1.0000   1.0000
  15.000   0.7006   0.19103   0.17467  -0.0913   0.9852   1.0000
  15.500   0.7417   0.20427   0.18819  -0.1008   0.9438   1.0000
  16.000   0.7757   0.21346   0.19759  -0.1077   0.8934   1.0000
  16.500   0.8105   0.22518   0.20964  -0.1140   0.8456   1.0000
  17.000   0.8364   0.23297   0.21756  -0.1182   0.8078   1.0000
  17.500   0.8622   0.24100   0.22569  -0.1222   0.7684   1.0000
  18.000   0.8878   0.24941   0.23419  -0.1258   0.7277   1.0000
  18.500   0.9138   0.25909   0.24395  -0.1295   0.6921   1.0000
  19.000   0.9348   0.26582   0.25074  -0.1326   0.6621   1.0000
  19.500   0.9565   0.27320   0.25819  -0.1358   0.6316   1.0000
  20.500   1.0031   0.29195   0.27722  -0.1423   0.5699   1.0000
  21.000   1.0222   0.29845   0.28376  -0.1453   0.5428   1.0000
  21.500   1.0382   0.30267   0.28800  -0.1484   0.5204   1.0000
  22.000   1.0596   0.31259   0.29799  -0.1518   0.4989   1.0000
  22.500   1.0750   0.31638   0.30182  -0.1552   0.4786   1.0000
  23.000   1.0964   0.32726   0.31277  -0.1586   0.4578   1.0000
  23.500   1.1101   0.32962   0.31529  -0.1621   0.4389   1.0000
  24.000   1.1288   0.33804   0.32379  -0.1656   0.4187   1.0000
  24.500   1.1461   0.34584   0.33164  -0.1692   0.4016   1.0000
  25.000   1.1603   0.34960   0.33545  -0.1731   0.3859   1.0000
  25.500   1.1754   0.35478   0.34069  -0.1770   0.3708   1.0000
  26.000   1.1906   0.36083   0.34681  -0.1809   0.3572   1.0000
  26.500   1.2059   0.36736   0.35341  -0.1850   0.3442   1.0000
  27.000   1.2213   0.37459   0.36073  -0.1890   0.3315   1.0000
  27.500   1.2370   0.38277   0.36911  -0.1930   0.3187   1.0000
  28.000   1.2499   0.38663   0.37307  -0.1973   0.3064   1.0000
  28.500   1.2612   0.38807   0.37457  -0.2019   0.2958   1.0000
  29.000   1.2738   0.39279   0.37936  -0.2064   0.2860   1.0000
  29.500   1.2879   0.40087   0.38754  -0.2105   0.2757   1.0000
  30.000   1.3011   0.40779   0.39460  -0.2148   0.2646   1.0000
