  
       XFOIL         Version 6.99
  
 Calculated polar for: S4094 (root airfoil designed for and used on the
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1164   0.03850   0.01541  -0.0325   1.0004   0.9996
   0.500   0.1520   0.03991   0.01635  -0.0320   1.0004   0.9996
   1.000   0.1868   0.04166   0.01775  -0.0319   1.0004   0.9996
   1.500   0.2204   0.04373   0.01956  -0.0320   1.0004   0.9996
   2.000   0.2529   0.04612   0.02179  -0.0326   1.0004   0.9996
   2.500   0.2840   0.04886   0.02444  -0.0335   1.0004   0.9996
   3.000   0.3136   0.05196   0.02753  -0.0347   1.0004   0.9996
   3.500   0.3417   0.05543   0.03105  -0.0362   1.0004   0.9996
   4.000   0.3683   0.05929   0.03503  -0.0381   1.0004   0.9996
   4.500   0.3936   0.06354   0.03944  -0.0402   1.0004   0.9996
   5.000   0.4176   0.06818   0.04430  -0.0425   1.0004   0.9996
   5.500   0.4402   0.07318   0.04952  -0.0450   1.0004   0.9996
   6.000   0.4618   0.07854   0.05513  -0.0477   1.0004   0.9996
   6.500   0.4824   0.08423   0.06114  -0.0505   1.0004   0.9996
   7.000   0.5021   0.09022   0.06742  -0.0534   1.0004   0.9996
   7.500   0.5211   0.09649   0.07399  -0.0563   1.0004   0.9996
   8.000   0.5396   0.10301   0.08082  -0.0594   1.0004   0.9996
   8.500   0.5576   0.10975   0.08794  -0.0625   1.0004   0.9996
   9.000   0.5754   0.11667   0.09519  -0.0656   1.0004   0.9996
   9.500   0.5931   0.12376   0.10260  -0.0689   1.0004   0.9996
  10.000   0.6108   0.13099   0.11015  -0.0723   1.0004   0.9996
  10.500   0.6286   0.13834   0.11790  -0.0757   1.0004   0.9996
  11.000   0.6465   0.14579   0.12567  -0.0793   1.0004   0.9996
  11.500   0.6648   0.15335   0.13355  -0.0829   1.0004   0.9996
  12.000   0.6833   0.16101   0.14153  -0.0867   1.0004   0.9996
  12.500   0.7021   0.16875   0.14958  -0.0907   1.0004   0.9996
  13.000   0.7212   0.17659   0.15779  -0.0947   1.0004   0.9996
  13.500   0.7405   0.18451   0.16601  -0.0988   1.0004   0.9996
  14.000   0.7600   0.19254   0.17433  -0.1030   1.0004   0.9996
  14.500   0.7798   0.20066   0.18274  -0.1074   1.0004   0.9996
  15.000   0.7997   0.20889   0.19131  -0.1118   1.0004   0.9996
  15.500   0.8416   0.22046   0.20334  -0.1221   0.9638   0.9996
  16.000   0.8819   0.23110   0.21437  -0.1309   0.9068   0.9996
  16.500   0.9168   0.24125   0.22484  -0.1373   0.8497   0.9996
  17.000   0.9458   0.25077   0.23469  -0.1422   0.8061   0.9996
  17.500   0.9726   0.25940   0.24355  -0.1463   0.7606   0.9996
  18.000   1.0016   0.27116   0.25556  -0.1508   0.7208   0.9996
  18.500   1.0213   0.27665   0.26117  -0.1538   0.6865   0.9996
  19.000   1.0446   0.28501   0.26969  -0.1573   0.6505   0.9996
  19.500   1.0663   0.29306   0.27794  -0.1608   0.6211   0.9996
  20.000   1.0877   0.30106   0.28606  -0.1643   0.5915   0.9996
  20.500   1.1076   0.30824   0.29333  -0.1679   0.5656   0.9996
  21.000   1.1303   0.31869   0.30389  -0.1717   0.5412   0.9996
  21.500   1.1490   0.32479   0.31009  -0.1753   0.5166   0.9996
  22.000   1.1683   0.33252   0.31797  -0.1791   0.4963   0.9996
  22.500   1.1857   0.33781   0.32335  -0.1830   0.4758   0.9996
  23.000   1.2086   0.35051   0.33620  -0.1869   0.4552   0.9996
  23.500   1.2242   0.35441   0.34014  -0.1911   0.4386   0.9996
  24.000   1.2406   0.35940   0.34521  -0.1954   0.4223   0.9996
  24.500   1.2575   0.36531   0.35121  -0.1998   0.4065   0.9996
  25.000   1.2744   0.37151   0.35758  -0.2042   0.3910   0.9996
  25.500   1.2911   0.37785   0.36402  -0.2088   0.3764   0.9996
  26.000   1.3077   0.38456   0.37083  -0.2134   0.3631   0.9996
  26.500   1.3246   0.39233   0.37871  -0.2180   0.3506   0.9996
  27.000   1.3419   0.40168   0.38819  -0.2226   0.3378   0.9996
  27.500   1.3576   0.40826   0.39491  -0.2273   0.3250   0.9996
  28.000   1.3700   0.40863   0.39543  -0.2328   0.3143   0.9996
  28.500   1.3842   0.41393   0.40082  -0.2380   0.3047   0.9996
  29.000   1.4006   0.42468   0.41170  -0.2426   0.2943   0.9996
  29.500   1.4133   0.42658   0.41374  -0.2481   0.2841   0.9996
  30.000   1.4261   0.43068   0.41793  -0.2537   0.2765   0.9996
