  
       XFOIL         Version 6.99
  
 Calculated polar for: S4095 (designed for the E-flite UMX ASK-21 scale
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1584   0.03863   0.01485  -0.0372   1.0007   0.9993
   0.500   0.1982   0.03994   0.01584  -0.0369   1.0007   0.9993
   1.000   0.2350   0.04171   0.01739  -0.0366   1.0007   0.9993
   1.500   0.2699   0.04395   0.01947  -0.0368   1.0007   0.9993
   2.000   0.3031   0.04664   0.02208  -0.0373   1.0007   0.9993
   2.500   0.3344   0.04976   0.02519  -0.0383   1.0007   0.9993
   3.000   0.3638   0.05331   0.02879  -0.0398   1.0007   0.9993
   3.500   0.3913   0.05728   0.03290  -0.0416   1.0007   0.9993
   4.000   0.4170   0.06168   0.03747  -0.0437   1.0007   0.9993
   4.500   0.4412   0.06649   0.04248  -0.0462   1.0007   0.9993
   5.000   0.4643   0.07171   0.04797  -0.0489   1.0007   0.9993
   5.500   0.4862   0.07730   0.05382  -0.0518   1.0007   0.9993
   6.000   0.5070   0.08323   0.06005  -0.0548   1.0007   0.9993
   6.500   0.5270   0.08948   0.06665  -0.0580   1.0007   0.9993
   7.000   0.5461   0.09600   0.07348  -0.0612   1.0007   0.9993
   7.500   0.5646   0.10277   0.08057  -0.0644   1.0007   0.9993
   8.000   0.5828   0.10975   0.08795  -0.0677   1.0007   0.9993
   8.500   0.6006   0.11691   0.09544  -0.0711   1.0007   0.9993
   9.000   0.6185   0.12423   0.10309  -0.0746   1.0007   0.9993
   9.500   0.6363   0.13168   0.11087  -0.0781   1.0007   0.9993
  10.000   0.6543   0.13924   0.11876  -0.0817   1.0007   0.9993
  10.500   0.6726   0.14690   0.12683  -0.0855   1.0007   0.9993
  11.000   0.6912   0.15467   0.13492  -0.0893   1.0007   0.9993
  11.500   0.7100   0.16252   0.14309  -0.0933   1.0007   0.9993
  12.000   0.7292   0.17046   0.15135  -0.0974   1.0007   0.9993
  12.500   0.7486   0.17849   0.15977  -0.1016   1.0007   0.9993
  13.000   0.7683   0.18662   0.16820  -0.1059   1.0007   0.9993
  13.500   0.7883   0.19485   0.17673  -0.1103   1.0007   0.9993
  14.000   0.8085   0.20318   0.18535  -0.1148   1.0007   0.9993
  14.500   0.8289   0.21161   0.19407  -0.1195   1.0007   0.9993
  15.000   0.8494   0.22014   0.20295  -0.1241   1.0007   0.9993
  15.500   0.8915   0.23316   0.21640  -0.1346   0.9711   0.9993
  16.000   0.9357   0.24255   0.22622  -0.1442   0.9023   0.9993
  16.500   0.9682   0.25129   0.23525  -0.1503   0.8499   0.9993
  17.000   1.0002   0.26141   0.24572  -0.1556   0.7985   0.9993
  17.500   1.0295   0.27160   0.25615  -0.1601   0.7524   0.9993
  18.000   1.0520   0.27831   0.26302  -0.1636   0.7154   0.9993
  18.500   1.0800   0.28986   0.27474  -0.1678   0.6754   0.9993
  19.500   1.1221   0.30368   0.28888  -0.1746   0.6117   0.9993
  20.000   1.1438   0.31175   0.29707  -0.1783   0.5822   0.9993
  20.500   1.1667   0.32179   0.30722  -0.1822   0.5560   0.9993
  21.000   1.1894   0.33191   0.31749  -0.1860   0.5290   0.9993
  21.500   1.2050   0.33474   0.32037  -0.1898   0.5074   0.9993
  22.000   1.2287   0.34726   0.33312  -0.1938   0.4849   0.9993
  22.500   1.2441   0.35034   0.33623  -0.1979   0.4661   0.9993
  23.000   1.2623   0.35661   0.34261  -0.2021   0.4461   0.9993
  23.500   1.2826   0.36643   0.35255  -0.2063   0.4278   0.9993
  24.000   1.3029   0.37741   0.36362  -0.2106   0.4113   0.9993
  24.500   1.3191   0.38242   0.36880  -0.2153   0.3961   0.9993
  25.000   1.3356   0.38823   0.37470  -0.2200   0.3812   0.9993
  25.500   1.3528   0.39557   0.38215  -0.2246   0.3669   0.9993
  26.000   1.3705   0.40453   0.39124  -0.2293   0.3530   0.9993
  26.500   1.3841   0.40564   0.39246  -0.2346   0.3407   0.9993
  27.000   1.3984   0.40894   0.39585  -0.2399   0.3292   0.9993
  27.500   1.4135   0.41450   0.40158  -0.2452   0.3182   0.9993
  28.000   1.4297   0.42324   0.41045  -0.2501   0.3074   0.9993
  28.500   1.4466   0.43446   0.42186  -0.2548   0.2955   0.9993
  29.000   1.4576   0.43174   0.41920  -0.2611   0.2869   0.9993
  29.500   1.4724   0.44006   0.42764  -0.2663   0.2784   0.9993
  30.000   1.4871   0.44818   0.43595  -0.2714   0.2677   0.9993
