  
       XFOIL         Version 6.99
  
 Calculated polar for: S4180-098-84                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0732   0.04328   0.02704  -0.0525   1.0000   1.0000
   0.500   0.1176   0.04505   0.02681  -0.0543   1.0000   1.0000
   1.000   0.1552   0.04703   0.02751  -0.0552   1.0000   1.0000
   1.500   0.1898   0.04923   0.02876  -0.0558   1.0000   1.0000
   2.000   0.2235   0.05168   0.03043  -0.0566   1.0000   1.0000
   2.500   0.2560   0.05437   0.03251  -0.0575   1.0000   1.0000
   3.000   0.2868   0.05727   0.03492  -0.0584   1.0000   1.0000
   3.500   0.3173   0.06044   0.03770  -0.0594   1.0000   1.0000
   4.000   0.3464   0.06384   0.04080  -0.0605   1.0000   1.0000
   4.500   0.3750   0.06749   0.04424  -0.0618   1.0000   1.0000
   5.000   0.4019   0.07138   0.04799  -0.0631   1.0000   1.0000
   5.500   0.4284   0.07556   0.05209  -0.0646   1.0000   1.0000
   6.000   0.4540   0.08002   0.05653  -0.0662   1.0000   1.0000
   6.500   0.4786   0.08477   0.06132  -0.0679   1.0000   1.0000
   7.000   0.5023   0.08980   0.06644  -0.0699   1.0000   1.0000
   7.500   0.5254   0.09516   0.07195  -0.0720   1.0000   1.0000
   8.000   0.5465   0.10072   0.07766  -0.0740   1.0000   1.0000
   8.500   0.5676   0.10663   0.08377  -0.0764   1.0000   1.0000
   9.000   0.5875   0.11276   0.09015  -0.0789   1.0000   1.0000
   9.500   0.6069   0.11916   0.09678  -0.0815   1.0000   1.0000
  10.000   0.6258   0.12579   0.10367  -0.0843   1.0000   1.0000
  10.500   0.6446   0.13262   0.11081  -0.0873   1.0000   1.0000
  11.000   0.6626   0.13958   0.11804  -0.0903   1.0000   1.0000
  11.500   0.6811   0.14675   0.12548  -0.0937   1.0000   1.0000
  12.000   0.6990   0.15396   0.13297  -0.0970   1.0000   1.0000
  12.500   0.7176   0.16136   0.14069  -0.1005   1.0000   1.0000
  13.000   0.7359   0.16878   0.14838  -0.1041   1.0000   1.0000
  13.500   0.7544   0.17630   0.15616  -0.1078   1.0000   1.0000
  14.000   0.7727   0.18381   0.16398  -0.1115   1.0000   1.0000
  14.500   0.7918   0.19149   0.17192  -0.1154   1.0000   1.0000
  15.000   0.8127   0.19929   0.18000  -0.1200   0.9966   1.0000
  15.500   0.8588   0.21250   0.19371  -0.1308   0.9451   1.0000
  16.000   0.8927   0.22230   0.20386  -0.1376   0.8980   1.0000
  16.500   0.9205   0.23053   0.21238  -0.1428   0.8604   1.0000
  17.000   0.9468   0.23816   0.22034  -0.1473   0.8215   1.0000
  17.500   0.9700   0.24579   0.22823  -0.1512   0.7904   1.0000
  18.000   0.9944   0.25384   0.23653  -0.1553   0.7579   1.0000
  19.000   1.0414   0.27158   0.25482  -0.1631   0.7033   1.0000
  19.500   1.0611   0.27775   0.26123  -0.1664   0.6759   1.0000
  20.000   1.0812   0.28472   0.26842  -0.1702   0.6541   1.0000
  20.500   1.1014   0.29224   0.27623  -0.1736   0.6288   1.0000
  21.000   1.1210   0.29986   0.28406  -0.1773   0.6079   1.0000
  21.500   1.1379   0.30468   0.28908  -0.1808   0.5868   1.0000
  22.000   1.1606   0.31590   0.30061  -0.1846   0.5641   1.0000
  22.500   1.1774   0.32217   0.30705  -0.1882   0.5461   1.0000
  23.000   1.1918   0.32586   0.31090  -0.1916   0.5273   1.0000
  23.500   1.2105   0.33228   0.31753  -0.1959   0.5077   1.0000
  24.000   1.2274   0.33959   0.32507  -0.1995   0.4896   1.0000
  24.500   1.2475   0.34936   0.33505  -0.2036   0.4711   1.0000
  25.000   1.2654   0.35842   0.34429  -0.2076   0.4544   1.0000
  25.500   1.2817   0.36572   0.35171  -0.2115   0.4383   1.0000
  26.000   1.2965   0.37189   0.35807  -0.2153   0.4228   1.0000
  26.500   1.3117   0.37830   0.36466  -0.2193   0.4078   1.0000
  27.000   1.3261   0.38211   0.36859  -0.2238   0.3933   1.0000
  27.500   1.3375   0.38440   0.37098  -0.2278   0.3801   1.0000
  28.000   1.3521   0.38875   0.37546  -0.2327   0.3674   1.0000
  28.500   1.3644   0.39395   0.38082  -0.2367   0.3557   1.0000
  29.000   1.3802   0.40197   0.38898  -0.2414   0.3437   1.0000
  29.500   1.3950   0.41290   0.40005  -0.2451   0.3310   1.0000
  30.000   1.4058   0.41209   0.39938  -0.2503   0.3198   1.0000
