  
       XFOIL         Version 6.99
  
 Calculated polar for: S6061 9%                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0109   0.03585   0.01190  -0.0145   1.0000   1.0000
   0.500   0.0428   0.03644   0.01199  -0.0126   1.0000   1.0000
   1.000   0.0751   0.03721   0.01241  -0.0110   1.0000   1.0000
   1.500   0.1074   0.03816   0.01312  -0.0097   1.0000   1.0000
   2.000   0.1395   0.03932   0.01412  -0.0087   1.0000   1.0000
   2.500   0.1710   0.04069   0.01544  -0.0079   1.0000   1.0000
   3.000   0.2016   0.04231   0.01712  -0.0075   1.0000   1.0000
   3.500   0.2312   0.04420   0.01913  -0.0073   1.0000   1.0000
   4.000   0.2596   0.04638   0.02152  -0.0075   1.0000   1.0000
   4.500   0.2865   0.04891   0.02438  -0.0080   1.0000   1.0000
   5.000   0.3117   0.05182   0.02761  -0.0089   1.0000   1.0000
   5.500   0.3353   0.05514   0.03131  -0.0101   1.0000   1.0000
   6.000   0.3571   0.05891   0.03558  -0.0118   1.0000   1.0000
   6.500   0.3773   0.06314   0.04025  -0.0139   1.0000   1.0000
   7.000   0.3960   0.06785   0.04542  -0.0163   1.0000   1.0000
   7.500   0.4133   0.07301   0.05105  -0.0190   1.0000   1.0000
   8.000   0.4297   0.07863   0.05725  -0.0220   1.0000   1.0000
   8.500   0.4453   0.08470   0.06379  -0.0252   1.0000   1.0000
   9.000   0.4603   0.09116   0.07072  -0.0286   1.0000   1.0000
   9.500   0.4749   0.09797   0.07797  -0.0321   1.0000   1.0000
  10.000   0.4894   0.10512   0.08555  -0.0357   1.0000   1.0000
  10.500   0.5037   0.11251   0.09334  -0.0394   1.0000   1.0000
  11.000   0.5184   0.12013   0.10146  -0.0432   1.0000   1.0000
  11.500   0.5334   0.12794   0.10961  -0.0470   1.0000   1.0000
  12.000   0.5487   0.13584   0.11782  -0.0509   1.0000   1.0000
  12.500   0.5648   0.14386   0.12611  -0.0548   1.0000   1.0000
  13.000   0.5814   0.15190   0.13439  -0.0587   1.0000   1.0000
  13.500   0.5986   0.15998   0.14268  -0.0627   1.0000   1.0000
  14.000   0.6163   0.16802   0.15089  -0.0666   1.0000   1.0000
  14.500   0.6346   0.17606   0.15907  -0.0705   1.0000   1.0000
  15.000   0.6888   0.19299   0.17637  -0.0837   0.9405   1.0000
  15.500   0.7235   0.20353   0.18725  -0.0907   0.8909   1.0000
  16.000   0.7581   0.21592   0.19982  -0.0969   0.8446   1.0000
  16.500   0.7851   0.22440   0.20843  -0.1011   0.8013   1.0000
  17.000   0.8074   0.23111   0.21525  -0.1044   0.7667   1.0000
  17.500   0.8351   0.24201   0.22627  -0.1085   0.7330   1.0000
  18.000   0.8560   0.24839   0.23271  -0.1115   0.7002   1.0000
  18.500   0.8789   0.25639   0.24090  -0.1146   0.6664   1.0000
  19.000   0.9009   0.26441   0.24900  -0.1178   0.6379   1.0000
  19.500   0.9209   0.27145   0.25610  -0.1210   0.6137   1.0000
  20.000   0.9426   0.28002   0.26474  -0.1243   0.5891   1.0000
  20.500   0.9647   0.28932   0.27411  -0.1276   0.5630   1.0000
  21.000   0.9842   0.29620   0.28107  -0.1307   0.5374   1.0000
  21.500   1.0006   0.30081   0.28571  -0.1338   0.5157   1.0000
  22.000   1.0237   0.31243   0.29749  -0.1373   0.4937   1.0000
  22.500   1.0379   0.31534   0.30044  -0.1407   0.4762   1.0000
  23.000   1.0554   0.32154   0.30670  -0.1442   0.4573   1.0000
  23.500   1.0764   0.33251   0.31778  -0.1477   0.4385   1.0000
  24.000   1.0915   0.33672   0.32199  -0.1514   0.4222   1.0000
  24.500   1.1066   0.34103   0.32636  -0.1551   0.4055   1.0000
  25.000   1.1229   0.34690   0.33239  -0.1589   0.3887   1.0000
  25.500   1.1391   0.35329   0.33886  -0.1628   0.3733   1.0000
  26.000   1.1546   0.35926   0.34489  -0.1667   0.3595   1.0000
  26.500   1.1696   0.36480   0.35049  -0.1709   0.3471   1.0000
  27.000   1.1846   0.37081   0.35656  -0.1751   0.3352   1.0000
  27.500   1.1995   0.37752   0.36335  -0.1792   0.3232   1.0000
  28.000   1.2150   0.38560   0.37151  -0.1832   0.3112   1.0000
  29.000   1.2411   0.39350   0.37968  -0.1922   0.2884   1.0000
  29.500   1.2537   0.39779   0.38403  -0.1969   0.2791   1.0000
  30.000   1.2680   0.40671   0.39306  -0.2010   0.2694   1.0000
